genome_record_id	primary	replicate_b	replicate_c
BG::SAMEA10057864	False	True	False
BG::SAMEA10057869	True	False	False
BG::SAMEA10057871	False	True	False
BG::SAMEA10057875	False	True	False
BG::SAMEA10057878	False	False	True
BG::SAMEA10057879	False	False	True
BG::SAMEA10057880	False	False	True
BG::SAMEA10057881	True	False	False
BG::SAMEA10057882	True	False	False
BG::SAMEA10057886	False	True	False
BG::SAMEA10057895	True	False	True
BG::SAMEA10057896	True	False	False
BG::SAMEA10057897	False	True	False
BG::SAMEA10057901	False	False	True
BG::SAMEA10057903	True	True	True
BG::SAMEA10057910	False	False	True
BG::SAMEA10057914	True	False	False
BG::SAMEA10057937	True	True	True
BG::SAMEA10057952	True	True	True
BG::SAMEA10057955	True	False	False
BG::SAMEA10057963	False	True	False
BG::SAMEA10057970	False	True	True
BG::SAMEA10057975	True	False	False
BG::SAMEA10057977	False	False	True
BG::SAMEA10057981	False	True	False
BG::SAMEA10057987	True	False	False
BG::SAMEA10057988	True	True	True
BG::SAMEA10057989	True	False	False
BG::SAMEA10057990	False	True	False
BG::SAMEA10057991	False	True	False
BG::SAMEA10057994	False	True	True
BG::SAMEA10057995	True	False	False
BG::SAMEA10057998	False	False	True
BG::SAMEA10058004	True	True	True
BG::SAMEA10058007	True	False	False
BG::SAMEA10058010	False	False	True
BG::SAMEA10058016	True	False	True
BG::SAMEA10058017	False	True	False
BG::SAMEA10058018	False	True	False
BG::SAMEA10058021	True	True	True
BG::SAMEA10058023	True	False	True
BG::SAMEA10058026	False	False	True
BG::SAMEA10058027	False	True	False
BG::SAMEA10058031	False	True	False
BG::SAMEA10058033	False	True	False
BG::SAMEA10058036	True	False	False
BG::SAMEA10058038	True	False	False
BG::SAMEA10058042	False	True	True
BG::SAMEA1931344	True	True	True
BG::SAMEA1931348	True	False	True
BG::SAMEA1931350	True	True	True
BG::SAMEA1931450	False	False	True
BG::SAMEA1931720	True	True	True
BG::SAMEA1931721	True	False	False
BG::SAMEA1931748	True	True	True
BG::SAMEA1931798	True	True	True
BG::SAMEA1931799	True	True	True
BG::SAMEA1931804	False	True	True
BG::SAMEA1931868	True	False	False
BG::SAMEA1931871	False	True	False
BG::SAMEA1933004	True	True	True
BG::SAMEA1933007	True	True	True
BG::SAMEA1986111	False	True	True
BG::SAMEA1986112	False	False	True
BG::SAMEA2015292	False	False	True
BG::SAMEA2015299	True	True	True
BG::SAMEA2035349	False	True	True
BG::SAMEA3923584	True	True	True
BG::SAMEA3923585	True	True	True
BG::SAMEA4752844	True	True	True
BG::SAMEA4752845	True	True	True
BG::SAMEA4752846	True	True	True
BG::SAMEA4752849	False	True	True
BG::SAMEA4752850	True	False	False
BG::SAMEA751125	True	True	True
BG::SAMEA751134	True	False	False
BG::SAMEA751136	True	True	True
BG::SAMEA751143	True	True	True
BG::SAMEA751147	True	False	False
BG::SAMEA751149	False	True	False
BG::SAMEA751152	True	True	True
BG::SAMEA751153	True	True	True
BG::SAMEA751162	True	True	True
BG::SAMEA751164	True	True	True
BG::SAMEA751165	True	True	True
BG::SAMEA751169	False	True	False
BG::SAMEA751172	False	True	False
BG::SAMEA751174	False	False	True
BG::SAMEA751185	True	True	True
BG::SAMEA751203	False	True	False
BG::SAMEA751214	True	False	True
BG::SAMEA751222	True	True	True
BG::SAMEA751244	True	True	True
BG::SAMEA751250	True	False	False
BG::SAMEA751255	False	True	False
BG::SAMEA751257	True	True	True
BG::SAMEA751259	False	True	False
BG::SAMEA751268	False	True	True
BG::SAMEA751275	True	True	True
BG::SAMEA751288	True	True	True
BG::SAMEA751294	True	True	True
BG::SAMEA751309	True	True	True
BG::SAMEA751314	True	True	True
BG::SAMEA751318	True	True	True
BG::SAMEA751343	True	True	True
BG::SAMEA751357	True	True	True
BG::SAMEA751360	True	False	False
BG::SAMEA751394	True	True	False
BG::SAMEA751453	True	True	True
BG::SAMEA751461	True	True	True
BG::SAMEA751497	True	True	False
BG::SAMEA751498	False	False	True
BG::SAMEA751516	True	True	True
BG::SAMEA751519	True	True	True
BG::SAMEA8914402	True	True	True
BG::SAMEA8914404	True	True	True
BG::SAMEA8914405	True	True	True
BG::SAMEA8914410	True	False	False
BG::SAMEA8914413	False	True	False
BG::SAMEA8914414	False	False	True
BG::SAMEA8914415	True	True	True
BG::SAMEA8914418	True	True	True
BG::SAMEA8914421	False	True	False
BG::SAMEA8914438	True	False	False
BG::SAMEA8914444	False	False	True
BG::SAMEA8914447	False	True	False
BG::SAMEA8914452	True	False	True
BG::SAMEA8914453	True	True	True
BG::SAMEA8914454	True	True	True
BG::SAMEA8914458	True	True	True
BG::SAMEA8914463	False	True	True
BG::SAMEA8914464	True	False	False
BG::SAMEA8914469	False	True	True
BG::SAMEA8914470	True	True	True
BG::SAMEA8914471	True	True	True
BG::SAMEA8914472	True	True	True
BG::SAMEA8914474	True	False	False
BG::SAMEA8914475	True	True	True
BG::SAMEA8914479	True	True	True
BG::SAMEA8914480	False	False	True
BG::SAMEA8914484	True	True	False
BG::SAMEA8914485	True	False	False
BG::SAMEA8914486	False	True	True
BG::SAMEA8914488	True	True	False
BG::SAMEA8914490	False	False	True
BG::SAMEA8914496	False	True	False
BG::SAMEA8914497	True	False	False
BG::SAMEA8914500	True	False	False
BG::SAMEA8914501	True	False	False
BG::SAMEA8914503	True	True	True
BG::SAMEA8914508	False	False	True
BG::SAMEA8914509	False	True	False
BG::SAMEA8914511	False	True	True
BG::SAMEA8914514	True	True	True
BG::SAMEA8914516	False	False	True
BG::SAMEA8914518	True	True	True
BG::SAMEA8914519	False	False	True
BG::SAMEA8914521	True	True	True
BG::SAMEA8914522	False	False	True
BG::SAMEA8914523	False	False	True
BG::SAMEA8914529	True	False	False
BG::SAMEA8914531	True	True	False
BG::SAMEA8914534	False	True	False
BG::SAMEA8914539	True	True	True
BG::SAMEA8914541	True	False	False
BG::SAMEA8914543	False	True	False
BG::SAMEA8914546	False	False	True
BG::SAMEA8914547	True	True	True
BG::SAMEA8914554	True	True	False
BG::SAMEA8914556	True	False	True
BG::SAMEA8914557	False	True	False
BG::SAMEA8914560	False	True	True
BG::SAMEA8914562	True	True	False
BG::SAMEA8914566	True	False	False
BG::SAMEA8914568	True	False	True
BG::SAMEA8914569	False	True	True
BG::SAMEA8914576	False	True	False
BG::SAMEA8914577	False	False	True
BG::SAMEA8914580	True	False	False
BG::SAMEA8914582	False	True	True
BG::SAMEA8914583	True	False	True
BG::SAMEA8914585	True	True	True
BG::SAMEA8914588	True	True	True
BG::SAMEA8914591	False	False	True
BG::SAMEA8914592	True	True	True
BG::SAMEA8914600	True	False	False
BG::SAMEA8914609	True	False	False
BG::SAMEA8914612	False	False	True
BG::SAMEA8914617	True	True	True
BG::SAMEA8914619	False	False	True
BG::SAMEA8914620	False	True	False
BG::SAMEA8914621	True	True	True
BG::SAMEA8914623	True	True	True
BG::SAMEA8914624	False	True	False
BG::SAMEA8914625	True	False	False
BG::SAMEA8914626	True	False	False
BG::SAMEA8914628	True	True	True
BG::SAMEA8914629	False	True	True
BG::SAMEA8914630	False	True	True
BG::SAMEA8914632	True	False	False
BG::SAMEA8914634	True	False	True
BG::SAMEA8914635	False	True	False
BG::SAMN02436249	False	False	True
BG::SAMN02436302	False	False	True
BG::SAMN02614590	False	True	True
BG::SAMN02940632	True	True	True
BG::SAMN03249362	True	False	True
BG::SAMN03249375	False	True	True
BG::SAMN03455343	False	True	False
BG::SAMN03455354	True	True	False
BG::SAMN03566780	True	True	True
BG::SAMN03566781	True	True	True
BG::SAMN03566782	False	True	False
BG::SAMN03566783	True	True	True
BG::SAMN03566784	True	True	True
BG::SAMN03566785	True	True	False
BG::SAMN03566786	True	True	True
BG::SAMN03566787	True	False	True
BG::SAMN03566788	False	False	True
BG::SAMN03702646	True	False	False
BG::SAMN03702647	True	False	False
BG::SAMN03784877	True	True	True
BG::SAMN03877216	True	False	False
BG::SAMN03877220	False	False	True
BG::SAMN03996251	True	False	False
BG::SAMN03996260	True	False	True
BG::SAMN04221179	False	True	False
BG::SAMN04221183	True	False	False
BG::SAMN04221184	False	True	False
BG::SAMN04221188	False	True	False
BG::SAMN04221194	False	True	False
BG::SAMN04383560	False	False	True
BG::SAMN04388407	False	False	True
BG::SAMN04994865	True	False	False
BG::SAMN05333713	False	False	True
BG::SAMN05333716	True	False	False
BG::SAMN05583812	False	True	False
BG::SAMN05583815	False	False	True
BG::SAMN05583817	False	False	True
BG::SAMN05583818	True	False	False
BG::SAMN05583849	False	False	True
BG::SAMN05583850	True	False	False
BG::SAMN05776224	True	True	True
BG::SAMN05782317	True	True	True
BG::SAMN05783037	True	True	True
BG::SAMN05784484	True	True	True
BG::SAMN05908220	False	True	False
BG::SAMN05908221	False	False	True
BG::SAMN05908224	False	False	True
BG::SAMN05908227	True	True	False
BG::SAMN05908228	True	True	True
BG::SAMN05908229	False	False	True
BG::SAMN05908230	True	False	False
BG::SAMN05908232	False	True	False
BG::SAMN05908234	True	True	True
BG::SAMN05908236	True	False	False
BG::SAMN05908237	True	True	True
BG::SAMN05908238	True	True	True
BG::SAMN05948795	False	True	False
BG::SAMN05948796	True	False	False
BG::SAMN05950790	True	False	False
BG::SAMN06007542	False	False	True
BG::SAMN06007763	True	False	False
BG::SAMN06113443	True	True	True
BG::SAMN06113449	False	False	True
BG::SAMN06113451	False	True	False
BG::SAMN06113453	False	True	True
BG::SAMN06113455	False	True	True
BG::SAMN06113458	True	False	False
BG::SAMN06113466	True	False	False
BG::SAMN06113467	True	True	True
BG::SAMN06113472	True	False	False
BG::SAMN07137592	False	True	False
