analysis_id	analysis_label	lineage	mean	median	lower_95	upper_95
primary_lower_0_5	Primary: threshold 0.5, lower-bound time	L1_02.07	1.11323050429021	1.11204828279221	1.07829085892382	1.15550864211045
threshold_0_7	Transition threshold 0.7	L1_02.07	1.11302141684926	1.11122686790769	1.07687380156694	1.15822506773011
threshold_0_9	Transition threshold 0.9	L1_02.07	1.10231676713786	1.10113257370516	1.07286047634936	1.13817229640539
time_midpoint	Earliest-sample interval midpoint	L1_02.07	1.11313832666333	1.11176166503087	1.0781555749937	1.15645548671619
time_interval_uniform	Earliest-sample interval-uniform	L1_02.07	1.11081569854639	1.10939887807217	1.07529584696825	1.15511882330489
alternative_root	Alternative root	L1_02.07	1.11332796856562	1.11171196680572	1.07847611793283	1.1564029155511
