analysis_id	analysis_label	numerator	denominator	mean	median	lower_95	upper_95	posterior_probability_above_one
primary_lower_0_5	Primary: threshold 0.5, lower-bound time	L1_02.07	L1_01.02	1.10935637234302	1.10784354611111	1.05350372647225	1.17292933349431	1
primary_lower_0_5	Primary: threshold 0.5, lower-bound time	L1_02.07	L1_02.05	1.13457011166229	1.13136118715793	1.0825860911663	1.20393901440984	1
primary_lower_0_5	Primary: threshold 0.5, lower-bound time	L1_02.07	L1_02.06	1.15051280376885	1.14840957181012	1.09942632795888	1.21570347977627	1
primary_lower_0_5	Primary: threshold 0.5, lower-bound time	L1_02.07	Other	1.18151468143793	1.17818988022823	1.1246119666928	1.25985186183695	1
threshold_0_7	Transition threshold 0.7	L1_02.07	L1_01.02	1.10944733286222	1.10766891405589	1.05227689198309	1.17786074471034	1
threshold_0_7	Transition threshold 0.7	L1_02.07	L1_02.05	1.13429758677465	1.13102052064868	1.08089817674186	1.20536238909609	1
threshold_0_7	Transition threshold 0.7	L1_02.07	L1_02.06	1.15015886073353	1.14737847015589	1.09737079295667	1.21709234954952	1
threshold_0_7	Transition threshold 0.7	L1_02.07	Other	1.1809627082111	1.17737544381928	1.12399945810727	1.26079561005923	1
threshold_0_9	Transition threshold 0.9	L1_02.07	L1_01.02	1.09609694865061	1.09532635368311	1.04601075584888	1.1509113420049	1
threshold_0_9	Transition threshold 0.9	L1_02.07	L1_02.05	1.12092192367899	1.11867047237792	1.07676926371187	1.17725475281799	1
threshold_0_9	Transition threshold 0.9	L1_02.07	L1_02.06	1.1276870162767	1.12652154833136	1.08836877293815	1.17389080750655	1
threshold_0_9	Transition threshold 0.9	L1_02.07	Other	1.17533229816813	1.17164531942614	1.12220021564107	1.25028290084845	1
time_midpoint	Earliest-sample interval midpoint	L1_02.07	L1_01.02	1.11097437617604	1.110033892865	1.05637228164795	1.1721469976825	1
time_midpoint	Earliest-sample interval midpoint	L1_02.07	L1_02.05	1.13389519906216	1.131346377703	1.08015997487445	1.20504568630717	1
time_midpoint	Earliest-sample interval midpoint	L1_02.07	L1_02.06	1.1525596262509	1.15051134682869	1.10086600632758	1.21606465268393	1
time_midpoint	Earliest-sample interval midpoint	L1_02.07	Other	1.17788890337225	1.17414522439589	1.12132876616022	1.25709701919856	1
time_interval_uniform	Earliest-sample interval-uniform	L1_02.07	L1_01.02	1.10815640725415	1.10592641875455	1.05241240955211	1.17470023122772	1
time_interval_uniform	Earliest-sample interval-uniform	L1_02.07	L1_02.05	1.13057836798037	1.1275544945428	1.07695853608888	1.20184659790812	1
time_interval_uniform	Earliest-sample interval-uniform	L1_02.07	L1_02.06	1.14938342293884	1.14701232939324	1.09730179359137	1.21488213509946	1
time_interval_uniform	Earliest-sample interval-uniform	L1_02.07	Other	1.17529090475742	1.17215019341797	1.11788474193069	1.2508139452813	1
alternative_root	Alternative root	L1_02.07	L1_01.02	1.11019633746309	1.10908374490001	1.05398457827379	1.17619193977177	1
alternative_root	Alternative root	L1_02.07	L1_02.05	1.13483169837677	1.13148448951279	1.08181338599097	1.20289329726853	1
alternative_root	Alternative root	L1_02.07	L1_02.06	1.15043548123129	1.14807065238909	1.09833086146551	1.2148625913173	1
alternative_root	Alternative root	L1_02.07	Other	1.1809608842439	1.17624981758656	1.12478335804155	1.26188973899296	1
