analysis_id	analysis_class	analysis_label	country_iso3	n_resurgence_tips	n_replicates	central_statistic	reseeding_central	reseeding_lower_95	reseeding_upper_95	reseeding_delta_from_primary	local_central	local_lower_95	local_upper_95	local_delta_from_primary	source_file
primary_ml_midpoint	primary	Primary ML tree, midpoint root	AUS	37	1	point_estimate	0.310600559767999	0.310600559767999	0.310600559767999	0	0.685056004069509	0.685056004069509	0.685056004069509	0	results/phylogeography/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_midpoint	primary	Primary ML tree, midpoint root	BEL	82	1	point_estimate	0.247455655820331	0.247455655820331	0.247455655820331	0	0.75548847045269	0.75548847045269	0.75548847045269	0	results/phylogeography/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_midpoint	primary	Primary ML tree, midpoint root	CHN	153	1	point_estimate	0.00180441506549183	0.00180441506549183	0.00180441506549183	0	0.998665745323372	0.998665745323372	0.998665745323372	0	results/phylogeography/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_midpoint	primary	Primary ML tree, midpoint root	FRA	53	1	point_estimate	0.872129477760444	0.872129477760444	0.872129477760444	0	0.126307958789039	0.126307958789039	0.126307958789039	0	results/phylogeography/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_midpoint	primary	Primary ML tree, midpoint root	JPN	60	1	point_estimate	0.862804149270516	0.862804149270516	0.862804149270516	0	0.155214173592797	0.155214173592797	0.155214173592797	0	results/phylogeography/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_outgroup	rooting	Primary ML tree, outgroup root	AUS	37	1	point_estimate	0.310589774717938	0.310589774717938	0.310589774717938	-1.07850500612461e-05	0.685056478828505	0.685056478828505	0.685056478828505	4.74758996005242e-07	results/phylogeography_alternative_root/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_outgroup	rooting	Primary ML tree, outgroup root	BEL	82	1	point_estimate	0.247449546909465	0.247449546909465	0.247449546909465	-6.10891086585963e-06	0.755496813590547	0.755496813590547	0.755496813590547	8.34313785713636e-06	results/phylogeography_alternative_root/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_outgroup	rooting	Primary ML tree, outgroup root	CHN	153	1	point_estimate	0.00180164319404828	0.00180164319404828	0.00180164319404828	-2.77187144354682e-06	0.998667399559816	0.998667399559816	0.998667399559816	1.65423644382656e-06	results/phylogeography_alternative_root/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_outgroup	rooting	Primary ML tree, outgroup root	FRA	53	1	point_estimate	0.872138042524289	0.872138042524289	0.872138042524289	8.56476384514249e-06	0.126311352709862	0.126311352709862	0.126311352709862	3.39392082340795e-06	results/phylogeography_alternative_root/events_thr0_5/country_phylogeographic_summary.tsv
primary_ml_outgroup	rooting	Primary ML tree, outgroup root	JPN	60	1	point_estimate	0.862796499808744	0.862796499808744	0.862796499808744	-7.64946177200798e-06	0.155226745558194	0.155226745558194	0.155226745558194	1.25719653963075e-05	results/phylogeography_alternative_root/events_thr0_5/country_phylogeographic_summary.tsv
