analysis_id	analysis_class	analysis_label	tree_basis	rooting	topology_file_or_pattern	sampling_perturbation	result_type	n_replicates	score_semantics	source_file	replicate_source_file
primary_ml_midpoint	primary	Primary ML tree, midpoint root	maximum_likelihood	midpoint	results/phylogeny/gtd_gate_rescue4_depth_core_snp.treefile	none	point	1	Non-complementary heuristic ancestry scores conditional on the sampled tree, geographic-state reconstruction, and retained reference set	results/phylogeography/events_thr0_5/country_phylogeographic_summary.tsv	
primary_ml_outgroup	rooting	Primary ML tree, outgroup root	maximum_likelihood	outgroup_mrca	results/phylogeography_alternative_root/gtd_primary_final_outgroup_rooted.tree	none	point	1	Non-complementary heuristic ancestry scores conditional on the sampled tree, geographic-state reconstruction, and retained reference set	results/phylogeography_alternative_root/events_thr0_5/country_phylogeographic_summary.tsv	
bootstrap_consensus_midpoint	topology	Bootstrap consensus tree, midpoint root	bootstrap_consensus	midpoint	results/phylogeny/gtd_gate_rescue4_depth_core_snp.contree	none	point	1	Non-complementary heuristic ancestry scores conditional on the sampled tree, geographic-state reconstruction, and retained reference set	results/phylogeography_consensus/events_thr0_5/country_phylogeographic_summary.tsv	
bionj_midpoint	topology	BIONJ distance tree, midpoint root	bionj_distance	midpoint	results/phylogeography_bionj/gtd_gate_rescue4_depth_core_snp.bionj	none	point	1	Non-complementary heuristic ancestry scores conditional on the sampled tree, geographic-state reconstruction, and retained reference set	results/phylogeography_bionj/events_thr0_5/country_phylogeographic_summary.tsv	
historical_reference_keep80	reference_sampling	Historical focal reference, 80% retained	maximum_likelihood_pruned	fixed_primary_root	results/phylogeography_reference_sensitivity/replicate_*/historical_jackknife.tree	stratified_20_percent_historical_focal_deletion	jackknife	30	Non-complementary heuristic ancestry scores conditional on the sampled tree, geographic-state reconstruction, and retained reference set	results/phylogeography_reference_sensitivity/country_score_jackknife_summary.tsv	results/phylogeography_reference_sensitivity/country_score_replicates.tsv
global_background_keep80	background_sampling	Global background, 80% retained	maximum_likelihood_pruned	fixed_primary_root	results/phylogeography_background_sensitivity/replicate_*/historical_jackknife.tree	stratified_20_percent_global_background_deletion	jackknife	30	Non-complementary heuristic ancestry scores conditional on the sampled tree, geographic-state reconstruction, and retained reference set	results/phylogeography_background_sensitivity/country_score_jackknife_summary.tsv	results/phylogeography_background_sensitivity/country_score_replicates.tsv
