primary_cluster	best_alternate_cluster	overlap_n	primary_n	alternate_n	primary_member_recovery	jaccard
L1_02.06	L1_02.06	292	298	292	0.9798657718120806	0.9798657718120806
L1_02.07	L1_02.07	288	288	288	1.0	1.0
L1_02.05	L1_02.05	164	164	170	1.0	0.9647058823529412
L1_01.03	L1_01.03	109	109	109	1.0	1.0
L1_01.04	L1_01.04	38	38	38	1.0	1.0
L1_03.09	L1_03.09	30	30	30	1.0	1.0
L1_01.02	L1_01.02	28	28	28	1.0	1.0
L1_01.01	L1_01.01	15	15	15	1.0	1.0
L1_03.08	L1_03.08	9	9	9	1.0	1.0
L1_03.10	L1_03.10	5	5	5	1.0	1.0
L1_04.12	L1_04.12	3	3	3	1.0	1.0
L1_03.11	L1_03.11	2	2	2	1.0	1.0
