primary_cluster	L1_01.01	L1_01.02	L1_01.03	L1_01.04	L1_02.05	L1_02.06	L1_02.07	L1_03.08	L1_03.09	L1_03.10	L1_03.11	L1_04.12
L1_01.01	15	0	0	0	0	0	0	0	0	0	0	0
L1_01.02	0	28	0	0	0	0	0	0	0	0	0	0
L1_01.03	0	0	109	0	0	0	0	0	0	0	0	0
L1_01.04	0	0	0	38	0	0	0	0	0	0	0	0
L1_02.05	0	0	0	0	164	0	0	0	0	0	0	0
L1_02.06	0	0	0	0	6	292	0	0	0	0	0	0
L1_02.07	0	0	0	0	0	0	288	0	0	0	0	0
L1_03.08	0	0	0	0	0	0	0	9	0	0	0	0
L1_03.09	0	0	0	0	0	0	0	0	30	0	0	0
L1_03.10	0	0	0	0	0	0	0	0	0	5	0	0
L1_03.11	0	0	0	0	0	0	0	0	0	0	2	0
L1_04.12	0	0	0	0	0	0	0	0	0	0	0	3
