analysis	object_type	bytes	sha256	repository_policy
primary_project_adjusted	Stan fit	189328284	6870dd3dd334dd965fc616e204bc5105608c9db6dc2fb037b7194480d04307be	Excluded from Git repository; summary tables included
primary_project_adjusted	Posterior draws	47717168	3eac5bcc61ed50617f03256cf07970e5a56ba1272f8763b053ac6b594e86c65d	Excluded from Git repository; summary tables included
primary_project_adjusted	Compiled Stan model	27926802	331c5bd8dbd70bab2fe0ed85b07d3cc9e2fa4798132e34068b572890fad84fc5	Excluded from Git repository; Stan source included
primary_no_project	Stan fit	184498716	19cbca8ac8682ac5fa566dea1efdd22b0ff9616ec005687c663ddc241e957c42	Excluded from Git repository; summary tables included
primary_no_project	Posterior draws	45603976	0470dcf8b5d1a1102d0f64fcdb22a66ded881469105c8c3aff392524f60b5145	Excluded from Git repository; summary tables included
primary_no_project	Compiled Stan model	27919715	3fa6190fec0cfb56cb17ad8bfb422111477d5186bd2a6f922a836c581e5ce793	Excluded from Git repository; Stan source included
pre_rescue_project_adjusted	Stan fit	182323308	ccc08f382a321b2ec75d210d878cff0ab3371f47a2131c69723fcefa3bb6379a	Excluded from Git repository; summary tables and exact model input included
pre_rescue_project_adjusted	Posterior draws	48090580	a2d9a77cff8d2afb42cc4b6927491ca3e473e8275c68fc413bb62038a12d1ca3	Excluded from Git repository; summary tables and exact model input included
pre_rescue_project_adjusted	Compiled Stan model	27926821	7b3b40b452897aed02516cae5ec36fc2f46d8c2a0c25c180fdd0bb979b5d14b4	Excluded from Git repository; Stan source included
initial_state_symmetric	Posterior draws	46438672	9ee770ade500707d7acd54dd54af89de8f741ee8cb18421fbbba0e8cdd582ab9	Excluded from Git repository; prior-specific summaries included
input_threshold_0_7	Posterior draws	45911084	16f262a977d710893a2e575b004a3648ee4b96ca0843c23f6ddf1f0a6e837217	Excluded from Git repository; input-specific summaries included
input_threshold_0_9	Posterior draws	45815276	1fb94984bbbda525763f013d513faf186317718dd1ba244a44fc85c7ca11cee5	Excluded from Git repository; input-specific summaries included
input_time_midpoint	Posterior draws	45865012	b934627ed997ba92c47cf54982064d652f3362bf7c02409d39ee32cc8d478be3	Excluded from Git repository; input-specific summaries included
input_time_interval_uniform	Posterior draws	45905044	3f56705fea68e8eda2bd220e1698959fa44209e6015dbd3660f3da6436085d2a	Excluded from Git repository; input-specific summaries included
input_alternative_root	Posterior draws	45879732	c6b8a1174bde6701adca818fed594af3817a83a1456f0cf51ddb71b587bd18ef	Excluded from Git repository; input-specific summaries included
temporal_holdout_2025	Posterior draws	32940780	4d9e869ddcdff42344524ca18c14efd3272d54bec3920742c0424a95c7fd22f5	Excluded from Git repository; leakage audit, diagnostics, forecasts, and metrics included
