analysis_id	analysis_label	numerator	denominator	mean	median	lower_95	upper_95	posterior_probability_above_one
historical_pre2019	Strict primary: historical genomes before 2019	L1_02.07	L1_01.02	1.10935637234302	1.10784354611111	1.05350372647225	1.17292933349431	1
historical_pre2019	Strict primary: historical genomes before 2019	L1_02.07	L1_02.05	1.13457011166229	1.13136118715793	1.0825860911663	1.20393901440984	1
historical_pre2019	Strict primary: historical genomes before 2019	L1_02.07	L1_02.06	1.15051280376885	1.14840957181012	1.09942632795888	1.21570347977627	1
historical_pre2019	Strict primary: historical genomes before 2019	L1_02.07	Other	1.18151468143793	1.17818988022823	1.1246119666928	1.25985186183695	1
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	L1_02.07	L1_01.02	1.13258926622402	1.12766720290696	1.04726944565981	1.24415666861075	0.999
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	L1_02.07	L1_02.05	1.14844710312097	1.14499541034235	1.05795881398268	1.26003344222483	1
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	L1_02.07	L1_02.06	1.16866479972121	1.16560219170016	1.07725288324169	1.27730426699914	1
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	L1_02.07	Other	1.20147709347277	1.19708207509655	1.11925740448941	1.31089491416259	1
