analysis_id	analysis_label	lineage	mean	median	lower_95	upper_95	posterior_probability_above_one
historical_pre2019	Strict primary: historical genomes before 2019	L1_01.02	1.0038509009508	1.00337564865089	0.971471121931227	1.03819276055801	0.5755
historical_pre2019	Strict primary: historical genomes before 2019	L1_02.05	0.981504349443769	0.982369082018935	0.950043812174792	1.00741610842552	0.089
historical_pre2019	Strict primary: historical genomes before 2019	L1_02.06	0.967856599996594	0.968293541573631	0.939898333914597	0.991698100187899	0.0035
historical_pre2019	Strict primary: historical genomes before 2019	L1_02.07	1.11323050429021	1.11204828279221	1.07829085892382	1.15550864211045	1
historical_pre2019	Strict primary: historical genomes before 2019	Other	0.942644190857178	0.944382976001428	0.900314580455427	0.974269515503064	0
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	L1_01.02	0.996465753400803	0.995787633169088	0.955975343719554	1.04160924503291	0.424
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	L1_02.05	0.982622737571846	0.983029368919978	0.944220462178805	1.01878855744	0.172
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	L1_02.06	0.965547174725482	0.965947631358094	0.930643334705099	0.999003729354484	0.023
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	L1_02.07	1.1277051208975	1.12571180026834	1.06950141267047	1.20424516582693	1
symmetric_dirichlet	Sensitivity: symmetric Dirichlet(0.5)	Other	0.939267615514884	0.940183480484598	0.888188182212031	0.984788549890128	0.00375
