country_iso3	primary_model_lineage_id	n_resurgence_tips	mean_post_import_support	mean_local_persistence_support	mean_raw_reseeding_support
AUS	L1_01.02	4	0.7435417607616917	0.1677604538610016	0.4877113840537374
AUS	L1_02.05	17	0.24730434813757535	0.7552233750299606	0.262495607172394
AUS	L1_02.06	13	0.134189517342984	0.8718437818552582	0.1542312195043964
AUS	L1_02.07	3	0.8563389925731194	0.1677604538610016	0.9999917209689514
BEL	L1_01.02	5	0.8577775388802273	0.1647295855304578	0.9936096623807285
BEL	L1_02.05	6	0.5547852415917449	0.44269552064868695	0.5652865450035137
BEL	L1_02.06	68	0.15151339063367436	0.8525989545042513	0.1764534875256128
BEL	L1_02.07	3	0.7901177131782237	0.1647295855304578	0.6501274890864478
CHN	L1_02.06	4	0.05098278306443715	0.9490280633635504	0.050982783535668486
CHN	L1_02.07	148	0.00048316257875614157	0.999999999184223	0.0004887264896045824
CHN	Other	1	0.00021221477572986694	0.99999999993264	0.00021225982038575175
FRA	L1_01.02	6	0.8839507431656934	0.1263113527098623	0.9628479658781307
FRA	L1_02.05	8	0.865269752584633	0.1263113527098623	0.849714073885516
FRA	L1_02.06	33	0.8715487812007603	0.1263113527098623	0.8733268276389634
FRA	L1_02.07	6	0.8727239990818325	0.1263113527098623	0.8750161556767021
JPN	L1_01.02	1	0.8644541708891708	0.1552267455581937	0.9899707612663978
JPN	L1_02.05	3	0.8649482143326329	0.1552267455581937	0.9941747879204881
JPN	L1_02.06	2	0.8197845140799557	0.1552267455581937	0.706112915491039
JPN	L1_02.07	54	0.8642392990088453	0.1552267455581937	0.9882587893228567
