country_iso3	n_resurgence_tips	mean_post_import_support	mean_local_persistence_support
AUS	37	0.3105897747179378	0.6850564788285053
BEL	82	0.24744954690946502	0.7554968135905472
CHN	153	0.0018016431940482839	0.998667399559816
FRA	53	0.8721380425242888	0.1263113527098623
JPN	60	0.8627964998087438	0.1552267455581937
