event_id	parent_node	child_node	destination_country	transition_support	parent_country_probability	child_country_probability	top_source_state	top_source_probability_conditional	n_descendant_country_tips	n_descendant_prepandemic	n_descendant_pandemic	n_descendant_resurgence	descendant_date_lower	descendant_date_upper	n_attributed_tips	n_resurgence	n_lineages	sample_span_days	high_support_introduction	post_resurgence_candidate	high_support_post_reseeding	successful_sampled_cluster
NODE_0001->NODE_0952:AUS	NODE_0001	NODE_0952	AUS	0.16774393033772025	9.8494745937293e-05	0.1677604538610016	Europe_other	0.9945442034720818	97	60	0	37	1971-01-01	2024-10-31	0	0	0	19662	False	False	False	False
NODE_0001->NODE_0952:BEL	NODE_0001	NODE_0952	BEL	0.1647136531245894	9.671854522720982e-05	0.1647295855304578	Europe_other	0.9945424367910906	119	20	17	82	2014-01-30	2023-12-31	0	0	0	3622	False	False	False	False
NODE_0001->NODE_0952:CHN	NODE_0001	NODE_0952	CHN	0.1376487339214805	7.935891490586135e-05	0.1376596584426008	Europe_other	0.9945251705318174	388	157	78	153	1951-01-01	2024-12-31	0	0	0	27028	False	False	False	False
NODE_0001->NODE_0952:FRA	NODE_0001	NODE_0952	FRA	0.12630198522657188	7.41618476047402e-05	0.1263113527098623	Europe_other	0.9945200015342311	59	6	0	53	2000-01-01	2024-12-31	0	0	0	9131	False	False	False	False
NODE_0001->NODE_0952:JPN	NODE_0001	NODE_0952	JPN	0.1552127049237301	9.045241793301528e-05	0.1552267455581937	Europe_other	0.9945362042978382	111	50	1	60	1950-01-01	2025-12-31	0	0	0	27758	False	False	False	False
NODE_0952->NODE_0941:AUS	NODE_0952	NODE_0941	AUS	0.09960227216894518	0.1677604538610016	0.1196798116972801	BEL	0.1979353015543258	97	60	0	37	1971-01-01	2024-10-31	0	0	0	19662	False	False	False	False
NODE_0952->NODE_0941:BEL	NODE_0952	NODE_0941	BEL	0.09803995385427743	0.1647295855304578	0.11737510649954	AUS	0.20084567938102038	119	20	17	82	2014-01-30	2023-12-31	0	0	0	3622	False	False	False	False
NODE_0952->NODE_0941:CHN	NODE_0952	NODE_0941	CHN	0.13969031364682497	0.1376596584426008	0.1619897700651952	AUS	0.19454088574590384	388	157	78	153	1951-01-01	2024-12-31	0	0	0	27028	False	False	False	False
NODE_0952->NODE_0941:FRA	NODE_0952	NODE_0941	FRA	0.07863271945265457	0.1263113527098623	0.0900008483531799	AUS	0.19201400222073756	59	6	0	53	2000-01-01	2024-12-31	0	0	0	9131	False	False	False	False
NODE_0952->NODE_0941:JPN	NODE_0952	NODE_0941	JPN	0.11872252709334132	0.1552267455581937	0.1405377436715709	AUS	0.19858636974942032	111	50	1	60	1950-01-01	2025-12-31	0	0	0	27758	False	False	False	False
