country_iso3	primary_model_lineage_id	initial_prior_mode	initial_prior_end_year	n_historical_tips	dirichlet_alpha
AUS	L1_01.02	symmetric	2018	0	0.5
AUS	L1_02.05	symmetric	2018	0	0.5
AUS	L1_02.06	symmetric	2018	0	0.5
AUS	L1_02.07	symmetric	2018	0	0.5
AUS	Other	symmetric	2018	0	0.5
CHN	L1_01.02	symmetric	2018	0	0.5
CHN	L1_02.05	symmetric	2018	0	0.5
CHN	L1_02.06	symmetric	2018	0	0.5
CHN	L1_02.07	symmetric	2018	0	0.5
CHN	Other	symmetric	2018	0	0.5
JPN	L1_01.02	symmetric	2018	0	0.5
JPN	L1_02.05	symmetric	2018	0	0.5
JPN	L1_02.06	symmetric	2018	0	0.5
JPN	L1_02.07	symmetric	2018	0	0.5
JPN	Other	symmetric	2018	0	0.5
