country_iso3	epidemic_period	lineage_group	n_tree_tips	n_source_ptxP_annotated	pct_source_ptxP_annotated	n_source_fim3_annotated	pct_source_fim3_annotated	n_source_antigen_profile_annotated	pct_source_antigen_profile_annotated	n_source_23S_raw_annotated	pct_source_23S_raw_annotated	n_frozen_archive_matched	pct_frozen_archive_matched	n_frozen_23S_annotated	pct_frozen_23S_annotated	n_frozen_PRN_interpretable	pct_frozen_PRN_interpretable	n_frozen_PRN_non_interpretable	pct_frozen_PRN_non_interpretable	n_frozen_PRN_not_matched	n_published_MT28_annotated	pct_published_MT28_annotated
AUS	prepandemic	Other_model_lineages	60	58	96.6666666666667	58	96.6666666666667	58	96.6666666666667	57	95	34	56.6666666666667	31	51.6666666666667	12	20	22	36.6666666666667	26	0	0
AUS	resurgence	L1_02.07	3	3	100	3	100	3	100	3	100	2	66.6666666666667	2	66.6666666666667	2	66.6666666666667	0	0	1	3	100
AUS	resurgence	Other_model_lineages	34	34	100	34	100	34	100	34	100	0	0	0	0	0	0	0	0	34	0	0
BEL	prepandemic	L1_02.07	3	3	100	3	100	3	100	3	100	0	0	0	0	0	0	0	0	3	3	100
BEL	prepandemic	Other_model_lineages	17	13	76.4705882352941	13	76.4705882352941	13	76.4705882352941	13	76.4705882352941	0	0	0	0	0	0	0	0	17	0	0
BEL	pandemic	L1_02.07	1	1	100	1	100	1	100	1	100	0	0	0	0	0	0	0	0	1	1	100
BEL	pandemic	Other_model_lineages	16	16	100	16	100	16	100	16	100	0	0	0	0	0	0	0	0	16	0	0
BEL	resurgence	L1_02.07	3	3	100	3	100	3	100	3	100	0	0	0	0	0	0	0	0	3	3	100
BEL	resurgence	Other_model_lineages	79	79	100	79	100	79	100	79	100	0	0	0	0	0	0	0	0	79	0	0
CHN	prepandemic	L1_02.07	12	3	25	2	16.6666666666667	2	16.6666666666667	3	25	12	100	3	25	4	33.3333333333333	8	66.6666666666667	0	2	16.6666666666667
CHN	prepandemic	Other_model_lineages	145	95	65.5172413793103	94	64.8275862068966	94	64.8275862068966	95	65.5172413793103	145	100	95	65.5172413793103	36	24.8275862068966	109	75.1724137931034	0	0	0
CHN	pandemic	L1_02.07	41	22	53.6585365853659	21	51.219512195122	21	51.219512195122	22	53.6585365853659	41	100	22	53.6585365853659	25	60.9756097560976	16	39.0243902439024	0	21	51.219512195122
CHN	pandemic	Other_model_lineages	37	34	91.8918918918919	34	91.8918918918919	34	91.8918918918919	34	91.8918918918919	37	100	34	91.8918918918919	35	94.5945945945946	2	5.40540540540541	0	0	0
CHN	resurgence	L1_02.07	148	45	30.4054054054054	45	30.4054054054054	45	30.4054054054054	45	30.4054054054054	148	100	45	30.4054054054054	30	20.2702702702703	118	79.7297297297297	0	44	29.7297297297297
CHN	resurgence	Other_model_lineages	5	1	20	1	20	1	20	1	20	5	100	1	20	3	60	2	40	0	0	0
FRA	prepandemic	Other_model_lineages	6	5	83.3333333333333	5	83.3333333333333	4	66.6666666666667	6	100	6	100	6	100	5	83.3333333333333	1	16.6666666666667	0	0	0
FRA	resurgence	L1_02.07	6	6	100	5	83.3333333333333	5	83.3333333333333	6	100	1	16.6666666666667	1	16.6666666666667	1	16.6666666666667	0	0	5	5	83.3333333333333
FRA	resurgence	Other_model_lineages	47	47	100	43	91.4893617021277	43	91.4893617021277	47	100	5	10.6382978723404	5	10.6382978723404	5	10.6382978723404	0	0	42	0	0
JPN	prepandemic	Other_model_lineages	50	48	96	46	92	46	92	48	96	21	42	19	38	18	36	3	6	29	0	0
JPN	pandemic	Other_model_lineages	1	1	100	1	100	1	100	1	100	1	100	1	100	1	100	0	0	0	0	0
JPN	resurgence	L1_02.07	54	7	12.962962962963	0	0	0	0	7	12.962962962963	34	62.962962962963	7	12.962962962963	16	29.6296296296296	18	33.3333333333333	20	0	0
JPN	resurgence	Other_model_lineages	6	1	16.6666666666667	0	0	0	0	1	16.6666666666667	3	50	1	16.6666666666667	2	33.3333333333333	1	16.6666666666667	3	0	0
