country_iso3	epidemic_period	project_id	n_tree_tips	n_l10207	pct_l10207	n_source_antigen_profile_annotated	pct_source_antigen_profile_annotated	n_frozen_23S_annotated	pct_frozen_23S_annotated	n_frozen_PRN_interpretable	pct_frozen_PRN_interpretable
AUS	prepandemic	PRJEB2274	10	0	0	8	80	8	80	0	0
AUS	prepandemic	PRJNA1199062	26	0	0	26	100	0	0	0	0
AUS	prepandemic	PRJNA390469	1	0	0	1	100	1	100	0	0
AUS	prepandemic	PRJNA432286	10	0	0	10	100	10	100	1	10
AUS	prepandemic	PRJNA562796	10	0	0	10	100	9	90	8	80
AUS	prepandemic	PRJNA695314	3	0	0	3	100	3	100	3	100
AUS	resurgence	PRJNA1178746	2	2	100	2	100	2	100	2	100
AUS	resurgence	PRJNA1199062	35	1	2.85714285714286	35	100	0	0	0	0
BEL	prepandemic	PRJEB88325	20	3	15	16	80	0	0	0	0
BEL	pandemic	PRJEB88325	17	1	5.88235294117647	17	100	0	0	0	0
BEL	resurgence	PRJEB88325	82	3	3.65853658536585	82	100	0	0	0	0
CHN	prepandemic	PRJNA1071282	8	1	12.5	8	100	8	100	7	87.5
CHN	prepandemic	PRJNA1110622	61	0	0	61	100	61	100	0	0
CHN	prepandemic	PRJNA1295129	50	8	16	0	0	0	0	0	0
CHN	prepandemic	PRJNA266616	1	0	0	1	100	1	100	1	100
CHN	prepandemic	PRJNA393244	12	1	8.33333333333333	10	83.3333333333333	10	83.3333333333333	12	100
CHN	prepandemic	PRJNA488737	1	0	0	1	100	1	100	0	0
CHN	prepandemic	PRJNA489102	9	0	0	7	77.7777777777778	7	77.7777777777778	8	88.8888888888889
CHN	prepandemic	PRJNA530108	1	0	0	1	100	1	100	1	100
CHN	prepandemic	PRJNA695405	2	0	0	2	100	2	100	0	0
CHN	prepandemic	PRJNA770762	4	0	0	4	100	4	100	4	100
CHN	prepandemic	PRJNA777368	1	0	0	1	100	1	100	1	100
CHN	prepandemic	PRJNA908268	4	1	25	0	0	0	0	4	100
CHN	prepandemic	PRJNA934178	1	1	100	0	0	1	100	1	100
CHN	prepandemic	PRJNA934182	1	0	0	0	0	1	100	1	100
CHN	prepandemic	PRJNA934183	1	0	0	0	0	0	0	0	0
CHN	pandemic	PRJNA1071282	4	2	50	4	100	4	100	4	100
CHN	pandemic	PRJNA1110622	1	0	0	1	100	1	100	0	0
CHN	pandemic	PRJNA1133929	44	15	34.0909090909091	44	100	44	100	44	100
CHN	pandemic	PRJNA1193776	8	4	50	6	75	6	75	7	87.5
CHN	pandemic	PRJNA1295129	16	16	100	0	0	0	0	0	0
CHN	pandemic	PRJNA908268	4	3	75	0	0	0	0	4	100
CHN	pandemic	PRJNA934177	1	1	100	0	0	1	100	1	100
CHN	resurgence	PRJNA1071282	4	3	75	4	100	4	100	3	75
CHN	resurgence	PRJNA1133929	18	18	100	18	100	18	100	18	100
CHN	resurgence	PRJNA1143937	19	19	100	13	68.4210526315789	13	68.4210526315789	0	0
CHN	resurgence	PRJNA1182239	83	82	98.7951807228916	0	0	0	0	0	0
CHN	resurgence	PRJNA1193776	13	11	84.6153846153846	11	84.6153846153846	11	84.6153846153846	12	92.3076923076923
CHN	resurgence	PRJNA1295129	16	15	93.75	0	0	0	0	0	0
FRA	prepandemic	PRJEB2274	1	0	0	1	100	1	100	0	0
FRA	prepandemic	PRJEB27048	1	0	0	1	100	1	100	1	100
FRA	prepandemic	PRJNA266616	1	0	0	0	0	1	100	1	100
FRA	prepandemic	PRJNA281570	2	0	0	2	100	2	100	2	100
FRA	prepandemic	PRJNA486745	1	0	0	0	0	1	100	1	100
FRA	resurgence	PRJEB42353	47	5	10.6382978723404	47	100	0	0	0	0
FRA	resurgence	PRJEB85093	5	1	20	0	0	5	100	5	100
FRA	resurgence	PRJNA1135758	1	0	0	1	100	1	100	1	100
JPN	prepandemic	PRJDB7578	10	0	0	9	90	9	90	10	100
JPN	prepandemic	PRJEB18624	34	0	0	34	100	5	14.7058823529412	5	14.7058823529412
JPN	prepandemic	PRJEB2274	3	0	0	2	66.6666666666667	2	66.6666666666667	0	0
JPN	prepandemic	PRJNA231221	1	0	0	1	100	1	100	1	100
JPN	prepandemic	PRJNA266616	1	0	0	0	0	1	100	1	100
JPN	prepandemic	PRJNA486745	1	0	0	0	0	1	100	1	100
JPN	pandemic	PRJDB7578	1	0	0	1	100	1	100	1	100
JPN	resurgence	PRJDB20292	2	2	100	0	0	0	0	0	0
JPN	resurgence	PRJDB20413	15	14	93.3333333333333	0	0	0	0	0	0
JPN	resurgence	PRJDB34249	14	11	78.5714285714286	0	0	0	0	1	7.14285714285714
JPN	resurgence	PRJDB35593	8	7	87.5	0	0	8	100	8	100
JPN	resurgence	PRJDB37898	21	20	95.2380952380952	0	0	0	0	9	42.8571428571429
