country_iso3	epidemic_period	lineage_group	feature	category	n_category	n_feature_annotated	n_feature_interpretable	n_feature_missing	n_lineage_tree_total	category_percent_of_annotated	category_percent_of_tree_total
BEL	prepandemic	L1_02.07	frozen_PRN_outcome	MISSING	3	0	0	3	3		100
BEL	prepandemic	L1_02.07	frozen_PRN_mechanism	MISSING	3	0	0	3	3		100
BEL	prepandemic	L1_02.07	published_MT_label	MS-MT28	3	3	3	0	3	100	100
BEL	prepandemic	Other_model_lineages	source_ptxP	ptxP3	12	13	13	4	17	92.3076923076923	70.5882352941177
BEL	prepandemic	Other_model_lineages	source_ptxP	MISSING	4	13	13	4	17		23.5294117647059
BEL	prepandemic	Other_model_lineages	source_ptxP	ptxP1	1	13	13	4	17	7.69230769230769	5.88235294117647
BEL	prepandemic	Other_model_lineages	source_fim3	fim3-1	8	13	13	4	17	61.5384615384615	47.0588235294118
BEL	prepandemic	Other_model_lineages	source_fim3	fim3-2	4	13	13	4	17	30.7692307692308	23.5294117647059
BEL	prepandemic	Other_model_lineages	source_fim3	MISSING	4	13	13	4	17		23.5294117647059
BEL	prepandemic	Other_model_lineages	source_fim3	fim3-4	1	13	13	4	17	7.69230769230769	5.88235294117647
BEL	prepandemic	Other_model_lineages	source_antigen_profile	ptxP3/fim3-1	8	13	13	4	17	61.5384615384615	47.0588235294118
BEL	prepandemic	Other_model_lineages	source_antigen_profile	MISSING	4	13	13	4	17		23.5294117647059
BEL	prepandemic	Other_model_lineages	source_antigen_profile	ptxP3/fim3-2	4	13	13	4	17	30.7692307692308	23.5294117647059
BEL	prepandemic	Other_model_lineages	source_antigen_profile	ptxP1/fim3-4	1	13	13	4	17	7.69230769230769	5.88235294117647
BEL	prepandemic	Other_model_lineages	source_23S_raw	23S_rRNA_1	13	13	13	4	17	100	76.4705882352941
BEL	prepandemic	Other_model_lineages	source_23S_raw	MISSING	4	13	13	4	17		23.5294117647059
BEL	prepandemic	Other_model_lineages	frozen_23S_status	MISSING	17	0	0	17	17		100
BEL	prepandemic	Other_model_lineages	frozen_PRN_outcome	MISSING	17	0	0	17	17		100
BEL	prepandemic	Other_model_lineages	frozen_PRN_mechanism	MISSING	17	0	0	17	17		100
BEL	prepandemic	Other_model_lineages	published_MT_label	MISSING	17	0	0	17	17		100
BEL	pandemic	L1_02.07	source_ptxP	ptxP3	1	1	1	0	1	100	100
BEL	pandemic	L1_02.07	source_fim3	fim3-1	1	1	1	0	1	100	100
BEL	pandemic	L1_02.07	source_antigen_profile	ptxP3/fim3-1	1	1	1	0	1	100	100
BEL	pandemic	L1_02.07	source_23S_raw	23S_rRNA_1	1	1	1	0	1	100	100
BEL	pandemic	L1_02.07	frozen_23S_status	MISSING	1	0	0	1	1		100
BEL	pandemic	L1_02.07	frozen_PRN_outcome	MISSING	1	0	0	1	1		100
BEL	pandemic	L1_02.07	frozen_PRN_mechanism	MISSING	1	0	0	1	1		100
BEL	pandemic	L1_02.07	published_MT_label	MS-MT28	1	1	1	0	1	100	100
BEL	pandemic	Other_model_lineages	source_ptxP	ptxP3	16	16	16	0	16	100	100
BEL	pandemic	Other_model_lineages	source_fim3	fim3-1	9	16	16	0	16	56.25	56.25
BEL	pandemic	Other_model_lineages	source_fim3	fim3-2	7	16	16	0	16	43.75	43.75
BEL	pandemic	Other_model_lineages	source_antigen_profile	ptxP3/fim3-1	9	16	16	0	16	56.25	56.25
BEL	pandemic	Other_model_lineages	source_antigen_profile	ptxP3/fim3-2	7	16	16	0	16	43.75	43.75
BEL	pandemic	Other_model_lineages	source_23S_raw	23S_rRNA_1	16	16	16	0	16	100	100
BEL	pandemic	Other_model_lineages	frozen_23S_status	MISSING	16	0	0	16	16		100
BEL	pandemic	Other_model_lineages	frozen_PRN_outcome	MISSING	16	0	0	16	16		100
BEL	pandemic	Other_model_lineages	frozen_PRN_mechanism	MISSING	16	0	0	16	16		100
BEL	pandemic	Other_model_lineages	published_MT_label	MISSING	16	0	0	16	16		100
BEL	resurgence	L1_02.07	source_ptxP	ptxP3	3	3	3	0	3	100	100
BEL	resurgence	L1_02.07	source_fim3	fim3-1	3	3	3	0	3	100	100
BEL	resurgence	L1_02.07	source_antigen_profile	ptxP3/fim3-1	3	3	3	0	3	100	100
BEL	resurgence	L1_02.07	source_23S_raw	23S_rRNA_1	3	3	3	0	3	100	100
BEL	resurgence	L1_02.07	frozen_23S_status	MISSING	3	0	0	3	3		100
BEL	resurgence	L1_02.07	frozen_PRN_outcome	MISSING	3	0	0	3	3		100
BEL	resurgence	L1_02.07	frozen_PRN_mechanism	MISSING	3	0	0	3	3		100
BEL	resurgence	L1_02.07	published_MT_label	MS-MT28	3	3	3	0	3	100	100
