country_iso3	epidemic_period	contrast	exposed_category	reference_categories	l10207_exposed	l10207_reference	other_exposed	other_reference	l10207_exposed_percent	other_exposed_percent	fisher_odds_ratio_l10207_vs_other	fisher_conf_low	fisher_conf_high	fisher_p_value	analysis_status	fisher_p_bh_exploratory
AUS	prepandemic	ptxP3_vs_other_ptxP	ptxP3	ptxP1;ptxP(~5);ptxP8	0	0	48	10		82.7586206896552					not_estimable_lineage_group_absent	
AUS	prepandemic	fim3-1_vs_other_fim3	fim3-1	fim3-4;fim3-2;fim3-27;fim3-45;fim3-26	0	0	41	17		70.6896551724138					not_estimable_lineage_group_absent	
AUS	prepandemic	MR_A2047G_vs_MS	MR_A2047G	MS	0	0	0	31		0					not_estimable_lineage_group_absent	
AUS	prepandemic	PRN_disrupted_vs_intact	disrupted	intact	0	0	1	11		8.33333333333333					not_estimable_lineage_group_absent	
AUS	pandemic	ptxP3_vs_other_ptxP	ptxP3	ptxP1;ptxP(~5);ptxP8	0	0	0	0							not_estimable_lineage_group_absent	
AUS	pandemic	fim3-1_vs_other_fim3	fim3-1	fim3-4;fim3-2;fim3-27;fim3-45;fim3-26	0	0	0	0							not_estimable_lineage_group_absent	
AUS	pandemic	MR_A2047G_vs_MS	MR_A2047G	MS	0	0	0	0							not_estimable_lineage_group_absent	
AUS	pandemic	PRN_disrupted_vs_intact	disrupted	intact	0	0	0	0							not_estimable_lineage_group_absent	
AUS	resurgence	ptxP3_vs_other_ptxP	ptxP3	ptxP1;ptxP(~5);ptxP8	3	0	30	4	100	88.2352941176471					descriptive_only_sparse_lineage_group	
AUS	resurgence	fim3-1_vs_other_fim3	fim3-1	fim3-4;fim3-2;fim3-27;fim3-45;fim3-26	3	0	13	21	100	38.2352941176471					descriptive_only_sparse_lineage_group	
AUS	resurgence	MR_A2047G_vs_MS	MR_A2047G	MS	0	2	0	0	0						not_estimable_lineage_group_absent	
AUS	resurgence	PRN_disrupted_vs_intact	disrupted	intact	2	0	0	0	100						not_estimable_lineage_group_absent	
BEL	prepandemic	ptxP3_vs_other_ptxP	ptxP3	ptxP1;ptxP(~5);ptxP8	3	0	12	1	100	92.3076923076923					descriptive_only_sparse_lineage_group	
BEL	prepandemic	fim3-1_vs_other_fim3	fim3-1	fim3-4;fim3-2;fim3-27;fim3-45;fim3-26	3	0	8	5	100	61.5384615384615					descriptive_only_sparse_lineage_group	
BEL	prepandemic	MR_A2047G_vs_MS	MR_A2047G	MS	0	0	0	0							not_estimable_lineage_group_absent	
BEL	prepandemic	PRN_disrupted_vs_intact	disrupted	intact	0	0	0	0							not_estimable_lineage_group_absent	
BEL	pandemic	ptxP3_vs_other_ptxP	ptxP3	ptxP1;ptxP(~5);ptxP8	1	0	16	0	100	100					descriptive_only_sparse_lineage_group	
BEL	pandemic	fim3-1_vs_other_fim3	fim3-1	fim3-4;fim3-2;fim3-27;fim3-45;fim3-26	1	0	9	7	100	56.25					descriptive_only_sparse_lineage_group	
BEL	pandemic	MR_A2047G_vs_MS	MR_A2047G	MS	0	0	0	0							not_estimable_lineage_group_absent	
