published_mt28_label	n_tree_tips	n_focal	n_global_background	n_l10207	n_outside_l10207
MR-MT28-others	36	35	1	36	0
MR-MT28-PG1	19	19	0	19	0
MR-MT28-PG2	15	15	0	15	0
MS-MT28	29	13	16	29	0
