cohort_version	analysis_domain	metric	entity	estimate	lower_95	upper_95	rank_descending	prespecified_gate_member
pre_rescue	growth	relative_transmission_median	L1_02.07	1.17515629339598	1.11043594801603	1.26846394470403		true
pre_rescue	ancestry	mean_local_persistence_support	AUS	0.19673781560773465			3	false
pre_rescue	ancestry	mean_local_persistence_support	BEL	0.73280068335707615			2	false
pre_rescue	ancestry	mean_local_persistence_support	CHN	0.998828373617346			1	true
pre_rescue	ancestry	mean_local_persistence_support	FRA	0.1092496479913528			5	false
pre_rescue	ancestry	mean_local_persistence_support	JPN	0.11568126381266609			4	false
pre_rescue	ancestry	mean_post_import_support	AUS	0.79966790015412914			3	false
pre_rescue	ancestry	mean_post_import_support	BEL	0.25723554437032925			4	false
pre_rescue	ancestry	mean_post_import_support	CHN	0.001487324936686212			5	false
pre_rescue	ancestry	mean_post_import_support	FRA	0.87605711614392434			2	true
pre_rescue	ancestry	mean_post_import_support	JPN	0.89100635684803298			1	true
final	growth	relative_transmission_median	L1_02.07	1.11204828279221	1.07829085892382	1.1555086421104499		true
final	ancestry	mean_local_persistence_support	AUS	0.68505600406950928			3	false
final	ancestry	mean_local_persistence_support	BEL	0.75548847045269008			2	false
final	ancestry	mean_local_persistence_support	CHN	0.99866574532337216			1	true
final	ancestry	mean_local_persistence_support	FRA	0.12630795878903889			5	false
final	ancestry	mean_local_persistence_support	JPN	0.15521417359279741			4	false
final	ancestry	mean_post_import_support	AUS	0.31060055976799905			3	false
final	ancestry	mean_post_import_support	BEL	0.24745565582033088			4	false
final	ancestry	mean_post_import_support	CHN	0.0018044150654918307			5	false
final	ancestry	mean_post_import_support	FRA	0.87212947776044369			1	true
final	ancestry	mean_post_import_support	JPN	0.86280414927051585			2	true
