figure	file	format	backend	rendered_at
Figure S1	Figure_S1_cohort_qc_and_temporal_signal.png	PNG-600dpi	R	2026-07-25 20:18:55 CST
Figure S2	Figure_S2_genomic_concordance_and_sensitivity.png	PNG-600dpi	R	2026-07-25 20:18:55 CST
Figure S3	Figure_S3_posterior_predictive_checks.png	PNG-600dpi	R	2026-07-25 20:18:55 CST
Figure S4	Figure_S4_sampling_counterfactual_and_recovery_sensitivity.png	PNG-600dpi	R	2026-07-25 20:18:55 CST
