project_id_numeric	project_id
1	PRJDB20292
2	PRJDB20413
3	PRJDB34249
4	PRJDB35593
5	PRJDB37898
6	PRJNA1133929
7	PRJNA1143937
8	PRJNA1178746
9	PRJNA1182239
10	PRJNA1199062
11	PRJNA934177
