node	geo_state
NODE_0001	AUS
NODE_0001	BEL
NODE_0001	CHN
NODE_0001	FRA
NODE_0001	JPN
NODE_0001	Unknown_other
NODE_0953	Europe_other
NODE_0952	AUS
NODE_0952	BEL
NODE_0952	CHN
NODE_0952	FRA
NODE_0952	JPN
NODE_0952	Unknown_other
NODE_0988	Europe_other
USA__SAMN03996251	Unknown_other
NODE_0941	AUS
NODE_0941	BEL
NODE_0941	CHN
NODE_0941	Europe_other
NODE_0941	FRA
NODE_0941	JPN
NODE_0941	Unknown_other
NODE_0954	AUS
NODE_0954	Asia_other
NODE_0954	BEL
NODE_0954	Europe_other
NODE_0954	JPN
NODE_0954	Unknown_other
DEU__SAMN22091640	Europe_other
IRN__SAMN12675072	Asia_other
NODE_0940	Europe_other
NODE_0942	AUS
NODE_0942	BEL
NODE_0942	CHN
NODE_0942	Europe_other
NODE_0942	FRA
NODE_0942	JPN
NODE_0942	Unknown_other
NODE_0955	Europe_other
NODE_0957	AUS
NODE_0957	Asia_other
NODE_0957	BEL
NODE_0957	Europe_other
NODE_0957	JPN
NODE_0957	Unknown_other
NODE_0004	Europe_other
NODE_0958	Asia_other
NODE_0958	Europe_other
NODE_0958	Unknown_other
NODE_0943	AUS
NODE_0943	BEL
NODE_0943	CHN
NODE_0943	FRA
NODE_0943	JPN
NODE_0943	Unknown_other
NODE_0951	Africa_other
NODE_0951	Europe_other
NODE_0956	Europe_other
USA__SAMN45987640	Unknown_other
IND__SAMN19416303	Asia_other
USA__SAMN03877216	Unknown_other
NODE_0003	Europe_other
NODE_0005	Europe_other
NODE_0959	Asia_other
NODE_0959	Europe_other
NODE_0959	Unknown_other
NODE_0985	Unknown_other
NODE_0944	CHN
NODE_0945	JPN
KEN__SAMEA1931748	Africa_other
NLD__SAMEA751360	Europe_other
DNK__SAMEA3923585	Europe_other
DNK__SAMEA3923584	Europe_other
NODE_0002	AUS
NODE_0002	Europe_other
NODE_0987	Europe_other
NODE_0006	Europe_other
NODE_0765	Europe_other
NODE_0960	Asia_other
NODE_0960	Europe_other
NODE_0960	Unknown_other
AUT__SAMN15702625	Europe_other
NODE_0986	Asia_other
USA__SAMN05333716	Unknown_other
CHN__SAMN03249373	CHN
CHN__SAMN22851881	CHN
NODE_0946	JPN
IND__SAMN19416302	Asia_other
AUS__SAMEA751508	AUS
AUS__SAMEA751511	AUS
NOR__SAMEA10057937	Europe_other
POL__SAMEA1931348	Europe_other
AUS__SAMEA751513	AUS
NODE_0007	Europe_other
NODE_0766	Europe_other
JPN__SAMEA41226418	JPN
NODE_0961	JPN
NODE_0984	Asia_other
IRN__SAMN12675069	Asia_other
IRN__SAMN12675070	Asia_other
NODE_0947	JPN
NODE_0950	Unknown_other
NODE_0008	Europe_other
NODE_0764	Europe_other
NODE_0767	Europe_other
NODE_0794	CHN
NODE_0962	JPN
JPN__SAMEA751448	JPN
IND__SAMN10525643	Asia_other
IND__SAMN19416301	Asia_other
JPN__SAMN04875532	JPN
NODE_0948	JPN
USA__SAMN16357507	Unknown_other
USA__SAMN16357510	Unknown_other
NODE_0009	Europe_other
NODE_0762	Europe_other
ESP__SAMEA8914418	Europe_other
ESP__SAMN16378404	Europe_other
NODE_0768	Europe_other
NODE_0791	AUS
NODE_0791	BEL
NODE_0795	CHN
NODE_0910	CHN
NODE_0963	JPN
USA__SAMN04994865	Unknown_other
NODE_0949	JPN
JPN__SAMN09862822	JPN
NODE_0010	Europe_other
NODE_0013	Europe_other
NODE_0763	Europe_other
AUS__SAMEA751475	AUS
NODE_0769	Europe_other
NODE_0781	AUS
NODE_0781	Europe_other
NODE_0792	AUS
NODE_0792	BEL
FRA__SAMEA115874213	FRA
NODE_0796	CHN
NODE_0904	CHN
NODE_0911	CHN
CHN__SAMN11295233	CHN
NODE_0964	JPN
JPN__SAMEA41216668	JPN
JPN__SAMN03249374	JPN
JPN__SAMEA751489	JPN
NODE_0011	Europe_other
SWE__SAMEA751314	Europe_other
NODE_0014	Europe_other
NODE_0759	Europe_other
AUS__SAMEA751183	AUS
ESP__SAMN16378546	Europe_other
NODE_0770	Europe_other
CHN__SAMN09947460	CHN
NODE_0782	AUS
AUS__SAMN45810611	AUS
NODE_0793	AUS
NODE_0793	BEL
IND__SAMN10457989	Asia_other
NODE_0797	CHN
NODE_0868	CHN
NODE_0905	CHN
CHN__SAMN07329781	CHN
NODE_0912	CHN
CHN__SAMN09947492	CHN
NODE_0965	JPN
NODE_0966	JPN
AUS__SAMEA751512	AUS
NODE_0012	Europe_other
NODE_0015	Europe_other
NODE_0016	Europe_other
NODE_0760	Europe_other
NOR__SAMEA10057881	Europe_other
NODE_0771	Europe_other
NODE_0779	Europe_other
NODE_0783	AUS
NODE_0790	FRA
AUS__SAMN18200431	AUS
BEL__SAMEA117989221	BEL
NODE_0798	CHN
NODE_0861	CHN
NODE_0869	CHN
NODE_0896	CHN
NODE_0906	CHN
NODE_0909	CHN
NODE_0913	CHN
NODE_0939	CHN
JPN__SAMEA41263168	JPN
JPN__SAMEA41187418	JPN
JPN__SAMEA41296918	JPN
NODE_0967	JPN
DNK__SAMEA751162	Europe_other
USA__SAMEA751257	Unknown_other
AUS__SAMEA751337	AUS
AUS__SAMEA751155	AUS
NODE_0017	Europe_other
NODE_0019	Europe_other
NODE_0761	Europe_other
ISR__SAMN05908237	Asia_other
NODE_0772	Europe_other
USA__SAMN11822192	Unknown_other
NODE_0780	Europe_other
NOR__SAMEA8914592	Europe_other
NODE_0784	AUS
NODE_0789	AUS
FRA__SAMEA115874222	FRA
FRA__SAMEA115874243	FRA
NODE_0799	CHN
NODE_0851	CHN
NODE_0862	CHN
CHN__SAMN41373952	CHN
NODE_0870	CHN
NODE_0892	CHN
NODE_0897	CHN
NODE_0903	CHN
CHN__SAMN09947473	CHN
NODE_0907	CHN
CHN__SAMN41373942	CHN
CHN__SAMN41373967	CHN
NODE_0914	CHN
CHN__SAMN07329769	CHN
CHN__SAMN07329787	CHN
CHN__SAMN39682878	CHN
NODE_0968	JPN
NODE_0981	JPN
NODE_0018	Europe_other
ITA__SAMEA751497	Europe_other
NODE_0020	Europe_other
NOR__SAMEA10057882	Europe_other
AUS__SAMEA751477	AUS
ESP__SAMN16378550	Europe_other
NODE_0773	Europe_other
NODE_0776	BEL
IRN__SAMN12675075	Asia_other
NOR__SAMEA10057952	Europe_other
NODE_0785	AUS
NODE_0787	JPN
AUS__SAMN45810582	AUS
BEL__SAMEA117989599	BEL
NODE_0800	CHN
CHN__SAMN41373925	CHN
CHN__SAMN09947486	CHN
NODE_0852	CHN
NODE_0863	CHN
CHN__SAMN41373963	CHN
NODE_0871	CHN
NODE_0891	CHN
NODE_0893	CHN
CHN__SAMN41373947	CHN
NODE_0898	CHN
CHN__SAMN41373945	CHN
CHN__SAMN41373936	CHN
CHN__SAMN41373951	CHN
NODE_0908	CHN
CHN__SAMN50151976	CHN
NODE_0915	CHN
CHN__SAMN50151938	CHN
NODE_0969	JPN
JPN__SAMEA41292418	JPN
NODE_0982	JPN
JPN__SAMEA41205418	JPN
AUS__SAMEA751476	AUS
ITA__SAMEA8914539	Europe_other
NODE_0021	Europe_other
NODE_0757	Europe_other
NODE_0774	Europe_other
NOR__SAMEA8914588	Europe_other
NODE_0777	BEL
BEL__SAMEA117989584	BEL
NODE_0786	AUS
AUS__SAMN45811371	AUS
NODE_0788	JPN
FRA__SAMEA117615786	FRA
NODE_0801	CHN
