parameter	value
pastml_version	1.9.50
character	geo_state
log_likelihood	-1050.8324611907683
log_likelihood_restricted_JOINT	-1078.7918062404842
log_likelihood_restricted_MAP	-1086.059486441929
log_likelihood_restricted_MPPA	-1060.9021857014177
num_scenarios	754944057154732032
num_states_per_node_avg	1.0424886191198786
num_unresolved_nodes	40
percentage_of_unresolved_nodes	2.0232675771370765
method	MPPA
model	F81
num_nodes	1977
num_tips	989
scaling_factor	6400.779018004237
state_changes_per_avg_branch	0.23339521646124906
smoothing_factor	0
AUS	0.1702842605007641
Africa_other	0.0136983906733209
Asia_other	0.05515017794539169
BEL	0.16720974944649047
CHN	0.137278387664502
Europe_other	0.04254991152436697
FRA	0.12821322122579853
JPN	0.15637347418843744
Unknown_other	0.1292424268309279
