model_specification	anchor_month	intervention_start_month	evaluation_start_month	evaluation_end_month	country_iso3	scenario	n_posterior_draws	baseline_cumulative_cases_median	scenario_cumulative_cases_median	cumulative_case_difference_mean	cumulative_case_difference_median	cumulative_case_difference_lower_95	cumulative_case_difference_upper_95	cumulative_difference_fraction_mean	cumulative_difference_fraction_median	cumulative_difference_fraction_lower_95	cumulative_difference_fraction_upper_95	posterior_probability_difference_above_zero	scenario_equals_baseline_all_draws	first_month_baseline_max_abs_error_from_stan_mu
main	2022-06	2022-07	2024-01	2025-12	AUS	l10207_neutral_growth	4000	85664.6859682869	62256.0481119108	30303.0457100998	21517.8232020547	2459.98418988699	114001.847928631	0.287783927555113	0.258573320298985	0.0306262266210437	0.700305244231006	1	FALSE	2.1316282072803e-14
main	2022-06	2023-01	2024-01	2025-12	AUS	no_post_2022_exposure	4000	85664.6859682869	83652.8465629409	2701.63605350291	1291.03562169427	48.2937638063733	13737.3764448215	0.0324419980608771	0.0137545687908454	0.000575668170719084	0.176884888305282	0.997	FALSE	2.1316282072803e-14
main	2022-06	2022-07	2024-01	2025-12	CHN	l10207_neutral_growth	4000	577919.131270141	206104.173692416	863580.903116212	355482.91094857	110449.204234111	3204768.59947674	0.653178810112396	0.650545724130691	0.390251900556355	0.915763410110414	1	FALSE	2.72848410531878e-12
main	2022-06	2023-01	2024-01	2025-12	CHN	no_post_2022_exposure	4000	577919.131270141	577919.131270141	0	0	0	0	0	0	0	0	0	TRUE	2.72848410531878e-12
main	2022-06	2022-07	2024-01	2025-12	JPN	l10207_neutral_growth	4000	119126.726747188	49493.0550207941	543876.578236198	66470.2343524386	18450.3448276163	1554131.79542493	0.607945324962324	0.603321979808451	0.305974571820229	0.924474387861325	1	FALSE	2.1316282072803e-14
main	2022-06	2023-01	2024-01	2025-12	JPN	no_post_2022_exposure	4000	119126.726747188	108458.840402265	33396.1293869222	6140.78399913077	575.779449826086	155843.621026941	0.0993879628717742	0.0454057133711241	0.00375532438497696	0.530263053460478	1	FALSE	2.1316282072803e-14
main	2022-12	2023-01	2024-01	2025-12	AUS	l10207_neutral_growth	4000	82197.5787021845	59950.3183438805	26547.5355603833	20334.8865109541	2351.06741515697	91280.5322394588	0.280856283513397	0.254020302480005	0.0307448481101865	0.673796973639678	1	FALSE	2.1316282072803e-14
main	2022-12	2023-01	2024-01	2025-12	AUS	no_post_2022_exposure	4000	82197.5787021845	80094.8338702046	2815.14212152884	1351.04001420362	47.6029284772754	14710.3168455959	0.0355360831027339	0.0154093051368448	0.00057963022499129	0.200233293301926	0.996	FALSE	2.1316282072803e-14
main	2022-12	2023-01	2024-01	2025-12	CHN	l10207_neutral_growth	4000	493136.562904263	191817.499338567	455664.522339827	288055.345778316	99177.8575763542	1676564.46719743	0.622227163146837	0.619267174341924	0.378498098704747	0.867657560686068	1	FALSE	9.09494701772928e-13
main	2022-12	2023-01	2024-01	2025-12	CHN	no_post_2022_exposure	4000	493136.562904263	493136.562904263	0	0	0	0	0	0	0	0	0	TRUE	9.09494701772928e-13
main	2022-12	2023-01	2024-01	2025-12	JPN	l10207_neutral_growth	4000	106761.219207544	46675.8955350498	280144.912663867	57850.7805278122	17059.9641473176	930683.477864328	0.591970401529445	0.588207082372789	0.30722149292263	0.894551355687559	1	FALSE	1.4210854715202e-14
main	2022-12	2023-01	2024-01	2025-12	JPN	no_post_2022_exposure	4000	106761.219207544	93071.613952952	41073.6656512299	8933.199527731	799.998238485517	183793.716704763	0.141335087506284	0.0809472023075667	0.00691838300422616	0.610616133171486	1	FALSE	1.4210854715202e-14
main	2023-06	2023-07	2024-01	2025-12	AUS	l10207_neutral_growth	4000	80097.8879351746	59500.361009836	23371.4095221884	18850.0360851088	2286.85966077978	72902.0930131332	0.265113028759603	0.243028532868919	0.0307267267181255	0.624403255107716	1	FALSE	5.6843418860808e-14
main	2023-06	2023-07	2024-01	2025-12	AUS	no_post_2022_exposure	4000	80097.8879351746	78004.1676574302	2845.47471798155	1369.35961047387	45.7533669439665	14644.0169074789	0.0362398800795123	0.01631644404086	0.000573082958112747	0.194360964646262	0.996	FALSE	5.6843418860808e-14
main	2023-06	2023-07	2024-01	2025-12	CHN	l10207_neutral_growth	4000	423795.985559647	192155.573083237	306856.695392245	224897.204639738	83173.3570816937	961000.149259038	0.55845728535272	0.554543241385625	0.353531064349532	0.779510427922553	1	FALSE	1.36424205265939e-12
main	2023-06	2023-07	2024-01	2025-12	CHN	no_post_2022_exposure	4000	423795.985559647	423795.985559647	0	0	0	0	0	0	0	0	0	TRUE	1.36424205265939e-12
main	2023-06	2023-07	2024-01	2025-12	JPN	l10207_neutral_growth	4000	112638.568498254	52407.7669919832	268520.913115584	58656.3179621266	17527.2826442313	874571.848621839	0.565876145031107	0.557199967494803	0.294913873177227	0.871649288273856	1	FALSE	4.2632564145606e-14
main	2023-06	2023-07	2024-01	2025-12	JPN	no_post_2022_exposure	4000	112638.568498254	103275.058667074	36953.8444502316	6957.58333436166	786.609185631141	158575.669703169	0.0988882042536475	0.0595320144859859	0.00697340774510229	0.416519019658367	1	FALSE	4.2632564145606e-14
main	2023-12	2024-01	2024-01	2025-12	AUS	l10207_neutral_growth	4000	77995.5300035809	60129.9795259622	19644.7754832721	16544.3453388126	2176.03253646082	57700.0612236508	0.23421066605437	0.220172559782129	0.0296291995810685	0.528889554715317	1	FALSE	4.54747350886464e-13
main	2023-12	2024-01	2024-01	2025-12	AUS	no_post_2022_exposure	4000	77995.5300035809	75885.4992467178	2851.03765134066	1397.09289764761	42.3655850212814	14376.7035177493	0.0355210102220326	0.0177461909466255	0.000529944400801545	0.179555669572401	0.99575	FALSE	4.54747350886464e-13
main	2023-12	2024-01	2024-01	2025-12	CHN	l10207_neutral_growth	4000	391985.956525708	227515.751387609	210007.707621067	161039.960511816	68527.1853615793	622898.648432834	0.427320909838606	0.420095311177235	0.279281263135097	0.616112904501263	1	FALSE	1.45519152283669e-11
main	2023-12	2024-01	2024-01	2025-12	CHN	no_post_2022_exposure	4000	391985.956525708	391985.956525708	0	0	0	0	0	0	0	0	0	TRUE	1.45519152283669e-11
