figure	stem	width_mm	height_mm	backend	font_family	formats	rendered_at
Figure 1	Figure_1_data_and_model	183	150	R	DejaVu Sans	PDF-vector;PNG-600dpi	2026-07-25 20:16:32 CST
Figure 2	Figure_2_phylogeny_and_ancestry	183	160	R	DejaVu Sans	PDF-vector;PNG-600dpi	2026-07-25 20:16:32 CST
Figure 3	Figure_3_reseeding_and_clusters	183	135	R	DejaVu Sans	PDF-vector;PNG-600dpi	2026-07-25 20:16:32 CST
Figure 4	Figure_4_lineage_growth_and_sampling	183	165	R	DejaVu Sans	PDF-vector;PNG-600dpi	2026-07-25 20:16:32 CST
Figure 5	Figure_5_counterfactuals_and_calibration	183	155	R	DejaVu Sans	PDF-vector;PNG-600dpi	2026-07-25 20:16:32 CST
