country_iso3	scenario	mean	median	lower_95	upper_95	change_fraction_median
AUS	baseline	177583.975355345	100924.008359614	44363.0491999495	495098.230555506	
AUS	no_import	108668.700772749	77715.4323967656	22519.8182588479	303684.264930856	-0.244750632439385
AUS	equal_lineage_transmission	183486.405322323	89438.3814721233	30929.3536259939	525992.518338777	-0.0984961710751716
AUS	no_new_introduction_case_reduction_fraction	0.275168843265582	0.244750632439385	0.083346934897332	0.636893438180561	
AUS	lineage_difference_effect_fraction	0.0923704023909897	0.0984961710751716	-0.4698480281478	0.569106216470736	
CHN	baseline	3845138.23150537	671088.538127866	230957.018645676	8145749.74815497	
CHN	no_import	3816336.73089851	669427.341304348	229503.751724009	8114062.40971565	-0.00232737579450143
CHN	equal_lineage_transmission	435214.601131791	239570.185357676	20371.2689919346	1117900.92969583	-0.655876409973923
CHN	no_new_introduction_case_reduction_fraction	0.00287086463467608	0.00232737579450143	0.000678454381637639	0.00843605758876837	
CHN	lineage_difference_effect_fraction	0.664335404010699	0.655876409973923	0.363276250230097	0.972472064393198	
JPN	baseline	8858390.59121771	152407.39719878	43399.8789479119	9050726.73457711	
JPN	no_import	2185291.44203531	106575.48890464	17726.615971394	3043406.66154908	-0.305290587316397
JPN	equal_lineage_transmission	716551.457094365	72486.8275741942	15305.3958679999	1412501.4079165	-0.53021530267849
JPN	no_new_introduction_case_reduction_fraction	0.353195253683912	0.305290587316397	0.101994241908035	0.802546633311023	
JPN	lineage_difference_effect_fraction	0.546123524580534	0.53021530267849	0.21706493283275	0.931878320193613	
