estimand_group	analysis_identifier	recovery_status	n_replicates	n_parameters	n_parameter_replicate_pairs	n_covered_95	coverage_95	median_absolute_log_error	truth_posterior_median_correlation	highest_lineage_rank_n_correct	highest_lineage_rank_n_replicates	highest_lineage_rank_recovery	divergent_transitions	maximum_treedepth_hits	maximum_rhat	minimum_neff	minimum_95_interval_coverage_threshold	maximum_median_absolute_log_error_threshold	minimum_truth_median_correlation_threshold	minimum_highest_lineage_rank_recovery_threshold	zero_divergence_constraint_pass	domain_pass
all_lineage_growth	all_frozen_model_lineages	threshold_evaluated	6	5	30	24	0.8	0.0192237038533898	0.816922220856696	6	6	1	0	0	1.00661978157224	541.614808589802	0.8	0.2	0.7	0.75	TRUE	TRUE
target_lineage_growth	L1_02.07	descriptive_only_n_6_replicates	6	1	6	4	0.666666666666667	0.0156798124286418	-0.304461351396602				0	0	1.00661978157224	541.614808589802					TRUE	
import_scale	all_country_import_scale_parameters	threshold_evaluated	6	3	18	13	0.722222222222222	0.845173006101988	-0.0549693349720176				0	0	1.00661978157224	541.614808589802	0.8	0.5	0.7		TRUE	FALSE
