replicate	divergent_transitions	maximum_treedepth_hits	maximum_rhat	minimum_neff	true_highest_lineage	recovered_highest_lineage
1	0	0	1.00360320351667	784.103275651547	4	4
2	0	0	1.00003084087164	623.803365680677	4	4
3	0	0	1.00317813841591	680.849209365691	4	4
4	0	0	1.00353292408158	836.11849995417	4	4
5	0	0	1.00193682951849	805.626576544327	4	4
6	0	0	1.00445551117952	870.112226292278	4	4
