parameter	mean	se_mean	sd	2.5%	50%	97.5%	n_eff	Rhat
r_coef[1,1]	-0.0425552668883601	0.00296255210748019	0.234299121679011	-0.495111148006748	-0.0477069252740147	0.422318423806003	6254.7409235699	0.999545315738811
r_coef[1,2]	0.175804000884843	0.00256977928784115	0.16482726514573	-0.142285756332363	0.176534318090282	0.495804163996806	4114.02054971406	0.999920061989068
r_coef[1,3]	0.246030241178706	0.00271845561854273	0.157063240134044	-0.062452596059894	0.244870311191999	0.566852561501553	3338.14049123353	1.00018178715082
r_coef[1,4]	-0.221934316796893	0.00191852734207637	0.134640490557793	-0.479164066714182	-0.224904409834762	0.0422137301164039	4925.10376244965	0.999346763381893
r_coef[1,5]	-0.0692252947063426	0.00153785742313283	0.129005285548557	-0.317795600680226	-0.067829297297246	0.184238153232848	7036.9240257472	0.999229315047859
r_coef[1,6]	0.0461385314791858	0.00170754621479229	0.132066874630505	-0.206501979599853	0.0472436923998037	0.307380032275963	5981.95122091058	0.999707767438864
r_coef[1,7]	0.0353740242626483	0.0015442602307399	0.134769202744294	-0.226572272925922	0.0341579444450413	0.294864207023227	7616.23514344867	0.999465786745804
r_coef[1,8]	0.0198328813342817	0.00167766607430805	0.136530491753868	-0.242628363521311	0.0170082406259902	0.295601417488325	6622.90101612733	0.999208258784397
r_coef[1,9]	0.242414843270721	0.00150962433714347	0.128748983279716	-0.00879627904106908	0.242075264859313	0.497778699912662	7273.60711795648	0.999684632466033
r_coef[1,10]	0.465749365428748	0.0020562418872162	0.136304268767799	0.199833377317417	0.466890307429861	0.729380850916827	4394.10581367559	0.999376234319293
r_coef[1,11]	0.464469986019689	0.0056352144154449	0.231525475409386	0.0332592974709063	0.461532991772191	0.940090655913263	1688.01646630171	1.00034694722446
r_coef[1,12]	0.00702868995378725	0.00428779704947921	0.205283874709166	-0.377667336816616	0.00131997543744565	0.418598425839162	2292.14047750962	1.00015530037954
r_coef[1,13]	0.0948218561174997	0.00324463688906652	0.172236382372285	-0.244293576962944	0.0954147467426532	0.425234602228677	2817.84815836944	0.99930045526345
r_coef[1,14]	-0.107851226729837	0.00328410663242152	0.189696258515974	-0.477593068970392	-0.111641999519903	0.274683646883935	3336.43778194102	1.0004860456003
