country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	no_import_median	equal_lineage_median
AUS	2019-01-01	1315	1315.000001	1315.000001	1315.000001	1315	1315	1315
AUS	2019-02-01	835	1123.65268873771	845.547593251459	1527.58122030618	1123.65268873771	1123.65268873771	1153.93362416868
AUS	2019-03-01	935	792.572302070525	642.472759180541	988.447410634552	1036.27344047995	1036.27344047995	1090.10491132527
AUS	2019-04-01	793	918.052159625514	757.95023002552	1109.58574381152	1007.93611658532	1007.93611658532	1081.7195987399
AUS	2019-05-01	985	812.801148826612	678.154818311453	974.218320106309	1008.60425517752	1008.60425517752	1102.22352891454
AUS	2019-06-01	841	1001.88069751179	846.027411645542	1186.57867537296	1023.44042996852	1023.44042996852	1143.77239208056
AUS	2019-07-01	959	866.380190726583	735.594163728417	1021.5008650995	1032.30928265408	1032.30928265408	1168.00760962933
AUS	2019-08-01	1057	964.922133702922	826.52286580883	1129.90376906538	1031.57359278098	1031.57359278098	1186.82584458193
AUS	2019-09-01	1034	1029.34903077006	884.128949773558	1200.7799821132	1010.6038264896	1010.6038264896	1168.25698477212
AUS	2019-10-01	1020	976.701052999904	839.802637623359	1138.21513861016	961.453025122204	961.453025122204	1121.84425428214
AUS	2019-11-01	1177	928.375458842072	803.616875161559	1075.12686060308	881.858040110958	881.858040110958	1037.5069493555
AUS	2019-12-01	1074	1013.10375957075	879.164834066572	1178.46885911869	780.510814154405	780.510814154405	925.297205844925
AUS	2020-01-01	871	895.758328019401	777.228975102054	1042.06278391052	669.769797719381	669.769797719381	801.88212071243
AUS	2020-02-01	762	713.13190484111	616.964403954263	830.167422815132	562.034777619855	562.034777619855	675.177468935751
AUS	2020-03-01	682	609.371737196394	523.920464724794	712.965786843503	459.011478684596	459.011478684596	558.329650734257
AUS	2020-04-01	371	535.808947094125	459.229799796014	627.495283615532	370.340938662124	370.340938662124	456.388710224011
AUS	2020-05-01	213	298.880472201844	256.71518577926	349.90523027485	296.952276135775	296.952276135775	370.956944827656
AUS	2020-06-01	194	174.659878212279	150.449625475349	204.373972818333	240.358433474855	240.358433474855	304.627047313677
AUS	2020-07-01	127	159.77983996019	138.232406763498	186.972285380934	196.560652608395	196.560652608395	250.701992599241
AUS	2020-08-01	70	106.810303089461	92.2596704133124	124.396738998294	163.563703763623	163.563703763623	210.685576569019
AUS	2020-09-01	51	60.3785993298928	52.0727539605951	70.4213849034394	138.401110491965	138.401110491965	180.115716452606
AUS	2020-10-01	24	45.045738589058	38.6067963676595	52.7783649918012	119.874630441222	119.874630441222	157.97176244272
AUS	2020-11-01	44	21.932123185049	18.7476536743767	25.7108208050164	105.636415633851	105.636415633851	140.237582827261
AUS	2020-12-01	48	40.4400813657088	34.5143986693931	47.2144959563876	94.8350329171094	94.8350329171094	128.445715431139
AUS	2021-01-01	40	44.8273424010648	38.4063812133166	52.255408922217	87.3384451935872	87.3384451935872	118.841864241428
AUS	2021-02-01	54	38.1261584541003	32.794150565258	44.4200088181946	81.5168036920709	81.5168036920709	112.385402317975
AUS	2021-03-01	53	51.9337586731849	44.8141262373551	60.385855518921	77.0915232628312	77.0915232628312	107.993664196801
AUS	2021-04-01	48	51.6461760501779	44.5811937381911	60.2255882059185	74.5116959644003	74.5116959644003	106.08162076304
AUS	2021-05-01	52	47.4572451389233	40.7357176795799	55.5071756069031	72.5455483386047	72.5455483386047	105.17757035135
AUS	2021-06-01	57	51.9201462280093	44.4231129818531	61.0071181189547	71.3447734148144	71.3447734148144	104.134893918821
AUS	2021-07-01	38	57.3743546719171	49.0415743726229	67.6507229913209	71.0562313527884	71.0562313527884	104.071740704119
AUS	2021-08-01	51	38.8127075299901	33.1985595848632	45.6639626917076	72.1665422341534	72.1665422341534	105.590873997237
AUS	2021-09-01	38	52.0088959286983	44.5856848764932	61.112126755054	73.4555138975505	73.4555138975505	107.448248479901
AUS	2021-10-01	41	39.1048244287753	33.5916376336749	45.6965727533504	74.5814970305286	74.5814970305286	110.628482951303
AUS	2021-11-01	48	42.2482914790821	36.1656491020296	49.3493984769074	74.7869911937177	74.7869911937177	112.607039472234
AUS	2021-12-01	30	49.3263666583791	42.1658398673437	57.7538560730411	76.2131541989053	76.2131541989053	114.597670770843
AUS	2022-01-01	41	31.1447016787135	26.5513081389751	36.6357662701266	77.5473530543441	77.5473530543441	115.162200469437
AUS	2022-02-01	43	42.2527105112709	35.7256746509819	49.8448582886097	78.0546880506413	78.0546880506413	116.825939668289
AUS	2022-03-01	47	44.1894411726422	37.3508629170361	52.1704827845205	78.7718270393957	78.7718270393957	117.256993362288
AUS	2022-04-01	22	48.2385019753625	40.9067534094132	56.8775352974418	78.7808465271779	78.7808465271779	118.891886167016
AUS	2022-05-01	39	22.9431726413674	19.5754265419789	26.9287371972693	80.2297663220458	80.2297663220458	120.135033353256
AUS	2022-06-01	35	40.254482942079	34.4554779832072	47.0725502359293	81.6288213917346	81.6288213917346	120.751187738787
AUS	2022-07-01	42	36.2696973188087	31.0112560169759	42.4729906776095	82.5050669345883	82.5050669345883	124.213125234724
AUS	2022-08-01	64	43.5867522980848	37.0871522611469	51.3172315588977	85.3900081483876	85.3900081483876	126.321653075359
AUS	2022-09-01	38	66.3772233346669	56.465976397449	78.6912530784746	88.8222552148415	88.8222552148415	129.536498246415
AUS	2022-10-01	40	40.3141530706964	34.1933923337231	47.8944617758151	91.4746540703823	91.4746540703823	133.345272999075
AUS	2022-11-01	35	43.065466851168	36.5369952432959	51.2525618457731	95.8498711057541	95.8498711057541	139.231414807291
AUS	2022-12-01	36	38.5243732310677	32.859939912787	45.5770083447521	103.838548458705	103.838548458705	147.848214834884
AUS	2023-01-01	46	40.5312464916519	34.90490648971	47.6278657761261	114.980142020387	69.2251429120797	159.80662833691
AUS	2023-02-01	34	52.9357920120876	45.706709453013	61.6563881503598	130.755921678395	77.8752187242726	176.425498473704
AUS	2023-03-01	44	40.4953522952202	34.9341043237804	47.1623066233961	148.99211576158	90.0290803859711	199.894600172621
AUS	2023-04-01	43	53.6809712679352	46.2901449295523	62.7762941972128	175.885126667735	107.283948605642	235.181289376233
AUS	2023-05-01	77	54.1698218802016	46.5832981420756	63.619930236406	214.379555785972	131.127553887228	282.733377347649
AUS	2023-06-01	92	98.9607736115657	85.0861583023358	116.092845531846	267.994830304579	161.548367898788	345.403885439021
AUS	2023-07-01	95	121.529687755591	104.5179213429	141.574525271995	343.696621612471	206.245501028849	425.587513324334
