parameter	mean	se_mean	sd	2.5%	50%	97.5%	n_eff	Rhat
lineage_relative_transmission[1]	1.0038509009508	0.000247011770144073	0.0168995892598586	0.971471121931227	1.00337564865089	1.03819276055801	4680.76677889472	0.999591341113861
lineage_relative_transmission[2]	0.981504349443769	0.000214457435212272	0.0147006435927316	0.950043812174792	0.982369082018935	1.00741610842552	4698.8381000366	1.00088965790827
lineage_relative_transmission[3]	0.967856599996594	0.000195183766980801	0.013053222360946	0.939898333914597	0.968293541573631	0.991698100187899	4472.47664669778	0.999750219671131
lineage_relative_transmission[4]	1.11323050429021	0.000311413199026966	0.0199139429729024	1.07829085892382	1.11204828279221	1.15550864211045	4089.22009639745	1.00079887352119
lineage_relative_transmission[5]	0.942644190857178	0.00027607179082205	0.0186934980455549	0.900314580455427	0.944382976001428	0.974269515503064	4584.97623481135	0.999404770291906
post_import_fraction[1]	0.00518448853664029	7.03931294374349e-05	0.00498817771134068	0.000293686857580483	0.00356973108632839	0.018793660416773	5021.38232092114	0.999930174541479
post_import_fraction[2]	0		0	0	0	0		
post_import_fraction[3]	0.00324131140253218	3.61001629811847e-05	0.00252451143446142	0.000484278278431982	0.00258258592542441	0.0100117292415582	4890.3096485921	0.999616932427227
import_scale[1]	70.4146328172467	0.947106203743206	67.3677162278444	4.03943913407802	48.5036563227935	251.867107745584	5059.48470398764	0.999860406131904
import_scale[2]	317.219912869392	15.2563943723438	845.4762427945	5.12207510818896	101.342720594828	2007.51531675838	3071.13568615705	0.9996297096273
import_scale[3]	10.5047401173075	0.113731316104663	8.00828133374925	1.60670733087846	8.50526939533664	32.9266006575619	4958.13689576533	0.999576884136007
density_feedback[1]	0.198361205789434	0.00224106381022501	0.0978468881829446	0.0283594443358194	0.193810079676257	0.396506020835329	1906.2751734841	1.00116110587363
density_feedback[2]	0.107245125727837	0.00141997214707872	0.0543992807334292	0.0138556348295777	0.10427747634476	0.217612227528069	1467.66407398061	1.00181347604064
density_feedback[3]	0.174249320401653	0.00213661929672666	0.0988003467606287	0.0131677017872097	0.164722530748925	0.384682897803929	2138.27050266648	1.00126776427981
reporting_jump[1]	-0.0061534439656617	0.00553939696917059	0.486611792939201	-0.949662246680547	-0.00369580870842578	0.955650223232169	7716.85396038825	0.999731870191096
reporting_jump[2]	0.156662819960931	0.00289928233240566	0.265198041823647	-0.338008248562963	0.15315678357921	0.701745933757874	8366.80424097245	0.999397682724539
reporting_jump[3]	-0.00433205161549402	0.00578203455640682	0.506648988123105	-0.983133317959082	-0.00671575584029063	1.00685328834596	7678.08637484448	0.999292956005249
phi_cases[1]	19.3909428285698	0.0527751111208859	4.06717283005615	12.5762024496605	19.0651743880859	28.3489108148182	5939.18621926556	0.999566357005469
phi_cases[2]	10.1585832325436	0.0226280683821146	1.72587556046964	7.11604775385996	10.027681024814	13.8769747239656	5817.33391162567	0.999765924799078
phi_cases[3]	6.3409158127407	0.0142646449060542	1.11617289476782	4.42460123854586	6.27311511335576	8.754560514535	6122.67227084718	0.999153869783497
sigma_project	1.20662339886072	0.0046408038031117	0.278756826935476	0.70456689450637	1.18889696528176	1.77786882208606	3607.98404161518	0.999362295022384
genome_concentration	26.3166903607589	0.166286651546261	14.441091302486	7.18231367071601	23.2535441443053	61.9129352277952	7541.97782624568	0.999659282449212
