country_iso3	model_month	lineage	mean	median	lower_95	upper_95
AUS	2019-01-01	L1_01.02	0.0493956127481401	0.042961951006079	0.00990611582932505	0.123755235442551
AUS	2019-01-01	L1_02.05	0.254722116501368	0.251192680164158	0.153310346883909	0.373602638953179
AUS	2019-01-01	L1_02.06	0.582214625175311	0.582705089359282	0.455434432769166	0.70667969971396
AUS	2019-01-01	L1_02.07	0.000824226917026994	0.000197727045306106	3.5746139345107e-06	0.00539660344963952
AUS	2019-01-01	Other	0.112843418658154	0.108096593896772	0.044634389604664	0.208505346760249
AUS	2019-02-01	L1_01.02	0.0509376353098816	0.0442558515618995	0.0103211335802053	0.12591139782532
AUS	2019-02-01	L1_02.05	0.257647250484692	0.253882973835452	0.154779306699033	0.377922756537378
AUS	2019-02-01	L1_02.06	0.58081426292154	0.580875287234266	0.453781259546853	0.70636432317777
AUS	2019-02-01	L1_02.07	0.000930269929893477	0.000224634937437615	4.27286993120905e-06	0.00603692401982541
AUS	2019-02-01	Other	0.109670581353993	0.104600056720292	0.0429986853767734	0.202761896417333
AUS	2019-03-01	L1_01.02	0.0525297481454777	0.0459099613037679	0.0107410726340239	0.129119743312106
AUS	2019-03-01	L1_02.05	0.260563099250818	0.256964968283464	0.156738140725026	0.381661024048145
AUS	2019-03-01	L1_02.06	0.579251546427136	0.579541579650859	0.452595155584735	0.707739499017068
AUS	2019-03-01	L1_02.07	0.0010498791912694	0.000258580683791505	5.10330591045681e-06	0.0067677626904104
AUS	2019-03-01	Other	0.106605726985298	0.101335811512495	0.0414796882932213	0.197612836001034
AUS	2019-04-01	L1_01.02	0.0541733626273411	0.0476392298020026	0.0112271512012182	0.13349104744089
AUS	2019-04-01	L1_02.05	0.263467584734167	0.260214552880477	0.157495911237495	0.386117451107192
AUS	2019-04-01	L1_02.06	0.577528663554722	0.578173824265583	0.448242960966882	0.705913917833926
AUS	2019-04-01	L1_02.07	0.00118477581056402	0.000296468202883014	6.01337684505477e-06	0.00763944757274939
AUS	2019-04-01	Other	0.103645613273206	0.098484829417785	0.0400961076383305	0.193375444733145
AUS	2019-05-01	L1_01.02	0.0558698721113301	0.0491088493962521	0.0116480331822551	0.136738398093293
AUS	2019-05-01	L1_02.05	0.266358475723921	0.263712213863366	0.158412335956199	0.392973154270533
AUS	2019-05-01	L1_02.06	0.575647875423483	0.57668506334417	0.445512822139407	0.704150656878345
AUS	2019-05-01	L1_02.07	0.00133689453958724	0.000337290909177865	6.98988443774565e-06	0.00862528305877031
AUS	2019-05-01	Other	0.100786882201679	0.0953567533457572	0.0383619597482184	0.188741480745297
AUS	2019-06-01	L1_01.02	0.057620640633995	0.0505601933123462	0.0121198048046815	0.139108356703354
AUS	2019-06-01	L1_02.05	0.269233374173012	0.266854376179027	0.159336542911193	0.399621478993221
AUS	2019-06-01	L1_02.06	0.573611478788759	0.574499401100043	0.44240747752336	0.703995067488137
AUS	2019-06-01	L1_02.07	0.00150840880977903	0.000387554057627807	8.34516032284838e-06	0.00966529437103801
AUS	2019-06-01	Other	0.0980260975944546	0.0925413351875769	0.0365124227047916	0.183799288277176
AUS	2019-07-01	L1_01.02	0.0594269904013227	0.0520697637985782	0.0126404507279877	0.142376722572577
AUS	2019-07-01	L1_02.05	0.272089702695628	0.269970399902131	0.15883142364512	0.407275958055993
AUS	2019-07-01	L1_02.06	0.571421770370811	0.5721162257147	0.43693412881724	0.704125215358275
AUS	2019-07-01	L1_02.07	0.00170175831533003	0.000440652393551162	9.79612424562463e-06	0.0108090030317335
AUS	2019-07-01	Other	0.0953597782169083	0.0899746390552672	0.0344642714674082	0.18148692415505
AUS	2019-08-01	L1_01.02	0.0612901879757346	0.0535734479537151	0.0132424875880884	0.147386376910474
AUS	2019-08-01	L1_02.05	0.274924693229407	0.272609728946212	0.158995395868299	0.413521162452262
AUS	2019-08-01	L1_02.06	0.569081013085076	0.569253921317405	0.432037950302346	0.703928848306098
AUS	2019-08-01	L1_02.07	0.00191967930010824	0.000503601062067227	1.11915802327602e-05	0.012220324702378
AUS	2019-08-01	Other	0.0927844264096747	0.0871725224505884	0.0329104943689691	0.179837987139548
AUS	2019-09-01	L1_01.02	0.063211429064668	0.055223594610226	0.0136107577959593	0.153093573521645
AUS	2019-09-01	L1_02.05	0.277735376775584	0.275425922487953	0.157803029304383	0.422167279558632
AUS	2019-09-01	L1_02.06	0.566591404040222	0.566656662223003	0.425403823335772	0.701665785881988
AUS	2019-09-01	L1_02.07	0.00216523770284648	0.000575458886801486	1.29802641444144e-05	0.013846611959801
AUS	2019-09-01	Other	0.0902965524166803	0.0844696079460485	0.0312034391248945	0.178033495143154
AUS	2019-10-01	L1_01.02	0.0651918217989562	0.0569324765174016	0.0140593515184385	0.157823987545934
AUS	2019-10-01	L1_02.05	0.28051857408709	0.278056207465826	0.156353602737967	0.428533473928136
AUS	2019-10-01	L1_02.06	0.56395504415592	0.564088158127649	0.420306078265807	0.702619290020272
AUS	2019-10-01	L1_02.07	0.00244186528527304	0.000658930315705787	1.52012042421332e-05	0.0156210990627671
AUS	2019-10-01	Other	0.0878926946727613	0.0821282380168437	0.0297302155499925	0.176469274321989
AUS	2019-11-01	L1_01.02	0.0672323683872531	0.0587862184633275	0.0145684336988085	0.16358869202881
AUS	2019-11-01	L1_02.05	0.283270887140725	0.281099911173102	0.155155156897033	0.437244283732642
AUS	2019-11-01	L1_02.06	0.561173909243688	0.561503710882119	0.411568029506013	0.702904373689027
AUS	2019-11-01	L1_02.07	0.00275339884115621	0.000750165002903742	1.79384827707029e-05	0.0174020703201028
AUS	2019-11-01	Other	0.0855694363871776	0.079758640506197	0.028140789709317	0.174199516602812
AUS	2019-12-01	L1_01.02	0.0693339450307083	0.0605985994687864	0.0151932068469925	0.168184818355156
AUS	2019-12-01	L1_02.05	0.285988691211276	0.283451313133283	0.154479824123284	0.44514097242103
AUS	2019-12-01	L1_02.06	0.558249822422588	0.55896792946844	0.403859900914454	0.704073282806135
AUS	2019-12-01	L1_02.07	0.00310412254069328	0.000857694516319191	2.10947811888026e-05	0.0199557898384868
AUS	2019-12-01	Other	0.0833234187947338	0.077244854437242	0.0267115032353951	0.172565406123797
AUS	2020-01-01	L1_01.02	0.0714972799863092	0.0622623893585994	0.0156667461070787	0.174392290623969
AUS	2020-01-01	L1_02.05	0.288668127359932	0.285610696957217	0.15422415183383	0.452405156951153
AUS	2020-01-01	L1_02.06	0.555184427787223	0.556791287711301	0.394747701056985	0.704856538462063
AUS	2020-01-01	L1_02.07	0.00349881340940337	0.000979355395125753	2.46803298198938e-05	0.022301484334047
AUS	2020-01-01	Other	0.0811513514571325	0.0750341902513246	0.0250033627010764	0.171625864979766
AUS	2020-02-01	L1_01.02	0.0737229296762135	0.0641002204073328	0.0162394045731853	0.181205501959811
AUS	2020-02-01	L1_02.05	0.291305095157215	0.287967176897451	0.153295446084319	0.46217716224851
AUS	2020-02-01	L1_02.06	0.551979165309668	0.554142232354121	0.385549916126659	0.707570517163448
AUS	2020-02-01	L1_02.07	0.00394278986847859	0.0011265501488435	2.86307382005348e-05	0.0251975220415977
AUS	2020-02-01	Other	0.0790500199884253	0.0726015046849509	0.0233650893413423	0.170418155442317
AUS	2020-03-01	L1_01.02	0.0760112527592056	0.0659515735156099	0.016786354892188	0.186758805558292
AUS	2020-03-01	L1_02.05	0.293895245478503	0.290551647259401	0.151714294714304	0.47114317231785
AUS	2020-03-01	L1_02.06	0.548635247022964	0.550914941924953	0.378597904490719	0.708218270445111
AUS	2020-03-01	L1_02.07	0.00444196317921559	0.00129491211841413	3.32227077848498e-05	0.0283292495899236
AUS	2020-03-01	Other	0.0770162915601114	0.0703713719763258	0.0220126119379403	0.169321935238327
AUS	2020-04-01	L1_01.02	0.0783623821044818	0.0678315193703615	0.017191797558282	0.195245324357803
AUS	2020-04-01	L1_02.05	0.296433973240335	0.292777548713439	0.150097477566001	0.478333059767923
AUS	2020-04-01	L1_02.06	0.545153634612425	0.547591146957102	0.370757344456329	0.709942059501555
AUS	2020-04-01	L1_02.07	0.00500289152907322	0.00147240512775167	4.00542127762975e-05	0.0317713482741814
AUS	2020-04-01	Other	0.0750471185136852	0.0682422534999206	0.0206975405268354	0.168375170116398
AUS	2020-05-01	L1_01.02	0.0807761946415944	0.0699778913029465	0.0175661588370038	0.202092477859185
AUS	2020-05-01	L1_02.05	0.298916409985231	0.294482239710181	0.148382297175708	0.485399371715146
AUS	2020-05-01	L1_02.06	0.54153501861918	0.54458436123822	0.363014382086847	0.711609706588045
AUS	2020-05-01	L1_02.07	0.0056328363756299	0.00167948585025489	4.7131668777254e-05	0.0357642716945544
AUS	2020-05-01	Other	0.0731395403783644	0.0659917027647974	0.0192561162818122	0.166934003307093
AUS	2020-06-01	L1_01.02	0.0832522791002198	0.0718399592931832	0.0180909862953988	0.210412829552046
AUS	2020-06-01	L1_02.05	0.301337416273723	0.296218158853259	0.146521017016109	0.49229618534617
AUS	2020-06-01	L1_02.06	0.537779799546257	0.541335646938992	0.35446638384085	0.713075784385967
AUS	2020-06-01	L1_02.07	0.00633982052174816	0.00191430184715307	5.54375047633213e-05	0.0401667515239905
AUS	2020-06-01	Other	0.0712906845580519	0.0636931377264151	0.0178847770945938	0.166134780592735
AUS	2020-07-01	L1_01.02	0.0857899017093182	0.073491156200116	0.018563629623093	0.219415487905678
AUS	2020-07-01	L1_02.05	0.30369157389613	0.298867506519889	0.14364446748686	0.499417717692183
AUS	2020-07-01	L1_02.06	0.533888071221642	0.537987471624137	0.34514461267185	0.71473268314978
AUS	2020-07-01	L1_02.07	0.00713268724684565	0.00217528540058459	6.4958425424035e-05	0.0445551068773952
AUS	2020-07-01	Other	0.0694977659260642	0.0614754474041409	0.0167121302286254	0.165036050502676
AUS	2020-08-01	L1_01.02	0.0883879699919248	0.0756814750643566	0.0190025743031429	0.227153464045183
AUS	2020-08-01	L1_02.05	0.305973177974675	0.301161827432695	0.141030207220237	0.50885577407141
AUS	2020-08-01	L1_02.06	0.529859606826643	0.534216896647325	0.336088475399425	0.716129608473794
AUS	2020-08-01	L1_02.07	0.00802115966164398	0.00247738897899408	7.59169907581239e-05	0.0495093338513607
AUS	2020-08-01	Other	0.0677580855451129	0.0595518454086005	0.0153186908191892	0.164694877598477
AUS	2020-09-01	L1_01.02	0.0910449948470482	0.0780522475940179	0.0193464486799101	0.237559181476532
AUS	2020-09-01	L1_02.05	0.308176229108548	0.302740309857331	0.13612033985346	0.518841043793248
