country_iso3	log_rmse	log_correlation	expected_interval_coverage	posterior_predictive_coverage
AUS	0.253132401963894	0.990310218470533	0.547619047619048	0.976190476190476
CHN	0.298128678440584	0.980293893066306	0.535714285714286	0.976190476190476
JPN	0.421118452868022	0.973816801621244	0.404761904761905	0.964285714285714
