country_iso3	lineage	raw_public_tree_share	mean	median	lower_95	upper_95
AUS	L1_01.02	0.108108108108108	0.117412934895946	0.0762974806221802	0.006346914891451	0.454717341971935
AUS	L1_02.05	0.45945945945946	0.192842468785731	0.155483782866064	0.017306756298903	0.563518245439235
AUS	L1_02.06	0.351351351351351	0.174915398919738	0.143868493616252	0.0185597324143862	0.493224381820417
AUS	L1_02.07	0.0810810810810811	0.505243758427714	0.509099881271992	0.0733802718369099	0.926943067952858
AUS	Other	0	0.00958543897087102	0.00284402920927964	3.45706391926578e-05	0.0589437393311757
CHN	L1_01.02	0	0.00103002044824918	0.000310198064341663	6.77991437702182e-06	0.00677671553995152
CHN	L1_02.05	0	0.000308266519900067	9.79787904439021e-05	1.47359547423394e-06	0.00195831661151577
CHN	L1_02.06	0.00833333333333333	0.00173254279319029	0.000727536437869637	2.52298459280787e-05	0.00954919261560597
CHN	L1_02.07	0.991666666666667	0.995659830293604	0.997690826722405	0.979008262886198	0.999864445669681
CHN	Other	0	0.00126933994505631	0.000439147867080106	7.51437981824459e-06	0.00734944943803459
JPN	L1_01.02	0.02	0.00760627028620109	0.00592805235387761	0.00131687230815925	0.0232598024113765
JPN	L1_02.05	0.02	0.0179704612941462	0.012620111949303	0.00320340335737411	0.0686756913807908
JPN	L1_02.06	0.04	0.00627313071373788	0.00436955541030284	0.00100597134440506	0.0227153688033966
JPN	L1_02.07	0.92	0.966915195463402	0.974598234561063	0.89412863800625	0.993128994410961
JPN	Other	0	0.00123494224251242	0.000271804554122561	3.03161818092016e-06	0.00852821539766968
