tree_sample_id	geo_state
AUS__SAMEA751508	AUS
AUS__SAMEA751513	AUS
AUS__SAMEA751512	AUS
DNK__SAMEA751162	Europe_other
USA__SAMEA751257	Unknown_other
SWE__SAMEA751314	Europe_other
AUS__SAMEA751337	AUS
AUS__SAMEA751155	AUS
AUS__SAMEA751476	AUS
ITA__SAMEA8914539	Europe_other
ITA__SAMEA751497	Europe_other
AUS__SAMN18200432	AUS
ESP__SAMN16378352	Europe_other
ITA__SAMEA8914521	Europe_other
SWE__SAMEA8914628	Europe_other
ARG__SAMEA751134	Unknown_other
AUS__SAMN18200430	AUS
ESP__SAMN16378565	Europe_other
BEL__SAMEA117989579	BEL
FRA__SAMEA115874214	FRA
ESP__SAMN16378366	Europe_other
BEL__SAMEA117989214	BEL
DEU__SAMN43964887	Europe_other
USA__SAMN10298220	Unknown_other
BEL__SAMEA117989515	BEL
USA__SAMN18620823	Unknown_other
NLD__SAMEA8914547	Europe_other
AUS__SAMN45810504	AUS
AUS__SAMN45810646	AUS
AUS__SAMN45810596	AUS
AUS__SAMN45810598	AUS
AUS__SAMN45810634	AUS
AUS__SAMN45810545	AUS
AUS__SAMN45810543	AUS
AUS__SAMN45811366	AUS
AUS__SAMN45810532	AUS
AUS__SAMN45810546	AUS
AUS__SAMN45810558	AUS
AUS__SAMN45810638	AUS
AUS__SAMN45810557	AUS
AUS__SAMN45810630	AUS
AUS__SAMN45810643	AUS
AUS__SAMN45810501	AUS
USA__SAMN11539680	Unknown_other
BEL__SAMEA117989353	BEL
BEL__SAMEA117989425	BEL
ESP__SAMEA8914438	Europe_other
ESP__SAMN16378420	Europe_other
ITA__SAMEA8914518	Europe_other
TUN__SAMEA4752845	Africa_other
BEL__SAMEA117989518	BEL
NOR__SAMEA8914583	Europe_other
USA__SAMN18620816	Unknown_other
AUT__SAMN15396108	Europe_other
FRA__SAMEA115874211	FRA
IRL__SAMEA8914479	Europe_other
BEL__SAMEA117989610	BEL
JPN__SAMD00920274	JPN
JPN__SAMD00920281	JPN
SWE__SAMEA8914617	Europe_other
CHN__SAMN22233924	CHN
USA__SAMN45987655	Unknown_other
AUS__SAMN45810550	AUS
FIN__SAMEA8914453	Europe_other
FIN__SAMEA8914464	Europe_other
DNK__SAMEA8914415	Europe_other
NOR__SAMEA10058007	Europe_other
IRL__SAMEA8914501	Europe_other
NLD__SAMEA8914562	Europe_other
BEL__SAMEA117989479	BEL
FRA__SAMEA115874189	FRA
FRA__SAMEA115874235	FRA
AUS__SAMN45810503	AUS
FRA__SAMEA115874194	FRA
FIN__SAMEA8914474	Europe_other
AUS__SAMN45810562	AUS
AUS__SAMN45810640	AUS
AUS__SAMN45810606	AUS
BEL__SAMEA117989309	BEL
BEL__SAMEA117989588	BEL
BEL__SAMEA117989592	BEL
BEL__SAMEA117989608	BEL
FRA__SAMEA115874237	FRA
NLD__SAMEA8914568	Europe_other
BEL__SAMEA117989436	BEL
BEL__SAMEA117989512	BEL
AUS__SAMN45810610	AUS
BEL__SAMEA117989547	BEL
FRA__SAMEA115874225	FRA
BEL__SAMEA117989519	BEL
AUT__SAMN15396214	Europe_other
TUN__SAMEA4752850	Africa_other
AUT__SAMN15396117	Europe_other
BEL__SAMEA117989516	BEL
IRL__SAMEA8914488	Europe_other
NOR__SAMEA10058036	Europe_other
JPN__SAMD01797761	JPN
NOR__SAMEA10057955	Europe_other
ESP__SAMN16378549	Europe_other
ESP__SAMN16378322	Europe_other
NLD__SAMN03566780	Europe_other
USA__SAMN18620695	Unknown_other
JPN__SAMEA41231668	JPN
ISR__SAMN05908236	Asia_other
USA__SAMN08178168	Unknown_other
JPN__SAMEA41240668	JPN
USA__SAMN04221183	Unknown_other
BRA__SAMN05776224	Unknown_other
NOR__SAMEA10057896	Europe_other
NOR__SAMEA10057914	Europe_other
HTI__SAMN08524449	Unknown_other
USA__SAMN16357509	Unknown_other
FIN__SAMEA751152	Europe_other
JPN__SAMEA41239918	JPN
IRN__SAMN12675064	Asia_other
IRN__SAMN12675071	Asia_other
SWE__SAMEA8914623	Europe_other
SWE__SAMEA8914625	Europe_other
ESP__SAMN16378551	Europe_other
NOR__SAMEA10057987	Europe_other
BEL__SAMEA117989514	BEL
BEL__SAMEA117989524	BEL
JPN__SAMEA41264668	JPN
AUS__SAMN22858161	AUS
AUS__SAMN22858166	AUS
AUS__SAMN22858150	AUS
AUS__SAMN45810521	AUS
BRA__SAMN05784484	Unknown_other
BRA__SAMN02940632	Unknown_other
BRA__SAMN05783037	Unknown_other
ISR__SAMN05908227	Asia_other
MEX__SAMN07362432	Unknown_other
USA__SAMN18620696	Unknown_other
AUS__SAMN22858020	AUS
FRA__SAMN03366100	FRA
MEX__SAMN07362433	Unknown_other
FRA__SAMN03491902	FRA
USA__SAMN03702646	Unknown_other
USA__SAMN03702647	Unknown_other
NLD__SAMN03566781	Europe_other
FRA__SAMN03491903	FRA
