tree_sample_id	geo_state
IRN__SAMN12675034	Asia_other
IRN__SAMN12675035	Asia_other
NOR__SAMEA10057895	Europe_other
FRA__SAMEA751372	FRA
DNK__SAMEA751164	Europe_other
SWE__SAMN03566783	Europe_other
FRA__SAMEA115874248	FRA
AUS__SAMN22857989	AUS
AUS__SAMN08443746	AUS
AUS__SAMN45810539	AUS
AUS__SAMN45810575	AUS
AUS__SAMN45810571	AUS
AUS__SAMN45810522	AUS
AUS__SAMN45810547	AUS
AUS__SAMN45810528	AUS
AUS__SAMN45810524	AUS
AUS__SAMN45810538	AUS
AUS__SAMN45810594	AUS
AUS__SAMN45811367	AUS
AUS__SAMN45811368	AUS
AUS__SAMN45810642	AUS
AUS__SAMN45810627	AUS
AUS__SAMN45810511	AUS
AUS__SAMN45810564	AUS
AUS__SAMN45810536	AUS
AUS__SAMN45810633	AUS
AUS__SAMN45810537	AUS
AUS__SAMN45810645	AUS
CHN__SAMN39683227	CHN
CHN__SAMN42391109	CHN
CHN__SAMN50151940	CHN
CHN__SAMN50151943	CHN
AUS__SAMN45810507	AUS
CHN__SAMN50151966	CHN
CHN__SAMN44583822	CHN
CHN__SAMN41373953	CHN
CHN__SAMN50151961	CHN
CHN__SAMN45156016	CHN
CHN__SAMN50151967	CHN
CHN__SAMN50151947	CHN
CHN__SAMN41373923	CHN
CHN__SAMN39683296	CHN
CHN__SAMN50151934	CHN
CHN__SAMN50151969	CHN
AUS__SAMN45810513	AUS
CHN__SAMN50151944	CHN
CHN__SAMN41373958	CHN
CHN__SAMN41373926	CHN
CHN__SAMN50152066	CHN
CHN__SAMN41373920	CHN
CHN__SAMN39683299	CHN
FRA__SAMEA115874186	FRA
FRA__SAMEA115874249	FRA
FRA__SAMEA115874219	FRA
FRA__SAMEA115874207	FRA
FRA__SAMEA115874224	FRA
CHN__SAMN45156015	CHN
CHN__SAMN45156026	CHN
CHN__SAMN50151973	CHN
MEX__SAMN07362434	Unknown_other
USA__SAMN45987611	Unknown_other
USA__SAMN45987613	Unknown_other
GTM__SAMN08395634	Unknown_other
MEX__SAMN07362435	Unknown_other
CHN__SAMN41373949	CHN
CHN__SAMN45156025	CHN
GTM__SAMN08395632	Unknown_other
USA__SAMN45987639	Unknown_other
AUS__SAMN45810580	AUS
FRA__SAMEA115874212	FRA
BEL__SAMEA117989535	BEL
BEL__SAMEA117989540	BEL
BEL__SAMEA117989578	BEL
BEL__SAMEA117989576	BEL
BEL__SAMEA117989556	BEL
BEL__SAMEA117989549	BEL
FRA__SAMEA115874188	FRA
FRA__SAMEA115874228	FRA
JPN__SAMD00892038	JPN
JPN__SAMD01697919	JPN
ESP__SAMN40551704	Europe_other
ESP__SAMN40551705	Europe_other
FRA__SAMEA115874191	FRA
BEL__SAMEA117989594	BEL
BEL__SAMEA117989617	BEL
BEL__SAMEA117989605	BEL
FRA__SAMEA115874185	FRA
FRA__SAMEA117615783	FRA
FRA__SAMEA115874241	FRA
FRA__SAMEA115874220	FRA
FRA__SAMEA115874195	FRA
FRA__SAMEA115874245	FRA
BEL__SAMEA117989558	BEL
BEL__SAMEA117989575	BEL
FRA__SAMEA115874187	FRA
FRA__SAMEA115874196	FRA
FRA__SAMEA115874200	FRA
FRA__SAMEA115874229	FRA
FRA__SAMEA117615782	FRA
FRA__SAMN42490576	FRA
IRL__SAMEA8914500	Europe_other
ITA__SAMEA8914529	Europe_other
SWE__SAMEA8914634	Europe_other
IRL__SAMEA8914484	Europe_other
CHN__SAMN50151950	CHN
CHN__SAMN50151951	CHN
AUT__SAMN15396110	Europe_other
NOR__SAMEA8914600	Europe_other
AUS__SAMN45810549	AUS
AUS__SAMN45810523	AUS
AUS__SAMN45810505	AUS
AUS__SAMN45810529	AUS
ESP__SAMN16378425	Europe_other
BEL__SAMEA117989286	BEL
BEL__SAMEA117989517	BEL
BEL__SAMEA117989521	BEL
ESP__SAMN16378598	Europe_other
ESP__SAMN16378570	Europe_other
BEL__SAMEA117989522	BEL
ITA__SAMEA8914531	Europe_other
AUT__SAMN29408379	Europe_other
NLD__SAMN03566787	Europe_other
FRA__SAMEA115874242	FRA
FIN__SAMEA8914452	Europe_other
FIN__SAMEA8914454	Europe_other
BEL__SAMEA117989208	BEL
FRA__SAMEA4700352	FRA
FRA__SAMN09862835	FRA
CHN__SAMN07329793	CHN
NLD__SAMEA8914556	Europe_other
BEL__SAMEA117989590	BEL
CHN__SAMN39683176	CHN
NOR__SAMEA10057995	Europe_other
BEL__SAMEA117989211	BEL
AUT__SAMN15396159	Europe_other
DNK__SAMEA8914405	Europe_other
BEL__SAMEA117989511	BEL
USA__SAMN06007763	Unknown_other
AUS__SAMN22858115	AUS
CHN__SAMN50151970	CHN
CHN__SAMN33268689	CHN
CHN__SAMN32034035	CHN
AUS__SAMN44480251	AUS
AUS__SAMN44480252	AUS
AUS__SAMN45810584	AUS
CHN__SAMN50152004	CHN
CHN__SAMN42391103	CHN
CHN__SAMN42391104	CHN
CHN__SAMN42391118	CHN
CHN__SAMN42391129	CHN
CHN__SAMN42391142	CHN
CHN__SAMN42391128	CHN
CHN__SAMN45156024	CHN
JPN__SAMD00892036	JPN
JPN__SAMD01697918	JPN
JPN__SAMD01697917	JPN
JPN__SAMD00892052	JPN
CHN__SAMN43024024	CHN
CHN__SAMN44583831	CHN
CHN__SAMN44590261	CHN
CHN__SAMN50152101	CHN
CHN__SAMN42391119	CHN
CHN__SAMN40924133	CHN
CHN__SAMN42391131	CHN
CHN__SAMN42391121	CHN
CHN__SAMN42391132	CHN
CHN__SAMN42391141	CHN
CHN__SAMN42391143	CHN
CHN__SAMN50152092	CHN
JPN__SAMD01593374	JPN
CHN__SAMN44584073	CHN
CHN__SAMN44590224	CHN
CHN__SAMN44583825	CHN
CHN__SAMN50152043	CHN
CHN__SAMN44583927	CHN
JPN__SAMD01593376	JPN
CHN__SAMN44584075	CHN
CHN__SAMN42391122	CHN
FRA__SAMEA115874210	FRA
CHN__SAMN44583827	CHN
CHN__SAMN44584068	CHN
CHN__SAMN44590252	CHN
CHN__SAMN44583832	CHN
CHN__SAMN44583959	CHN
CHN__SAMN44583972	CHN
CHN__SAMN44590276	CHN
CHN__SAMN44583912	CHN
CHN__SAMN44583924	CHN
CHN__SAMN44583830	CHN
CHN__SAMN44583865	CHN
CHN__SAMN44583845	CHN
CHN__SAMN44583846	CHN
CHN__SAMN44590209	CHN
CHN__SAMN44583839	CHN
CHN__SAMN44590310	CHN
CHN__SAMN44590312	CHN
CHN__SAMN44584039	CHN
CHN__SAMN44584040	CHN
CHN__SAMN45156066	CHN
CHN__SAMN39683481	CHN
CHN__SAMN44583859	CHN
JPN__SAMD01593370	JPN
JPN__SAMD01593373	JPN
CHN__SAMN44590214	CHN
CHN__SAMN44590314	CHN
CHN__SAMN44590291	CHN
CHN__SAMN44584044	CHN
CHN__SAMN44583829	CHN
CHN__SAMN43024034	CHN
CHN__SAMN45156057	CHN
CHN__SAMN32034026	CHN
CHN__SAMN50152005	CHN
CHN__SAMN39683369	CHN
CHN__SAMN50152021	CHN
CHN__SAMN44583863	CHN
CHN__SAMN44590268	CHN
CHN__SAMN44583816	CHN
CHN__SAMN44583817	CHN
CHN__SAMN44583838	CHN
CHN__SAMN50152049	CHN
CHN__SAMN44583843	CHN
CHN__SAMN42391116	CHN
CHN__SAMN50152036	CHN
CHN__SAMN42391137	CHN
CHN__SAMN42391138	CHN
CHN__SAMN43024013	CHN
CHN__SAMN44583820	CHN
CHN__SAMN44583823	CHN
CHN__SAMN44583824	CHN
CHN__SAMN44590257	CHN
CHN__SAMN44583840	CHN
CHN__SAMN50152080	CHN
CHN__SAMN40924154	CHN
CHN__SAMN50152085	CHN
CHN__SAMN44583870	CHN
JPN__SAMD01593369	JPN
CHN__SAMN43024015	CHN
CHN__SAMN43024012	CHN
CHN__SAMN43024032	CHN
CHN__SAMN44583819	CHN
CHN__SAMN50152051	CHN
CHN__SAMN44584104	CHN
CHN__SAMN44590242	CHN
CHN__SAMN44584005	CHN
CHN__SAMN44590265	CHN
CHN__SAMN50152053	CHN
CHN__SAMN42391134	CHN
CHN__SAMN44583828	CHN
CHN__SAMN44590238	CHN
CHN__SAMN50152020	CHN
CHN__SAMN44583821	CHN
CHN__SAMN44583833	CHN
CHN__SAMN44583834	CHN
CHN__SAMN44583945	CHN
CHN__SAMN44584082	CHN
CHN__SAMN50152040	CHN
CHN__SAMN50152052	CHN
CHN__SAMN44590283	CHN
CHN__SAMN43024031	CHN
CHN__SAMN32034068	CHN
CHN__SAMN39683412	CHN
CHN__SAMN43024016	CHN
CHN__SAMN43024021	CHN
CHN__SAMN43024019	CHN
CHN__SAMN43024010	CHN
CHN__SAMN45156028	CHN
CHN__SAMN50151991	CHN
CHN__SAMN45156021	CHN
JPN__SAMD00885980	JPN
JPN__SAMD01697901	JPN
JPN__SAMD01697902	JPN
CHN__SAMN44590307	CHN
CHN__SAMN44584012	CHN
JPN__SAMD01797763	JPN
CHN__SAMN44583837	CHN
CHN__SAMN42391136	CHN
JPN__SAMD00920275	JPN
JPN__SAMD00920271	JPN
JPN__SAMD00920272	JPN
CHN__SAMN50152007	CHN
JPN__SAMD00920273	JPN
CHN__SAMN50152026	CHN
JPN__SAMD01797764	JPN
CHN__SAMN32034055	CHN
JPN__SAMD00920279	JPN
JPN__SAMD00920282	JPN
CHN__SAMN45156020	CHN
CHN__SAMN50152028	CHN
CHN__SAMN50151998	CHN
JPN__SAMD00920276	JPN
JPN__SAMD00920280	JPN
CHN__SAMN42391140	CHN
CHN__SAMN50152069	CHN
JPN__SAMD00885979	JPN
JPN__SAMD00892050	JPN
JPN__SAMD00892053	JPN
JPN__SAMD01697899	JPN
JPN__SAMD00892034	JPN
JPN__SAMD01697933	JPN
JPN__SAMD00892035	JPN
JPN__SAMD00892042	JPN
JPN__SAMD00892045	JPN
JPN__SAMD00892049	JPN
JPN__SAMD01697906	JPN
JPN__SAMD00892047	JPN
JPN__SAMD00892048	JPN
JPN__SAMD01697903	JPN
JPN__SAMD01697907	JPN
JPN__SAMD01697934	JPN
JPN__SAMD01697925	JPN
JPN__SAMD01697909	JPN
JPN__SAMD00892040	JPN
JPN__SAMD00892046	JPN
JPN__SAMD01697912	JPN
JPN__SAMD01697916	JPN
JPN__SAMD01697914	JPN
JPN__SAMD01697913	JPN
JPN__SAMD01697911	JPN
JPN__SAMD01697920	JPN
JPN__SAMD01697929	JPN
JPN__SAMD01697915	JPN
CHN__SAMN42391124	CHN
CHN__SAMN42391144	CHN
CHN__SAMN42391147	CHN
CHN__SAMN44583826	CHN
CHN__SAMN50152054	CHN
CHN__SAMN45156027	CHN
CHN__SAMN44590282	CHN
JPN__SAMD01593371	JPN
JPN__SAMD01593375	JPN
CHN__SAMN45156031	CHN
CHN__SAMN44590294	CHN
CHN__SAMN50152059	CHN
CHN__SAMN45156034	CHN
USA__SAMN46491808	Unknown_other
CHN__SAMN33268551	CHN
CHN__SAMN42391148	CHN
CHN__SAMN44590295	CHN
CHN__SAMN45156054	CHN
CHN__SAMN50152056	CHN
CHN__SAMN44583872	CHN
CHN__SAMN42391126	CHN
CHN__SAMN44583814	CHN
CHN__SAMN44583815	CHN
CHN__SAMN50152046	CHN
CHN__SAMN50152047	CHN
CHN__SAMN44584067	CHN
CHN__SAMN39683447	CHN
CHN__SAMN43024025	CHN
CHN__SAMN44590275	CHN
CHN__SAMN44583871	CHN
CHN__SAMN50152031	CHN
CHN__SAMN44583886	CHN
CHN__SAMN44584094	CHN
CHN__SAMN44590219	CHN
CHN__SAMN44590233	CHN
CHN__SAMN42391135	CHN
CHN__SAMN42391146	CHN
CHN__SAMN44590311	CHN
CHN__SAMN43024011	CHN
CHN__SAMN44590292	CHN
CHN__SAMN44583818	CHN
CHN__SAMN44584022	CHN
CHN__SAMN42391145	CHN
CHN__SAMN42391150	CHN
CHN__SAMN43024014	CHN
CHN__SAMN43024018	CHN
CHN__SAMN42391149	CHN
FRA__SAMEA117615784	FRA
CHN__SAMN43024023	CHN
CHN__SAMN45156030	CHN
CHN__SAMN44583835	CHN
CHN__SAMN50152057	CHN
CHN__SAMN50151995	CHN
CHN__SAMN45156019	CHN
CHN__SAMN44584033	CHN
CHN__SAMN44584026	CHN
CHN__SAMN50152013	CHN
CHN__SAMN42391115	CHN
CHN__SAMN44583946	CHN
JPN__SAMD01797762	JPN
CHN__SAMN42391133	CHN
CHN__SAMN50151990	CHN
CHN__SAMN42391130	CHN
CHN__SAMN43024017	CHN
CHN__SAMN42391139	CHN
CHN__SAMN43024027	CHN
CHN__SAMN43024020	CHN
CHN__SAMN45156018	CHN
CHN__SAMN45156063	CHN
CHN__SAMN50151962	CHN
CHN__SAMN50151963	CHN
CHN__SAMN50151955	CHN
CHN__SAMN50151956	CHN
CHN__SAMN50151977	CHN
JPN__SAMD00892039	JPN
CHN__SAMN07329785	CHN
CHN__SAMN50151958	CHN
CHN__SAMN45156013	CHN
CHN__SAMN33268552	CHN
CHN__SAMN32033997	CHN
CHN__SAMN50151965	CHN
CHN__SAMN50151964	CHN
BEL__SAMEA117989259	BEL
BEL__SAMEA117989308	BEL
DNK__SAMEA8914402	Europe_other
USA__SAMN11539704	Unknown_other
USA__SAMN12392429	Unknown_other
BEL__SAMEA117989545	BEL
BEL__SAMEA117989613	BEL
FRA__SAMEA115874223	FRA
AUT__SAMN15396194	Europe_other
NOR__SAMEA10058023	Europe_other
NOR__SAMEA10057988	Europe_other
BEL__SAMEA117989513	BEL
AUT__SAMN15396105	Europe_other
AUT__SAMN15396109	Europe_other
AUT__SAMN15396112	Europe_other
BEL__SAMEA117989226	BEL
BEL__SAMEA117989573	BEL
FRA__SAMEA115874197	FRA
FRA__SAMEA115874217	FRA
FRA__SAMEA115874199	FRA
IRL__SAMEA8914503	Europe_other
IRL__SAMEA8914514	Europe_other
NOR__SAMEA10057989	Europe_other
NOR__SAMEA10058016	Europe_other
DNK__SAMEA8914410	Europe_other
FIN__SAMEA8914470	Europe_other
FIN__SAMEA8914471	Europe_other
BEL__SAMEA117989525	BEL
BEL__SAMEA117989526	BEL
BEL__SAMEA117989537	BEL
BEL__SAMEA117989538	BEL
BEL__SAMEA117989554	BEL
BEL__SAMEA117989577	BEL
BEL__SAMEA117989562	BEL
BEL__SAMEA117989614	BEL
BEL__SAMEA117989615	BEL
BEL__SAMEA117989616	BEL
BEL__SAMEA117989604	BEL
BEL__SAMEA117989533	BEL
BEL__SAMEA117989560	BEL
BEL__SAMEA117989552	BEL
BEL__SAMEA117989597	BEL
BEL__SAMEA117989611	BEL
BEL__SAMEA117989587	BEL
BEL__SAMEA117989529	BEL
BEL__SAMEA117989585	BEL
FRA__SAMEA115874201	FRA
BEL__SAMEA117989551	BEL
BEL__SAMEA117989580	BEL
BEL__SAMEA117989534	BEL
BEL__SAMEA117989570	BEL
BEL__SAMEA117989571	BEL
BEL__SAMEA117989561	BEL
BEL__SAMEA117989559	BEL
BEL__SAMEA117989606	BEL
BEL__SAMEA117989593	BEL
BEL__SAMEA117989569	BEL
BEL__SAMEA117989598	BEL
BEL__SAMEA117989527	BEL
BEL__SAMEA117989557	BEL
BEL__SAMEA117989589	BEL
FRA__SAMEA115874190	FRA
BEL__SAMEA117989553	BEL
FRA__SAMEA115874206	FRA
FRA__SAMEA115874193	FRA
BEL__SAMEA117989528	BEL
BEL__SAMEA117989531	BEL
BEL__SAMEA117989543	BEL
FRA__SAMEA115874203	FRA
BEL__SAMEA117989532	BEL
BEL__SAMEA117989583	BEL
BEL__SAMEA117989539	BEL
BEL__SAMEA117989555	BEL
BEL__SAMEA117989542	BEL
BEL__SAMEA117989564	BEL
BEL__SAMEA117989586	BEL
FRA__SAMEA115874208	FRA
BEL__SAMEA117989574	BEL
BEL__SAMEA117989548	BEL
BEL__SAMEA117989565	BEL
BEL__SAMEA117989572	BEL
FRA__SAMEA117615785	FRA
BEL__SAMEA117989581	BEL
BEL__SAMEA117989568	BEL
BEL__SAMEA117989596	BEL
BEL__SAMEA117989595	BEL
BEL__SAMEA117989601	BEL
BEL__SAMEA117989582	BEL
BEL__SAMEA117989612	BEL
BEL__SAMEA117989530	BEL
BEL__SAMEA117989567	BEL
BEL__SAMEA117989536	BEL
FRA__SAMEA115874198	FRA
BEL__SAMEA117989544	BEL
FRA__SAMEA115874215	FRA
FRA__SAMEA115874218	FRA
NOR__SAMEA8914580	Europe_other
CHN__SAMN50151957	CHN
DNK__SAMEA8914404	Europe_other
IRL__SAMEA8914485	Europe_other
AUS__SAMN22858181	AUS
AUS__SAMN08443771	AUS
AUS__SAMN07235949	AUS
AUS__SAMN08443767	AUS
SWE__SAMN03566784	Europe_other
AUS__SAMN08443709	AUS
AUS__SAMN45810572	AUS
AUS__SAMN45810573	AUS
AUS__SAMN45810527	AUS
AUS__SAMN45810574	AUS
AUS__SAMN08443742	AUS
AUS__SAMN08443778	AUS
AUS__SAMN08443772	AUS
AUS__SAMN08443780	AUS
BEL__SAMEA117989209	BEL
USA__SAMN18620814	Unknown_other
NOR__SAMEA8914585	Europe_other
NOR__SAMEA10058004	Europe_other
USA__SAMN10182728	Unknown_other
USA__SAMN14488313	Unknown_other
FIN__SAMEA8914458	Europe_other
USA__SAMN05948796	Unknown_other
USA__SAMN48440030	Unknown_other
BEL__SAMEA117989434	BEL
NOR__SAMEA10058021	Europe_other
USA__SAMN05950790	Unknown_other
USA__SAMN45987657	Unknown_other
USA__SAMN18620777	Unknown_other
CAN__SAMN06113467	Unknown_other
CHN__SAMN07329777	CHN
JPN__SAMD00328201	JPN
JPN__SAMEA41323168	JPN
JPN__SAMD00549636	JPN
IND__SAMN19416304	Asia_other
JPN__SAMD00549621	JPN
JPN__SAMD00570813	JPN
CHN__SAMN39683174	CHN
CHN__SAMN09947459	CHN
BEL__SAMEA117989252	BEL
BEL__SAMEA117989272	BEL
BEL__SAMEA117989467	BEL
BEL__SAMEA117989520	BEL
AUT__SAMN15396122	Europe_other
ESP__SAMN16378592	Europe_other
SWE__SAMEA8914632	Europe_other
SWE__SAMEA8914609	Europe_other
SWE__SAMEA8914626	Europe_other
FIN__SAMEA8914472	Europe_other
FIN__SAMEA8914475	Europe_other
IRL__SAMEA8914497	Europe_other
AUT__SAMN15396157	Europe_other
AUT__SAMN15396107	Europe_other
JPN__SAMD00872997	JPN
ISR__SAMN05908234	Asia_other
ISR__SAMN05908228	Asia_other
ISR__SAMN05908230	Asia_other
ISR__SAMN05908238	Asia_other
AUS__SAMN45810525	AUS
NLD__SAMN03566785	Europe_other
BEL__SAMEA117989203	BEL
TUN__SAMEA4752844	Africa_other
TUN__SAMEA4752846	Africa_other
ESP__SAMN16378393	Europe_other
CHN__SAMN50151960	CHN
AUS__SAMN45810526	AUS
FRA__SAMEA115874240	FRA
AUS__SAMN22858044	AUS
AUS__SAMN22858066	AUS
AUS__SAMN22857945	AUS
NOR__SAMEA10057975	Europe_other
NOR__SAMN03566786	Europe_other
USA__SAMN07352218	Unknown_other
AUS__SAMN08443734	AUS
BEL__SAMEA117989523	BEL
AUS__SAMN45810506	AUS
USA__SAMN14488305	Unknown_other
USA__SAMN18620802	Unknown_other
CAN__SAMN06113472	Unknown_other
ESP__SAMN16378558	Europe_other
USA__SAMN10176206	Unknown_other
NLD__SAMEA8914566	Europe_other
BEL__SAMEA117989205	BEL
ITA__SAMEA8914541	Europe_other
IRN__SAMN12675074	Asia_other
USA__SAMN03996260	Unknown_other
USA__SAMN05583818	Unknown_other
JPN__SAMD00328188	JPN
JPN__SAMD00328195	JPN
JPN__SAMEA41257168	JPN
JPN__SAMEA41227918	JPN
BRA__SAMN05782317	Unknown_other
SWE__SAMEA751294	Europe_other
JPN__SAMEA41242918	JPN
USA__SAMN05583850	Unknown_other
JPN__SAMEA41214418	JPN
JPN__SAMEA41278168	JPN
NOR__SAMEA10057903	Europe_other
ITA__SAMN03784877	Europe_other
JPN__SAMEA41194168	JPN
JPN__SAMEA41188918	JPN
JPN__SAMD00570793	JPN
JPN__SAMEA41200168	JPN
JPN__SAMEA41275918	JPN
NOR__SAMEA10057869	Europe_other
JPN__SAMEA41241418	JPN
JPN__SAMEA41249668	JPN
ESP__SAMN16378544	Europe_other
NOR__SAMEA10057882	Europe_other
AUS__SAMEA751477	AUS
ESP__SAMN16378550	Europe_other
ISR__SAMN05908237	Asia_other
NOR__SAMEA10057881	Europe_other
AUS__SAMEA751183	AUS
ESP__SAMN16378546	Europe_other
AUS__SAMEA751475	AUS
ESP__SAMEA8914418	Europe_other
ESP__SAMN16378404	Europe_other
AUS__SAMN08443715	AUS
SWE__SAMEA8914621	Europe_other
USA__SAMN11821785	Unknown_other
NOR__SAMEA8914588	Europe_other
BEL__SAMEA117989541	BEL
BEL__SAMEA117989546	BEL
BEL__SAMEA117989550	BEL
BEL__SAMEA117989584	BEL
USA__SAMN11822192	Unknown_other
IRN__SAMN12675075	Asia_other
NOR__SAMEA10057952	Europe_other
NOR__SAMEA8914592	Europe_other
CHN__SAMN09947460	CHN
AUS__SAMN45810556	AUS
FRA__SAMEA115874216	FRA
AUS__SAMN45811371	AUS
FRA__SAMEA115874226	FRA
JPN__SAMD01593372	JPN
FRA__SAMEA117615786	FRA
AUS__SAMN45810582	AUS
BEL__SAMEA117989599	BEL
FRA__SAMEA115874222	FRA
FRA__SAMEA115874243	FRA
AUS__SAMN45810611	AUS
AUS__SAMN18200431	AUS
BEL__SAMEA117989221	BEL
IND__SAMN10457989	Asia_other
FRA__SAMEA115874213	FRA
CHN__SAMN09947464	CHN
CHN__SAMN09947475	CHN
CHN__SAMN42391088	CHN
CHN__SAMN42391093	CHN
CHN__SAMN42391113	CHN
CHN__SAMN42391102	CHN
CHN__SAMN42391089	CHN
CHN__SAMN42391114	CHN
CHN__SAMN42391096	CHN
CHN__SAMN42391098	CHN
CHN__SAMN42391099	CHN
CHN__SAMN42391120	CHN
CHN__SAMN42391117	CHN
CHN__SAMN42391125	CHN
CHN__SAMN42391123	CHN
CHN__SAMN42391111	CHN
CHN__SAMN42391112	CHN
CHN__SAMN42391095	CHN
CHN__SAMN42391090	CHN
CHN__SAMN42391094	CHN
CHN__SAMN42391127	CHN
CHN__SAMN42391100	CHN
CHN__SAMN42391107	CHN
CHN__SAMN42391101	CHN
CHN__SAMN42391106	CHN
CHN__SAMN42391091	CHN
CHN__SAMN42391108	CHN
CHN__SAMN42391105	CHN
CHN__SAMN41373948	CHN
CHN__SAMN50151954	CHN
CHN__SAMN41373975	CHN
CHN__SAMN09941175	CHN
CHN__SAMN22233915	CHN
CHN__SAMN22233923	CHN
CHN__SAMN50151968	CHN
CHN__SAMN41373959	CHN
JPN__SAMD00549575	JPN
CHN__SAMN50151939	CHN
CHN__SAMN22233918	CHN
CHN__SAMN39683154	CHN
JPN__SAMD00328237	JPN
CHN__SAMN32033981	CHN
CHN__SAMN50151945	CHN
