country_iso3	country_label	lineage	display_lineage	n_resurgence_focal_tips	n_with_public_date	first_collection_lower	first_public_date	median_lag_min_days	median_lag_max_days	min_lag_min_days	max_lag_max_days
AUS	Australia	L1_01.02	Comparator genomic lineage A	4	4	2024-05-01	2025-01-16	184.5	214.0	108	260
AUS	Australia	L1_02.05	Comparator genomic lineage B	17	17	2024-01-01	2025-01-16	138	168	77	381
AUS	Australia	L1_02.06	Comparator genomic lineage C	13	13	2023-09-01	2025-01-16	169	199	77	503
AUS	Australia	L1_02.07	MT28-associated genomic lineage	3	3	2024-08-01	2025-01-16	138	168	138	174
CHN	China	L1_02.06	Comparator genomic lineage C	4	4	2023-01-01	2025-03-23	448.0	776.5	317	812
CHN	China	L1_02.07	MT28-associated genomic lineage	148	148	2023-01-01	2024-09-29	398.0	446.0	0	1047
CHN	China	Other	Other genomic lineages	1	1	2023-01-01	2024-09-29	273	637	273	637
JPN	Japan	L1_01.02	Comparator genomic lineage A	1	1	2024-12-12	2025-12-10	363	363	363	363
JPN	Japan	L1_02.05	Comparator genomic lineage B	3	3	2024-01-01	2026-01-25	300	389	25	755
JPN	Japan	L1_02.06	Comparator genomic lineage C	2	2	2025-01-21	2025-05-12	220.5	220.5	111	330
JPN	Japan	L1_02.07	MT28-associated genomic lineage	54	54	2024-01-01	2025-05-12	249.5	261.0	25	755
