country_iso3	primary_model_lineage_id	display_lineage	clock	minimum_cumulative_tips	detection_date	lead_to_2019max_threshold_days	lead_to_post2022_peak_days
AUS	L1_01.02	Comparator genomic lineage A	collection_lower	1	2024-05-01	-61	184
AUS	L1_01.02	Comparator genomic lineage A	collection_lower	3	2024-07-01	-122	123
AUS	L1_01.02	Comparator genomic lineage A	collection_upper_effective	1	2024-05-31	-91	154
AUS	L1_01.02	Comparator genomic lineage A	collection_upper_effective	3	2024-07-31	-152	93
AUS	L1_01.02	Comparator genomic lineage A	public_date	1	2025-01-16	-321	-76
AUS	L1_01.02	Comparator genomic lineage A	public_date	3	2025-01-16	-321	-76
AUS	L1_02.05	Comparator genomic lineage B	collection_lower	1	2024-01-01	60	305
AUS	L1_02.05	Comparator genomic lineage B	collection_lower	3	2024-02-01	29	274
AUS	L1_02.05	Comparator genomic lineage B	collection_lower	5	2024-07-01	-122	123
AUS	L1_02.05	Comparator genomic lineage B	collection_lower	10	2024-09-01	-184	61
AUS	L1_02.05	Comparator genomic lineage B	collection_upper_effective	1	2024-01-31	30	275
AUS	L1_02.05	Comparator genomic lineage B	collection_upper_effective	3	2024-02-29	1	246
AUS	L1_02.05	Comparator genomic lineage B	collection_upper_effective	5	2024-07-31	-152	93
AUS	L1_02.05	Comparator genomic lineage B	collection_upper_effective	10	2024-09-30	-213	32
AUS	L1_02.05	Comparator genomic lineage B	public_date	1	2025-01-16	-321	-76
AUS	L1_02.05	Comparator genomic lineage B	public_date	3	2025-01-16	-321	-76
AUS	L1_02.05	Comparator genomic lineage B	public_date	5	2025-01-16	-321	-76
AUS	L1_02.05	Comparator genomic lineage B	public_date	10	2025-01-16	-321	-76
AUS	L1_02.06	Comparator genomic lineage C	collection_lower	1	2023-09-01	182	427
AUS	L1_02.06	Comparator genomic lineage C	collection_lower	3	2024-05-01	-61	184
AUS	L1_02.06	Comparator genomic lineage C	collection_lower	5	2024-06-01	-92	153
AUS	L1_02.06	Comparator genomic lineage C	collection_lower	10	2024-09-01	-184	61
AUS	L1_02.06	Comparator genomic lineage C	collection_upper_effective	1	2023-09-30	153	398
AUS	L1_02.06	Comparator genomic lineage C	collection_upper_effective	3	2024-05-31	-91	154
AUS	L1_02.06	Comparator genomic lineage C	collection_upper_effective	5	2024-06-30	-121	124
AUS	L1_02.06	Comparator genomic lineage C	collection_upper_effective	10	2024-09-30	-213	32
AUS	L1_02.06	Comparator genomic lineage C	public_date	1	2025-01-16	-321	-76
AUS	L1_02.06	Comparator genomic lineage C	public_date	3	2025-01-16	-321	-76
AUS	L1_02.06	Comparator genomic lineage C	public_date	5	2025-01-16	-321	-76
AUS	L1_02.06	Comparator genomic lineage C	public_date	10	2025-01-16	-321	-76
AUS	L1_02.07	MT28-associated genomic lineage	collection_lower	1	2024-08-01	-153	92
AUS	L1_02.07	MT28-associated genomic lineage	collection_lower	3	2024-08-01	-153	92
