country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	baseline_lower_95	baseline_upper_95	no_new_exposure_median	no_new_exposure_lower_95	no_new_exposure_upper_95	equal_lineage_median	equal_lineage_lower_95	equal_lineage_upper_95	l10207_reference_median	l10207_reference_lower_95	l10207_reference_upper_95
AUS	2020-02-01	762	712.227919307519	618.800459735092	823.378667544238	762	762	762	762	762	762	762	762	762	762	762	762
AUS	2020-03-01	682	608.806687151931	527.495558335251	705.861748436286	682	682	682	682	682	682	682	682	682	682	682	682
AUS	2020-04-01	371	535.95609574655	462.506324822062	622.883027017829	371	371	371	371	371	371	371	371	371	371	371	371
AUS	2020-05-01	213	299.072799785332	257.133513081441	348.154532509485	213	213	213	213	213	213	213	213	213	213	213	213
AUS	2020-06-01	194	174.732313699763	149.9019163579	203.586906048948	194	194	194	194	194	194	194	194	194	194	194	194
AUS	2020-07-01	127	159.808614918725	138.019417449496	186.178469536453	127	127	127	127	127	127	127	127	127	127	127	127
AUS	2020-08-01	70	106.678991545813	92.222795878065	124.217239931016	70	70	70	70	70	70	70	70	70	70	70	70
AUS	2020-09-01	51	60.3596904022072	51.8967777340991	70.5291428112868	51	51	51	51	51	51	51	51	51	51	51	51
AUS	2020-10-01	24	44.9433212146315	38.5765836499276	52.7255917006561	24	24	24	24	24	24	24	24	24	24	24	24
AUS	2020-11-01	44	21.8717522460043	18.6198071438635	25.756575875194	44	44	44	44	44	44	44	44	44	44	44	44
AUS	2020-12-01	48	40.2941468772414	34.3635104497175	47.4195821905281	48	48	48	48	48	48	48	48	48	48	48	48
AUS	2021-01-01	40	44.706312680464	38.3442018496655	52.4677196731963	40	40	40	40	40	40	40	40	40	40	40	40
AUS	2021-02-01	54	38.0348173851379	32.7386700720767	44.4501770708024	54	54	54	54	54	54	54	54	54	54	54	54
AUS	2021-03-01	53	51.8774986186407	44.8720254129254	60.3527880358137	53	53	53	53	53	53	53	53	53	53	53	53
AUS	2021-04-01	48	51.6648987606329	44.7162152466379	59.8606128955347	48	48	48	48	48	48	48	48	48	48	48	48
AUS	2021-05-01	52	47.4512171792869	40.9293709145491	55.0320066419228	52	52	52	52	52	52	52	52	52	52	52	52
AUS	2021-06-01	57	51.9090637971677	44.6116171810152	60.3799040280047	57	57	57	57	57	57	57	57	57	57	57	57
AUS	2021-07-01	38	57.2859072839043	48.9682322808731	66.8908794781666	38	38	38	38	38	38	38	38	38	38	38	38
AUS	2021-08-01	51	38.7354554024208	33.2366854273247	45.2461033992545	51	51	51	51	51	51	51	51	51	51	51	51
