country_iso3	scenario	mean_main	median_main	lower_95_main	upper_95_main	change_fraction_median_main	mean_no_project	median_no_project	lower_95_no_project	upper_95_no_project	change_fraction_median_no_project
AUS	baseline	177583.975355345	100924.008359614	44363.0491999495	495098.230555506		147823.923545298	101340.675730056	45784.2428155004	469389.747255869	
AUS	no_import	108668.700772749	77715.4323967656	22519.8182588479	303684.264930856	-0.244750632439385	116524.420207326	85186.555790894	28208.6997543796	355918.839930121	-0.15515021779544
AUS	equal_lineage_transmission	183486.405322323	89438.3814721233	30929.3536259939	525992.518338777	-0.0984961710751716	204249.294904498	113844.803856545	57497.6016239243	784110.115247214	0.130751910339936
AUS	no_new_introduction_case_reduction_fraction	0.275168843265582	0.244750632439385	0.083346934897332	0.636893438180561		0.185563988857768	0.15515021779544	0.0559031284463999	0.490176499894529	
AUS	lineage_difference_effect_fraction	0.0923704023909897	0.0984961710751716	-0.4698480281478	0.569106216470736		-0.205300619393606	-0.130751910339936	-0.923639842289294	-0.0047196081490123	
CHN	baseline	3845138.23150537	671088.538127866	230957.018645676	8145749.74815497		2485240.43721335	679794.983400601	235229.319024099	8634139.1913869	
CHN	no_import	3816336.73089851	669427.341304348	229503.751724009	8114062.40971565	-0.0023273757945014	2468698.9460937	678719.124258388	234994.961638675	8584605.04496419	-0.0023622014763473
CHN	equal_lineage_transmission	435214.601131791	239570.185357676	20371.2689919346	1117900.92969583	-0.655876409973923	804427.652187739	388417.226112614	95467.5304898046	3004491.7818103	-0.447266083124361
CHN	no_new_introduction_case_reduction_fraction	0.002870864634676	0.0023273757945014	0.0006784543816376	0.0084360575887683		0.002925357685879	0.0023622014763473	0.0006431021249379	0.0082681743983425	
CHN	lineage_difference_effect_fraction	0.664335404010699	0.655876409973923	0.363276250230097	0.972472064393198		0.465686477884984	0.447266083124361	0.250326655476714	0.764390478265211	
JPN	baseline	8858390.59121771	152407.39719878	43399.8789479119	9050726.73457711		8132465.90909171	140718.761651252	42512.4666509092	5417436.49086853	
JPN	no_import	2185291.44203531	106575.48890464	17726.615971394	3043406.66154908	-0.305290587316397	1656216.27178277	96209.7265534659	15192.0351112165	2154023.79368717	-0.318659120412632
JPN	equal_lineage_transmission	716551.457094365	72486.8275741942	15305.3958679999	1412501.4079165	-0.53021530267849	7943876.35726401	98785.0235931849	27153.9460741039	2813844.57897031	-0.301508746400865
JPN	no_new_introduction_case_reduction_fraction	0.353195253683912	0.305290587316397	0.101994241908035	0.802546633311023		0.36749988529584	0.318659120412632	0.108913592772161	0.812386226946187	
JPN	lineage_difference_effect_fraction	0.546123524580534	0.53021530267849	0.21706493283275	0.931878320193613		0.320629349408522	0.301508746400865	0.0539497964065141	0.67735277686883	
