parameter_type	n_parameters	coverage_95	median_absolute_log_error	correlation_truth_posterior_median
lineage_growth	30	0.8	0.0192237038533898	0.816922220856698
import_scale	18	0.722222222222222	0.845173006101988	-0.0549693349720176
