country_iso3	model_month	epidemic_period	n_sampled_genomes
AUS	2012-01-01	prepandemic	1
AUS	2014-03-01	prepandemic	1
AUS	2015-12-01	prepandemic	1
AUS	2016-01-01	prepandemic	3
AUS	2016-02-01	prepandemic	2
AUS	2016-04-01	prepandemic	2
AUS	2018-01-01	prepandemic	1
AUS	2018-03-01	prepandemic	1
AUS	2018-06-01	prepandemic	1
AUS	2018-07-01	prepandemic	1
AUS	2018-08-01	prepandemic	1
AUS	2018-10-01	prepandemic	1
AUS	2018-11-01	prepandemic	1
AUS	2018-12-01	prepandemic	1
AUS	2019-01-01	prepandemic	1
AUS	2019-03-01	prepandemic	1
AUS	2019-05-01	prepandemic	1
AUS	2019-08-01	prepandemic	1
AUS	2019-09-01	prepandemic	1
AUS	2019-10-01	prepandemic	3
AUS	2019-12-01	prepandemic	1
AUS	2023-09-01	resurgence	1
AUS	2024-01-01	resurgence	3
AUS	2024-02-01	resurgence	1
AUS	2024-05-01	resurgence	3
AUS	2024-06-01	resurgence	4
AUS	2024-07-01	resurgence	6
AUS	2024-08-01	resurgence	5
AUS	2024-09-01	resurgence	7
AUS	2024-10-01	resurgence	7
BEL	2014-01-01	prepandemic	1
BEL	2014-06-01	prepandemic	1
BEL	2014-07-01	prepandemic	1
BEL	2014-08-01	prepandemic	1
BEL	2014-09-01	prepandemic	1
BEL	2014-12-01	prepandemic	1
BEL	2015-05-01	prepandemic	1
BEL	2015-12-01	prepandemic	1
BEL	2017-04-01	prepandemic	1
BEL	2017-05-01	prepandemic	1
BEL	2017-06-01	prepandemic	1
BEL	2017-07-01	prepandemic	1
BEL	2017-09-01	prepandemic	2
BEL	2018-03-01	prepandemic	1
BEL	2018-10-01	prepandemic	1
BEL	2018-12-01	prepandemic	1
BEL	2019-01-01	prepandemic	1
BEL	2019-04-01	prepandemic	1
BEL	2019-07-01	prepandemic	1
BEL	2020-01-01	pandemic	3
BEL	2020-02-01	pandemic	1
BEL	2020-03-01	pandemic	6
BEL	2020-04-01	pandemic	3
BEL	2020-05-01	pandemic	1
BEL	2022-08-01	pandemic	1
BEL	2022-11-01	pandemic	2
BEL	2023-01-01	resurgence	1
BEL	2023-03-01	resurgence	1
BEL	2023-04-01	resurgence	3
BEL	2023-05-01	resurgence	4
BEL	2023-06-01	resurgence	8
BEL	2023-07-01	resurgence	10
BEL	2023-08-01	resurgence	10
BEL	2023-09-01	resurgence	9
BEL	2023-10-01	resurgence	10
BEL	2023-11-01	resurgence	12
BEL	2023-12-01	resurgence	14
CHN	2014-09-01	prepandemic	1
CHN	2016-02-01	prepandemic	1
CHN	2016-06-01	prepandemic	1
CHN	2018-04-01	prepandemic	1
CHN	2018-08-01	prepandemic	1
CHN	2021-07-01	pandemic	1
CHN	2021-08-01	pandemic	2
CHN	2021-09-01	pandemic	1
CHN	2021-10-01	pandemic	3
CHN	2021-11-01	pandemic	4
CHN	2021-12-01	pandemic	9
CHN	2022-02-01	pandemic	3
CHN	2022-03-01	pandemic	9
CHN	2022-04-01	pandemic	2
CHN	2022-05-01	pandemic	6
CHN	2022-06-01	pandemic	2
CHN	2022-08-01	pandemic	3
CHN	2023-02-01	resurgence	2
CHN	2023-03-01	resurgence	3
CHN	2023-04-01	resurgence	3
CHN	2023-05-01	resurgence	1
CHN	2023-06-01	resurgence	5
CHN	2023-07-01	resurgence	2
CHN	2023-08-01	resurgence	4
CHN	2023-09-01	resurgence	2
CHN	2023-10-01	resurgence	4
CHN	2023-11-01	resurgence	9
CHN	2023-12-01	resurgence	2
CHN	2024-01-01	resurgence	8
CHN	2024-02-01	resurgence	8
CHN	2024-03-01	resurgence	8
CHN	2024-04-01	resurgence	15
CHN	2024-05-01	resurgence	19
CHN	2024-06-01	resurgence	9
CHN	2024-07-01	resurgence	8
CHN	2024-08-01	resurgence	8
FRA	2024-05-01	resurgence	1
JPN	2024-09-01	resurgence	2
JPN	2024-11-01	resurgence	1
JPN	2024-12-01	resurgence	6
JPN	2025-01-01	resurgence	10
JPN	2025-02-01	resurgence	14
JPN	2025-03-01	resurgence	3
JPN	2025-04-01	resurgence	1
JPN	2025-05-01	resurgence	8
JPN	2025-06-01	resurgence	3
JPN	2025-07-01	resurgence	1
JPN	2025-10-01	resurgence	1
