numerator	denominator	mean_main	median_main	lower_95_main	upper_95_main	posterior_probability_above_one_main	mean_no_project	median_no_project	lower_95_no_project	upper_95_no_project	posterior_probability_above_one_no_project
L1_02.07	L1_01.02	1.10935637234302	1.10784354611111	1.05350372647225	1.17292933349431	1	1.092451811203	1.0916209207692	1.05129535115413	1.13854228414172	1
L1_02.07	L1_02.05	1.13457011166229	1.13136118715793	1.0825860911663	1.20393901440984	1	1.10356526981103	1.10257729651604	1.06917927944591	1.14483914025391	1
L1_02.07	L1_02.06	1.15051280376885	1.14840957181012	1.09942632795888	1.21570347977627	1	1.1259184764683	1.12461210267204	1.0896277856778	1.16920934005091	1
L1_02.07	Other	1.18151468143793	1.17818988022823	1.1246119666928	1.25985186183695	1	1.12107609209946	1.12018743888962	1.09150569786146	1.15593248087522	1
