ct	specimen_group	ct_centered	success_probability	ci_lower	ci_upper
10.0	upper_respiratory_swab	-13.249156626506025	0.9919211532638611	0.9686903246804336	0.9979518563050326
10.25	upper_respiratory_swab	-12.999156626506025	0.9911227023008309	0.9664997398501552	0.9976908281118184
10.5	upper_respiratory_swab	-12.749156626506025	0.990246114571581	0.9641604989813295	0.9973966994338941
10.75	upper_respiratory_swab	-12.499156626506025	0.9892839041667356	0.9616631951551935	0.9970653117064832
11.0	upper_respiratory_swab	-12.249156626506025	0.9882279011569807	0.9589979250235434	0.9966919933142744
11.25	upper_respiratory_swab	-11.999156626506025	0.9870691959607316	0.9561542770079456	0.9962714986453219
11.5	upper_respiratory_swab	-11.749156626506025	0.9857980806372177	0.9531213215226214	0.9957979405083943
11.75	upper_respiratory_swab	-11.499156626506025	0.9844039872654607	0.9498876036461232	0.995264715351504
12.0	upper_respiratory_swab	-11.249156626506025	0.9828754236676843	0.9464411387098814	0.9946644207175311
12.25	upper_respiratory_swab	-10.999156626506025	0.9811999068559245	0.9427694113144683	0.9939887643874536
12.5	upper_respiratory_swab	-10.749156626506025	0.9793638947264562	0.9388593783258019	0.9932284646985438
12.75	upper_respiratory_swab	-10.499156626506025	0.9773527167017833	0.9346974764419653	0.9923731415912759
13.0	upper_respiratory_swab	-10.249156626506025	0.9751505042280632	0.9302696349549595	0.9914111980436436
13.25	upper_respiratory_swab	-9.999156626506025	0.9727401222807752	0.9255612943582986	0.9903296917061896
13.5	upper_respiratory_swab	-9.749156626506025	0.970103103316628	0.9205574314681905	0.9891141967687546
13.75	upper_respiratory_swab	-9.499156626506025	0.9672195854381612	0.9152425917300152	0.9877486563868738
14.0	upper_respiratory_swab	-9.249156626506025	0.9640682569112522	0.9096009293693584	0.9862152263908877
14.25	upper_respiratory_swab	-8.999156626506025	0.9606263095953694	0.903616256013998	0.9844941115163016
14.5	upper_respiratory_swab	-8.749156626506025	0.9568694043104238	0.8972720983556248	0.9825633960548399
14.75	upper_respiratory_swab	-8.499156626506025	0.9527716516679863	0.8905517653331091	0.9803988716597998
15.0	upper_respiratory_swab	-8.249156626506025	0.9483056124301346	0.8834384251980636	0.977973866076486
15.25	upper_respiratory_swab	-7.999156626506025	0.9434423220128416	0.8759151926637235	0.9752590778388929
15.5	upper_respiratory_swab	-7.749156626506025	0.9381513443029702	0.8679652261356042	0.972222423505756
15.75	upper_respiratory_swab	-7.499156626506025	0.9324008604812207	0.8595718347738224	0.968828905825489
16.0	upper_respiratory_swab	-7.249156626506025	0.9261577990015056	0.8507185948406512	0.9650405133325007
16.25	upper_respiratory_swab	-6.999156626506025	0.919388013223798	0.8413894744435768	0.9608161642812113
16.5	upper_respiratory_swab	-6.749156626506025	0.9120565133752327	0.8315689653979683	0.9561117104853023
16.75	upper_respiratory_swab	-6.499156626506025	0.9041277594548719	0.8212422205136345	0.9508800194749275
17.0	upper_respiratory_swab	-6.249156626506025	0.8955660213227915	0.8103951941720826	0.9450711562850075
17.25	upper_respiratory_swab	-5.999156626506025	0.8863358114379849	0.7990147836317432	0.9386326889415331
17.5	upper_respiratory_swab	-5.749156626506025	0.8764023944425721	0.787088968115338	0.9315101440258414
17.75	upper_respiratory_swab	-5.499156626506025	0.8657323759455954	0.7746069424529167	0.9236476401636956
18.0	upper_respiratory_swab	-5.249156626506025	0.8542943703642389	0.7615592419553106	0.9149887273747449
