event_id	parent_node	child_node	destination_country	transition_support	parent_country_probability	child_country_probability	top_source_state	top_source_probability_conditional	n_descendant_country_tips	n_descendant_prepandemic	n_descendant_pandemic	n_descendant_resurgence	descendant_date_lower	descendant_date_upper	n_attributed_tips	n_resurgence	n_lineages	sample_span_days	high_support_introduction	post_resurgence_candidate	high_support_post_reseeding	successful_sampled_cluster
NODE_0791->FRA__SAMEA115874213:FRA	NODE_0791	FRA__SAMEA115874213	FRA	0.9359885933654888	0.0640114066345112	1.0	AUS	0.4557680844616887	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0781->AUS__SAMN45810611:AUS	NODE_0781	AUS__SAMN45810611	AUS	0.5404502941327332	0.4595497058672669	1.0	Europe_other	0.863576694757845	1	0	0	1	2024-09-01	2024-09-30	1	1	1	29	True	True	True	False
NODE_0782->NODE_0790:FRA	NODE_0782	NODE_0790	FRA	0.936804689634716	0.0475134832233915	0.9835359064242056	AUS	0.91382252569339	2	0	0	2	2024-01-01	2024-12-31	2	2	1	365	True	True	True	False
NODE_0772->NODE_0776:BEL	NODE_0772	NODE_0776	BEL	0.998573778200252	0.001045118587993	0.9996184980734903	Europe_other	0.998072512854106	4	0	0	4	2023-06-12	2023-10-31	4	4	1	141	True	True	True	False
NODE_0784->NODE_0787:JPN	NODE_0784	NODE_0787	JPN	0.9899523813473048	0.0086235242111786	0.9985635180213616	AUS	0.9658137280467458	1	0	0	1	2024-12-12	2024-12-12	1	1	1	0	True	True	True	False
NODE_0789->BEL__SAMEA117989599:BEL	NODE_0789	BEL__SAMEA117989599	BEL	0.9737111675086708	0.0262888324913292	1.0	AUS	0.9632487537867932	1	0	0	1	2023-12-05	2023-12-05	1	1	1	0	True	True	True	False
NODE_0787->FRA__SAMEA117615786:FRA	NODE_0787	FRA__SAMEA117615786	FRA	0.9996634723418688	0.0003365276581312	1.0	JPN	0.9988996753898288	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0786->FRA__SAMEA115874216:FRA	NODE_0786	FRA__SAMEA115874216	FRA	0.9680102708618497	0.0319897291381503	1.0	AUS	0.9805130002290472	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0788->FRA__SAMEA115874226:FRA	NODE_0788	FRA__SAMEA115874226	FRA	0.9997075802946968	0.0002924197053033	1.0	JPN	0.99944916362152	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0028->FRA__SAMEA115874248:FRA	NODE_0028	FRA__SAMEA115874248	FRA	0.9999994312945856	5.687054142960443e-07	1.0	Europe_other	0.9999989402741244	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0177->FRA__SAMEA115874240:FRA	NODE_0177	FRA__SAMEA115874240	FRA	0.9999979106558964	2.0893441035891195e-06	1.0	Europe_other	0.9999949817548552	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0050->JPN__SAMD01797761:JPN	NODE_0050	JPN__SAMD01797761	JPN	0.9999933880575884	6.611942411611678e-06	1.0	Europe_other	0.9999893408289164	1	0	0	1	2025-03-01	2025-03-31	1	1	1	30	True	True	True	False
NODE_0611->FRA__SAMEA115874218:FRA	NODE_0611	FRA__SAMEA115874218	FRA	0.987537138511402	0.012462861488598	1.0	Europe_other	0.9883751115393998	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0612->FRA__SAMEA115874215:FRA	NODE_0612	FRA__SAMEA115874215	FRA	0.9551056155677604	0.0448943844322395	1.0	BEL	0.7642848681704921	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0128->AUS__SAMN45810610:AUS	NODE_0128	AUS__SAMN45810610	AUS	0.7220360499101962	0.2779639500898038	1.0	FRA	0.3830695507465107	1	0	0	1	2024-09-01	2024-09-30	1	1	1	29	True	True	True	False
NODE_0600->NODE_0601:FRA	NODE_0600	NODE_0601	FRA	0.8372767196732578	5.373828454212384e-06	0.8372812190788971	Europe_other	0.9999978020376828	3	0	0	3	2024-01-01	2024-12-31	3	3	1	365	True	True	True	False
NODE_0129->BEL__SAMEA117989547:BEL	NODE_0129	BEL__SAMEA117989547	BEL	0.8700438688259747	0.1299561311740253	1.0	FRA	0.3190669185148673	1	0	0	1	2023-07-03	2023-07-03	1	1	1	0	True	True	True	False
NODE_0129->FRA__SAMEA115874225:FRA	NODE_0129	FRA__SAMEA115874225	FRA	0.7223977838009429	0.2776022161990571	1.0	AUS	0.383842874490808	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0587->NODE_0591:BEL	NODE_0587	NODE_0591	BEL	0.531656733564227	0.0008493225688022	0.5321086654628598	Europe_other	0.9997475653921356	2	0	0	2	2023-07-07	2023-12-26	2	2	1	172	True	True	True	False
NODE_0614->FRA__SAMEA115874198:FRA	NODE_0614	FRA__SAMEA115874198	FRA	0.9999867687544928	1.323124550716055e-05	1.0	BEL	0.9999941149432487	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0327->JPN__SAMD00892039:JPN	NODE_0327	JPN__SAMD00892039	JPN	0.9999793897299172	2.0610270082863308e-05	1.0	CHN	0.9998812983092012	1	0	0	1	2025-01-24	2025-01-24	1	1	1	0	True	True	True	False
NODE_0591->FRA__SAMEA115874223:FRA	NODE_0591	FRA__SAMEA115874223	FRA	0.7377367412121777	0.2622632587878223	1.0	BEL	0.7212717433437713	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0602->BEL__SAMEA117989573:BEL	NODE_0602	BEL__SAMEA117989573	BEL	0.8866054461708528	0.1133945538291472	1.0	FRA	0.9443356445946548	1	0	0	1	2023-09-25	2023-09-25	1	1	1	0	True	True	True	False
NODE_0117->NODE_0118:FRA	NODE_0117	NODE_0118	FRA	0.500364339605506	0.0024698161398031	0.5016032073026792	Europe_other	0.998956380659098	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0120->NODE_0121:AUS	NODE_0120	NODE_0121	AUS	0.9372277692513954	0.0330200548239409	0.9692318583512642	BEL	0.9096201015133576	3	0	0	3	2024-07-01	2024-09-30	3	3	1	91	True	True	True	False
NODE_0123->FRA__SAMEA115874237:FRA	NODE_0123	FRA__SAMEA115874237	FRA	0.9785797111644908	0.0214202888355092	1.0	BEL	0.9861662334461304	1	0	0	1	2024-01-01	2024-12-31	1	1	1	365	True	True	True	False
NODE_0118->AUS__SAMN45810503:AUS	NODE_0118	AUS__SAMN45810503	AUS	0.9271996645889894	0.0728003354110106	1.0	FRA	0.5409872613845593	1	0	0	1	2024-02-01	2024-02-29	1	1	1	28	True	True	True	False
NODE_0195->BEL__SAMEA117989590:BEL	NODE_0195	BEL__SAMEA117989590	BEL	0.9999999885942872	1.1405712806957031e-08	1.0	Europe_other	0.999999996325234	1	0	0	1	2023-11-14	2023-11-14	1	1	1	0	True	True	True	False
