country_iso3	country_name	model_month	year	month	period	cases	case_data_available	n_source_intervals	source_time_resolution	source_url	source_file	reporting_era_record_iso3	reporting_era_scope_type	reporting_era_match_type	reporting_era_confidence	pcr_lab_guideline_year	reporting_case_definition_change_year	surveillance_platform_change_year	data_freeze_date
AUS	Australia	2015-01-01	2015	1	pre_pandemic	1487.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-02-01	2015	2	pre_pandemic	1240.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-03-01	2015	3	pre_pandemic	1360.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-04-01	2015	4	pre_pandemic	1199.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-05-01	2015	5	pre_pandemic	1399.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-06-01	2015	6	pre_pandemic	1589.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-07-01	2015	7	pre_pandemic	1660.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-08-01	2015	8	pre_pandemic	2054.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-09-01	2015	9	pre_pandemic	1940.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-10-01	2015	10	pre_pandemic	2548.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-11-01	2015	11	pre_pandemic	3259.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2015-12-01	2015	12	pre_pandemic	2835.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-01-01	2016	1	pre_pandemic	2317.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-02-01	2016	2	pre_pandemic	1940.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-03-01	2016	3	pre_pandemic	1635.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-04-01	2016	4	pre_pandemic	1338.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-05-01	2016	5	pre_pandemic	1325.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-06-01	2016	6	pre_pandemic	1213.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-07-01	2016	7	pre_pandemic	1250.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-08-01	2016	8	pre_pandemic	1600.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-09-01	2016	9	pre_pandemic	1921.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-10-01	2016	10	pre_pandemic	1903.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
AUS	Australia	2016-11-01	2016	11	pre_pandemic	2039.0	True	1.0	monthly	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	AUS	country	country_direct	high	2004	2013	2004	2026-07-24
