country_iso3	scenario	mean_main	median_main	lower_95_main	upper_95_main	change_fraction_median_main	mean_no_project	median_no_project	lower_95_no_project	upper_95_no_project	change_fraction_median_no_project
AUS	baseline	94357.7821120292	85170.5131590669	42082.366151396	204656.591850133	NA	97024.4286500859	85537.561992246	42580.488554806	232878.310277141	NA
AUS	no_new_exposure	91542.6399905004	82911.1585317462	36543.9303245251	199519.147283751	-0.0149634257877856	88675.3860060142	79018.2976989094	29418.8751186495	212244.795193664	-0.0590580074155548
AUS	equal_lineage_growth	74165.7325096357	67640.7189794931	24984.5765498725	166930.367062767	-0.185080193878856	107717.120513242	91871.1270332392	47258.5221244677	281243.717034327	0.0788119933965233
AUS	l10207_reference_growth	67303.9778580313	62272.0680027465	22290.0125974718	144421.596847283	-0.250303999242486	90576.1655775256	80529.4668202079	38783.8181115431	211666.066958963	-0.0525907885656298
AUS	no_new_exposure_case_difference_fraction	0.0344177465832903	0.0149634257877856	0.0005497709237248	0.195986746079902	NA	0.0967276338573511	0.0590580074155548	0.0033607038689217	0.408462540180269	NA
AUS	lineage_growth_scenario_difference_fraction	0.206241289248933	0.185080193878856	-0.129241857823822	0.623533033203505	NA	-0.0958976844439603	-0.0788119933965233	-0.318785094642743	0.0220802848117511	NA
AUS	l10207_growth_scenario_difference_fraction	0.277015214506894	0.250303999242486	0.0299901978257518	0.665396463251156	NA	0.062435077919956	0.0525907885656298	0.0100127822582165	0.17290869153839	NA
CHN	baseline	749583.800115611	554496.08882915	196996.766967198	2346976.922064	NA	702054.098713126	549519.245847752	202819.655295014	2125100.38669679	NA
CHN	no_new_exposure	749583.800115611	554496.08882915	196996.766967198	2346976.922064	0.0	702054.098713126	549519.245847752	202819.655295014	2125100.38669679	0.0
CHN	equal_lineage_growth	262128.409927682	225534.95103298	50495.0078206297	707655.17022777	-0.602633303558882	336018.368129343	292596.499229576	79410.0771199193	846212.176722417	-0.477702724404488
CHN	l10207_reference_growth	260911.38848145	224291.929833787	50366.502496971	704972.441961033	-0.603993674583728	324004.410790156	283909.802823447	76895.1387830853	804907.160088103	-0.495450273576801
CHN	no_new_exposure_case_difference_fraction	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	NA
CHN	lineage_growth_scenario_difference_fraction	0.606639287196822	0.602633303558882	0.369847263786063	0.846611735674103	NA	0.490284804620364	0.477702724404488	0.283583925476977	0.747896241829614	NA
CHN	l10207_growth_scenario_difference_fraction	0.608251723472175	0.603993674583728	0.373338664542845	0.847496863840037	NA	0.506908653245469	0.495450273576801	0.297809353511916	0.762469584868637	NA
JPN	baseline	356351.466683499	107999.488048436	33538.5844399546	1086963.82283171	NA	223867.490463271	104091.656005185	34003.1475669355	882964.600798864	NA
JPN	no_new_exposure	315277.801032269	94264.6674034529	19407.751755587	1013238.86159373	-0.0801786420162046	177592.744819979	86276.9552884094	15046.7217435537	729598.484623649	-0.134866448420841
JPN	equal_lineage_growth	80604.9798377759	48862.0913995399	9193.53967519964	260991.832532369	-0.575621338791381	95502.1022817432	60789.2837877216	14752.9262652284	328126.092536349	-0.434225861216578
JPN	l10207_reference_growth	75624.2424002745	47293.7368391881	8942.21225830772	244280.284583322	-0.587168175685869	89168.5677568264	58320.4794088346	13583.4021906222	302617.628334849	-0.459616396209787
JPN	no_new_exposure_case_difference_fraction	0.140216953436437	0.0801786420162046	0.0068004196108468	0.605745509220143	NA	0.204807438721612	0.134866448420841	0.0110656889938916	0.723456786414886	NA
JPN	lineage_growth_scenario_difference_fraction	0.579285501734867	0.575621338791381	0.289463344762449	0.88959603113223	NA	0.450664163994856	0.434225861216578	0.206122980748738	0.759053313318924	NA
JPN	l10207_growth_scenario_difference_fraction	0.590929998430545	0.587168175685869	0.307653666550218	0.892995274065341	NA	0.474568067475132	0.459616396209787	0.232056058124106	0.779985986430338	NA
