destination_country	n_high_support_events	n_successful_sampled_clusters	posterior_mean_success_probability	lower_95	upper_95
FRA	30	2	0.09375	0.0204198626877921	0.214216157163402
AUS	7	0	0.111111111111111	0.00315972353125191	0.369416647552819
BEL	14	0	0.0625	0.0016864302413527	0.218019360910534
JPN	24	1	0.0769230769230769	0.00983959001879751	0.203516913922414
