country_iso3	lineage	raw_public_tree_share	mean	median	lower_95	upper_95
AUS	L1_01.02	0.108108108108108	0.121038943255434	0.0828890856477385	0.00706215540233805	0.437959961786159
AUS	L1_02.05	0.45945945945946	0.213518427816691	0.182986009632826	0.0240375465556789	0.571384345413553
AUS	L1_02.06	0.351351351351351	0.194588564732777	0.166503778299147	0.0232793013161497	0.514609506896438
AUS	L1_02.07	0.0810810810810811	0.464214184531167	0.456180176340759	0.0559237973162348	0.915181234644947
AUS	Other	0	0.00663987966393105	0.00187966841525286	2.12921654555345e-05	0.0429105002192908
CHN	L1_01.02	0	0.000713811710949577	0.000234730026647053	3.91297734123523e-06	0.00454044534907336
CHN	L1_02.05	0	0.000199621145047379	6.20979744188823e-05	1.08428904823015e-06	0.00120011141823518
CHN	L1_02.06	0.00833333333333333	0.00178437979806233	0.000815642377877092	2.55799651525992e-05	0.00941989647041478
CHN	L1_02.07	0.991666666666667	0.995906134351563	0.997682235496105	0.981178087772601	0.999873789425122
CHN	Other	0	0.00139605299437799	0.00051894659148429	8.97431042818125e-06	0.00856595792042592
JPN	L1_01.02	0.02	0.00884951825627755	0.00672490776009828	0.00152455901007635	0.0292632269677237
JPN	L1_02.05	0.02	0.0217656678131346	0.0161037956449616	0.0037206044961278	0.0737420499310055
JPN	L1_02.06	0.04	0.00764320557454482	0.00537413902194243	0.00117957924554154	0.0270695742137806
JPN	L1_02.07	0.92	0.960419123987608	0.968194569923288	0.880119006796041	0.991811030606654
JPN	Other	0	0.00132248436843479	0.000364944833406832	4.63258093123926e-06	0.00890352330235337
