country_iso3	sampling_year	epidemic_period	n_sampled_genomes
AUS	1971	prepandemic	1
AUS	1974	prepandemic	1
AUS	1977	prepandemic	2
AUS	1995	prepandemic	1
AUS	1998	prepandemic	1
AUS	2000	prepandemic	2
AUS	2004	prepandemic	2
AUS	2008	prepandemic	3
AUS	2009	prepandemic	2
AUS	2010	prepandemic	2
AUS	2011	prepandemic	3
AUS	2012	prepandemic	3
AUS	2013	prepandemic	2
AUS	2014	prepandemic	3
AUS	2015	prepandemic	4
AUS	2016	prepandemic	9
AUS	2017	prepandemic	2
AUS	2018	prepandemic	8
AUS	2019	prepandemic	9
AUS	2023	resurgence	1
AUS	2024	resurgence	36
BEL	2014	prepandemic	6
BEL	2015	prepandemic	2
BEL	2017	prepandemic	6
BEL	2018	prepandemic	3
BEL	2019	prepandemic	3
BEL	2020	pandemic	14
BEL	2022	pandemic	3
BEL	2023	resurgence	82
CHN	1951	prepandemic	2
CHN	2013	prepandemic	3
CHN	2014	prepandemic	4
CHN	2015	prepandemic	9
CHN	2016	prepandemic	10
CHN	2017	prepandemic	2
CHN	2018	prepandemic	34
CHN	2019	prepandemic	93
CHN	2020	pandemic	2
CHN	2021	pandemic	32
CHN	2022	pandemic	44
CHN	2023	resurgence	54
CHN	2024	resurgence	99
FRA	2000	prepandemic	1
FRA	2007	prepandemic	1
FRA	2008	prepandemic	1
FRA	2009	prepandemic	1
FRA	2014	prepandemic	2
FRA	2023	resurgence	7
FRA	2024	resurgence	46
JPN	1950	prepandemic	1
JPN	1954	prepandemic	2
JPN	1982	prepandemic	1
JPN	1983	prepandemic	2
JPN	1986	prepandemic	1
JPN	1987	prepandemic	1
JPN	1988	prepandemic	1
JPN	1990	prepandemic	2
JPN	1991	prepandemic	1
JPN	1992	prepandemic	1
JPN	1994	prepandemic	3
JPN	1995	prepandemic	1
JPN	1996	prepandemic	2
JPN	1999	prepandemic	4
JPN	2000	prepandemic	2
JPN	2002	prepandemic	1
JPN	2003	prepandemic	2
JPN	2004	prepandemic	2
JPN	2005	prepandemic	1
JPN	2006	prepandemic	2
JPN	2007	prepandemic	2
JPN	2008	prepandemic	2
JPN	2009	prepandemic	1
JPN	2010	prepandemic	1
JPN	2011	prepandemic	2
JPN	2012	prepandemic	3
JPN	2015	prepandemic	1
JPN	2016	prepandemic	1
JPN	2018	prepandemic	3
JPN	2019	prepandemic	1
JPN	2020	pandemic	1
JPN	2024	resurgence	17
JPN	2025	resurgence	43
