tree_sample_id	genome_record_id	country_iso3	country_name	collection_lower	collection_upper	collection_upper_effective	temporal_consistency_status	date_resolution	year	month	project_id	run_accession	biosample_accession	assembly_accession	sequence_acquisition	primary_model_lineage_id	display_lineage	epidemic_period	public_date	public_date_source	ena_first_public_date	assembly_release_date	public_route	subnational_location	location_source	location_resolution	nas_snapshot_record_id	lag_from_collection_lower_days	lag_from_collection_upper_days	lag_min_days	lag_max_days	first_post2022_month_above_2019_max	post2022_peak_month	public_lead_to_2019max_threshold_days	public_lead_to_post2022_peak_days	collection_lead_to_2019max_threshold_days	collection_lead_to_post2022_peak_days	country_label
AUS__SAMN44480251	AUS::SAMN44480251	AUS	Australia	2024-08-01	2024-08-31	2024-08-31	ok	month	2024	8	PRJNA1178746	NA	SAMN44480251	GCA_046736165	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-01-16	ncbi_assembly_release;ncbi_assembly_release	NA	2025-01-16	ncbi_assembly_only	New South Wales	nas_focal_snapshot	subnational	AUS__SAMN44480251	168	138	138	168	2024-03-01	2024-11-01	-321	-76	-153	92	Australia
AUS__SAMN44480252	AUS::SAMN44480252	AUS	Australia	2024-08-01	2024-08-31	2024-08-31	ok	month	2024	8	PRJNA1178746	NA	SAMN44480252	GCA_046895385	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2025-01-22	ncbi_assembly_release;ncbi_assembly_release	NA	2025-01-22	ncbi_assembly_only	New South Wales	nas_focal_snapshot	subnational	AUS__SAMN44480252	174	144	144	174	2024-03-01	2024-11-01	-327	-82	-153	92	Australia
AUS__SAMN45810584	AUS::SAMN45810584	AUS	Australia	2024-08-01	2024-08-31	2024-08-31	ok	month	2024	8	PRJNA1199062	SRR31743898	SAMN45810584	NA	legacy_read_assembly	L1_02.07	MT28-associated genomic lineage	resurgence	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run	2025-01-16	NA	ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810584	168	138	138	168	2024-03-01	2024-11-01	-321	-76	-153	92	Australia
CHN__SAMN39683447	CHN::SAMN39683447	CHN	China	2023-01-01	2023-12-31	2023-12-31	ok	year	2023	NA	PRJNA1071282	SRR27796352	SAMN39683447	RRASM_SRR27796352	local_fasta	L1_02.07	MT28-associated genomic lineage	resurgence	2024-09-29	ena_first_public_biosample_accession;ena_first_public_run	2024-09-29	NA	ena_read_only	Shanghai	ena_country	subnational	CHN__SAMN39683447	637	273	273	637	2023-08-01	2024-05-01	-425	-151	212	486	China
CHN__SAMN42391133	CHN::SAMN42391133	CHN	China	2023-05-17	2023-05-17	2023-05-17	ok	day	2023	5	PRJNA1133929	SRR31303445	SAMN42391133	GCA_047323435	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391133	550	550	550	550	2023-08-01	2024-05-01	-474	-200	76	350	China
CHN__SAMN42391134	CHN::SAMN42391134	CHN	China	2023-06-26	2023-06-26	2023-06-26	ok	day	2023	6	PRJNA1133929	SRR31303444	SAMN42391134	GCA_047323425	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391134	510	510	510	510	2023-08-01	2024-05-01	-474	-200	36	310	China
CHN__SAMN42391135	CHN::SAMN42391135	CHN	China	2023-08-10	2023-08-10	2023-08-10	ok	day	2023	8	PRJNA1133929	SRR31303443	SAMN42391135	GCA_047323415	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391135	465	465	465	465	2023-08-01	2024-05-01	-474	-200	-9	265	China
CHN__SAMN42391136	CHN::SAMN42391136	CHN	China	2023-08-17	2023-08-17	2023-08-17	ok	day	2023	8	PRJNA1133929	SRR31303442	SAMN42391136	GCA_047323405	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391136	458	458	458	458	2023-08-01	2024-05-01	-474	-200	-16	258	China
CHN__SAMN42391137	CHN::SAMN42391137	CHN	China	2023-08-27	2023-08-27	2023-08-27	ok	day	2023	8	PRJNA1133929	SRR31303441	SAMN42391137	GCA_047323395	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391137	448	448	448	448	2023-08-01	2024-05-01	-474	-200	-26	248	China
CHN__SAMN42391138	CHN::SAMN42391138	CHN	China	2023-08-30	2023-08-30	2023-08-30	ok	day	2023	8	PRJNA1133929	SRR31303439	SAMN42391138	GCA_047323385	ncbi_assembly_download	L1_02.07	MT28-associated genomic lineage	resurgence	2024-11-17	ena_first_public_biosample_accession;ena_first_public_run	2024-11-17	2025-01-30	ena_read_first	Zhejiang	ena_country	subnational	CHN__SAMN42391138	445	445	445	445	2023-08-01	2024-05-01	-474	-200	-29	245	China
