country_iso3	n_resurgence_tips	mean_post_import_support	mean_local_persistence_support
AUS	80	0.7996679001541291	0.19673781560773465
BEL	83	0.25723554437032925	0.7328006833570762
CHN	153	0.001487324936686212	0.998828373617346
FRA	59	0.8760571161439243	0.1092496479913528
JPN	68	0.891006356848033	0.1156812638126661
