parameter	mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
lineage_relative_transmission[4]	0.958016358847538	0.169625124247979	0.240674595685584	0.507901237032544	0.936603830935045	1.08715906877451	1.10375201352916	1.1340873423743	2.01316858282151	12.1493507801525
lineage_relative_transmission[5]	1.02641430886385	0.106227101891852	0.15142819031666	0.898763726994661	0.932781328581263	0.949732315178137	1.04833693504739	1.31740570090352	2.03208934266531	7.63381979375104
sigma_project	2.09782594747749	1.11380216516386	1.59603770399252	0.671173483048043	1.0538875530505	1.30651504263476	2.77285579787114	5.15124867303834	2.05338401946845	5.92108409102428
lineage_relative_transmission[1]	1.05316378352567	0.0519508226547955	0.075821406687187	0.981557709493312	1.00374970280874	1.01780054043863	1.08624146804002	1.21839235509013	2.13009423374363	3.86753906315643
log_theta_raw[4]	-0.0857010640098535	0.217034589143763	0.317827816335058	-0.745359839676733	-0.238985897583803	0.0528042639395505	0.125552697996737	0.255647453123198	2.14449926131247	3.69205940955316
project_raw[1,4]	0.25080122972577	1.63555292383536	2.39745199899093	-2.42743983558569	-1.39208663457572	-0.730581314353442	2.10174511395503	4.90459931382817	2.14867453957347	3.62947187835437
lineage_relative_transmission[3]	0.999936089410524	0.0367895109247149	0.0547881964068838	0.946274144200543	0.965632564453275	0.975599747694204	1.00697144048384	1.12806839570345	2.2178183839671	3.06779851492587
lineage_relative_transmission[2]	1.02199081802019	0.0398180992316185	0.0596951931898469	0.960310056308361	0.984265923181736	0.996543074207426	1.02834033220669	1.16103978549809	2.24759302104153	2.89396750458801
project_raw[4,4]	1.10039519277395	1.44950187786769	2.17901739568606	-1.62857371401729	-0.464790500973434	0.316801172115086	2.90845979410955	5.30863197039126	2.25987194170666	2.81518019505046
project_raw[1,5]	1.10882046818894	1.14495327045494	1.74745504375597	-2.32125954573686	-0.21778681994377	1.69999073845494	2.35366534812806	3.45735201954391	2.32935938761114	2.54182494658057
project_raw[2,4]	1.28332185653538	1.39128059444227	2.12477114021061	-1.55466696283684	-0.259119910767013	0.586329389117202	3.09580356321544	5.3412445604221	2.33235612185267	2.5272704422316
project_raw[6,4]	0.992972576863988	1.13202670996202	1.79882199653382	-1.60123961312026	-0.348016244597971	0.510622340662919	2.30583413382294	4.55749255485496	2.52500958516777	2.09851114543162
log_theta_raw[5]	0.0145843359607554	0.0992991903529638	0.162913136399146	-0.227648005496872	-0.103275133693146	-0.0282044398186238	0.113158134152246	0.363303157961995	2.69166368183834	1.91792817685526
project_raw[4,5]	-0.888444635348725	0.819561879646955	1.39630255091541	-3.61475398966398	-2.00740343698579	-0.643046944159137	0.169917899510356	1.34891167218952	2.90265595669215	1.72931602660522
project_raw[2,5]	-0.678779262976072	0.792326558039649	1.42357816094832	-3.39020245975754	-1.8116907870371	-0.471117037825104	0.363840313840458	1.7565294173643	3.22815372103242	1.57511985143123
project_raw[6,5]	-0.534658820217078	0.614840264522467	1.21105582091678	-2.79258461735703	-1.46096561157733	-0.462442426212443	0.357386537826852	1.70724615878548	3.87974981775785	1.40446938752357
project_raw[5,4]	-0.837364536512453	0.540119439174405	1.08877712376745	-2.87663224181442	-1.65365781528014	-0.888901756095909	0.0503139369458164	1.05650973437172	4.06348217146299	1.37719847191194
r_coef[1,9]	0.183077355850876	0.0749269141847518	0.161763962745816	-0.159390610557571	0.0766071127180141	0.197408756416523	0.294547725682012	0.470956741359496	4.66109399538074	1.30086735887742
r_coef[1,8]	-0.048914423419314	0.0774740999395643	0.16750623739168	-0.391437707079881	-0.162074250286452	-0.0403083226234876	0.0676021748931098	0.249993085265006	4.67464771635379	1.29929332639558
