analysis_id	lineage	mean	median	lower_95	upper_95	probability_above_reference
country_AUS_project_adjusted	L1_01.02	1.09564705648255	1.08756676269468	1.0112654861293	1.22203775619086	0.99275
country_AUS_project_adjusted	L1_02.05	1.07742875570742	1.06956877877919	0.997079088133536	1.20053232790469	0.968
country_AUS_project_adjusted	L1_02.06	1.05167338368035	1.04412995929352	0.973244699131574	1.16976712996197	0.85325
country_AUS_project_adjusted	L1_02.07	0.963476143985148	0.986554323572366	0.702687442419678	1.15402968945122	0.471
country_AUS_project_adjusted	Other	0.852073878612138	0.856715436616215	0.651394491238293	1.0163341496489	0.04275
country_AUS_no_project	L1_01.02	1.09906881313825	1.09088651208676	1.01505326680121	1.22645013740327	0.99725
country_AUS_no_project	L1_02.05	1.08442304057323	1.07714127322447	1.00655872845692	1.20470791982302	0.989
country_AUS_no_project	L1_02.06	1.06027695347643	1.05246486882653	0.983632265212071	1.17992079564687	0.9025
country_AUS_no_project	L1_02.07	0.948035339677904	0.960087866063417	0.695576794783977	1.14326290756929	0.40625
country_AUS_no_project	Other	0.85086118578205	0.859269753397593	0.653170390599394	1.011677251544	0.03725
country_CHN_project_adjusted	L1_01.02	0.886693568675733	0.897131352304537	0.667037575717792	1.05761957598164	0.12475
country_CHN_project_adjusted	L1_02.05	0.88924427504838	0.899638844594716	0.675018519137449	1.05787435759939	0.12125
country_CHN_project_adjusted	L1_02.06	1.04097158344002	1.03500578972129	0.957805408146505	1.1576879941122	0.782
country_CHN_project_adjusted	L1_02.07	1.20072760475263	1.19280693584345	1.10818762149921	1.33225934796556	1
country_CHN_project_adjusted	Other	1.0323933100904	1.027099562696	0.947032449380503	1.14823084255154	0.72125
country_CHN_no_project	L1_01.02	0.884297343130299	0.894846281243964	0.676498300404496	1.04646160805298	0.115
country_CHN_no_project	L1_02.05	0.885592434745161	0.896649128023795	0.665480497429065	1.04799387040099	0.1155
country_CHN_no_project	L1_02.06	1.0306918818353	1.02447919786746	0.954159045121297	1.13875817951145	0.7165
country_CHN_no_project	L1_02.07	1.18696413214619	1.17946181456426	1.10099118998522	1.31668457116192	1
