analysis_id	target_lineage	comparator_lineage	probability_target_greater	median_log_ratio	lower_95_log_ratio	upper_95_log_ratio
country_AUS_project_adjusted	L1_02.07	L1_01.02	0.2865	-0.0959051134333525	-0.525073824441711	0.0842552135973816
country_AUS_project_adjusted	L1_02.07	L1_02.05	0.34475	-0.0812845250165586	-0.514057915496614	0.0997341231842917
country_AUS_project_adjusted	L1_02.07	L1_02.06	0.4045	-0.0553358890317382	-0.494607223980714	0.127931623873747
country_AUS_project_adjusted	L1_02.07	Other	0.7325	0.131430155432863	-0.30635074135345	0.51835816455577
country_AUS_no_project	L1_02.07	L1_01.02	0.2265	-0.127428888071385	-0.541607028603678	0.0765601688118444
country_AUS_no_project	L1_02.07	L1_02.05	0.26575	-0.112954532895818	-0.52923029944637	0.087755145229836
country_AUS_no_project	L1_02.07	L1_02.06	0.329	-0.0904941378897013	-0.501424224350956	0.109395462762958
country_AUS_no_project	L1_02.07	Other	0.69725	0.113626327726176	-0.313308921005544	0.514079894041923
country_CHN_project_adjusted	L1_02.07	L1_01.02	1	0.280422032631742	0.0878367046667037	0.662138428598985
country_CHN_project_adjusted	L1_02.07	L1_02.05	1	0.280675501252265	0.0889409326765426	0.637336058292266
country_CHN_project_adjusted	L1_02.07	L1_02.06	1	0.140818892391166	0.0869261923722195	0.210398656351158
country_CHN_project_adjusted	L1_02.07	Other	1	0.147674131102516	0.0977659300518485	0.221944442829374
country_CHN_no_project	L1_02.07	L1_01.02	0.99975	0.270996088459098	0.0883750321593508	0.636002083722192
country_CHN_no_project	L1_02.07	L1_02.05	1	0.272068559702282	0.0888427441935241	0.659500607629921
country_CHN_no_project	L1_02.07	L1_02.06	1	0.13943538384733	0.0948869630619595	0.197280296916414
country_CHN_no_project	L1_02.07	Other	1	0.110983363107317	0.0812850203369448	0.146894769303595
country_JPN_project_adjusted	L1_02.07	L1_01.02	0.9925	0.301135674467975	0.0305206702360733	0.72494552296376
country_JPN_project_adjusted	L1_02.07	L1_02.05	1	0.274408443877454	0.0888597550417146	0.689153941149229
country_JPN_project_adjusted	L1_02.07	L1_02.06	0.99975	0.193847110741721	0.0508984434655944	0.609429677083993
country_JPN_project_adjusted	L1_02.07	Other	0.99975	0.280592497835617	0.100264903888408	0.673568145001774
country_JPN_no_project	L1_02.07	L1_01.02	0.99125	0.28350144228576	0.0279231737886676	0.717653011810175
country_JPN_no_project	L1_02.07	L1_02.05	1	0.259688123601408	0.0828849413823501	0.676522430652876
country_JPN_no_project	L1_02.07	L1_02.06	0.999	0.163334928710066	0.0474811220901253	0.574411001528184
country_JPN_no_project	L1_02.07	Other	0.99975	0.275289997778406	0.0942120781942989	0.675642158101745
omit_country_AUS	L1_02.07	L1_01.02	1	0.317478405033903	0.108539771511393	0.687095060873186
omit_country_AUS	L1_02.07	L1_02.05	1	0.307325604369047	0.117903445991958	0.683300215461015
omit_country_AUS	L1_02.07	L1_02.06	1	0.141552232299495	0.0904866645346488	0.214191511360447
omit_country_AUS	L1_02.07	Other	1	0.158238624070403	0.109812803613241	0.22708063768742
omit_country_CHN	L1_02.07	L1_01.02	0.99375	0.0702982553695287	0.0159855296942149	0.15490051208057
omit_country_CHN	L1_02.07	L1_02.05	0.99875	0.0899619539884518	0.0439473924060321	0.1685140296103
omit_country_CHN	L1_02.07	L1_02.06	0.99925	0.104047674413461	0.0548726858968716	0.19383874881313
omit_country_CHN	L1_02.07	Other	1	0.285843247161519	0.118220604323201	0.626010208147794
omit_country_JPN	L1_02.07	L1_01.02	0.999625	0.0947952737162794	0.0423917647653998	0.155859005097059
omit_country_JPN	L1_02.07	L1_02.05	1	0.113691088638709	0.0629601559236107	0.179571055040777
