parameter	chain	median
lineage_relative_transmission[1]	1	1.00978179177118
lineage_relative_transmission[1]	2	1.17813768660762
lineage_relative_transmission[1]	3	1.01082622081836
lineage_relative_transmission[1]	4	1.01049483874025
lineage_relative_transmission[2]	1	0.990296408410149
lineage_relative_transmission[2]	2	1.12044661097861
lineage_relative_transmission[2]	3	0.990752783941126
lineage_relative_transmission[2]	4	0.990558723829455
lineage_relative_transmission[3]	1	0.970369966807458
lineage_relative_transmission[3]	2	1.08966966903417
lineage_relative_transmission[3]	3	0.970753264811725
lineage_relative_transmission[3]	4	0.971001411911979
lineage_relative_transmission[4]	1	1.09541421877839
lineage_relative_transmission[4]	2	0.544825333250132
lineage_relative_transmission[4]	3	1.09392208494826
lineage_relative_transmission[4]	4	1.09579975058949
lineage_relative_transmission[5]	1	0.941916831994401
lineage_relative_transmission[5]	2	1.28593220515713
lineage_relative_transmission[5]	3	0.941585658317216
lineage_relative_transmission[5]	4	0.942246277897332
log_theta_raw[1]	1	0.0076072042043286
log_theta_raw[1]	2	0.163102998233277
log_theta_raw[1]	3	0.00246176365056162
log_theta_raw[1]	4	0.00661146259662799
log_theta_raw[2]	1	-0.0154611556007813
log_theta_raw[2]	2	0.111818326020201
log_theta_raw[2]	3	-0.0145826501466116
log_theta_raw[2]	4	-0.0133294303791231
log_theta_raw[3]	1	-0.0338390565347438
log_theta_raw[3]	2	0.0863472986669214
log_theta_raw[3]	3	-0.0384329466307526
log_theta_raw[3]	4	-0.0309765985983587
log_theta_raw[4]	1	0.0880953204008184
log_theta_raw[4]	2	-0.609766441766569
log_theta_raw[4]	3	0.0814919799188225
log_theta_raw[4]	4	0.0916458883960367
log_theta_raw[5]	1	-0.0628563455305323
log_theta_raw[5]	2	0.252120252468484
log_theta_raw[5]	3	-0.0703478345793988
log_theta_raw[5]	4	-0.06358945492326
import_scale[1]	1	48.3843004181396
import_scale[1]	2	6.42605945110865
import_scale[1]	3	48.9087454570638
import_scale[1]	4	50.0853439627582
import_scale[2]	1	99.4648230048041
import_scale[2]	2	98.1181088050389
import_scale[2]	3	103.240530824346
import_scale[2]	4	103.690166176166
density_feedback[1]	1	0.191218706720917
density_feedback[1]	2	0.22421400923209
density_feedback[1]	3	0.182245446008704
density_feedback[1]	4	0.190052767506228
density_feedback[2]	1	0.101988712107566
density_feedback[2]	2	0.129725858215828
density_feedback[2]	3	0.107231715580717
density_feedback[2]	4	0.101900760754839
reporting_jump[1]	1	-0.00349502549347133
reporting_jump[1]	2	0.0238666964997792
reporting_jump[1]	3	-0.0144333808720975
reporting_jump[1]	4	-0.0195632959019525
reporting_jump[2]	1	0.151612608894027
reporting_jump[2]	2	0.16548898482039
reporting_jump[2]	3	0.148353022943214
reporting_jump[2]	4	0.15025374652786
sigma_project	1	1.18657277726466
sigma_project	2	4.8141256609198
sigma_project	3	1.19019403074108
sigma_project	4	1.17094365256075
genome_concentration	1	21.3351854913277
genome_concentration	2	3.49078067029617
genome_concentration	3	22.428316274958
genome_concentration	4	21.6840266502262
