parameter	mean	se_mean	sd	2.5%	50%	97.5%	n_eff	Rhat
r_coef[1,1]	-0.0454396287747737	0.00311650302333057	0.228184221112368	-0.487341208266414	-0.0460254509911792	0.410789433773805	5360.88035195118	1.00017149028377
r_coef[1,2]	0.171162259113944	0.00267202646408601	0.163269849863135	-0.138354868345837	0.171731431956587	0.491094781961711	3733.62311410837	0.999391344050605
r_coef[1,3]	0.238891810349069	0.00254802808341982	0.151591774314116	-0.0542417931877507	0.238755302078015	0.535786284423647	3539.50762117362	1.000553129564
r_coef[1,4]	-0.222204847502773	0.00203875387066593	0.1326759518825	-0.484941098021825	-0.224419205836466	0.0508943539842247	4235.01377383757	1.00030252009088
r_coef[1,5]	-0.0636164481856283	0.00153520955082031	0.128276212742247	-0.317094566288962	-0.0633810097368969	0.182528632320239	6981.63164321813	0.999953016051983
r_coef[1,6]	0.0536725086776738	0.00158875133564428	0.129706600141434	-0.203803306210551	0.0530878045467326	0.307939103002538	6665.18631952418	1.0004560282798
r_coef[1,7]	0.0476769860021879	0.00150420392551053	0.134928430818803	-0.216769098231252	0.049550282621685	0.300844072123055	8046.24966190385	0.999766948960588
r_coef[1,8]	0.0350871808581337	0.00175660168450982	0.132929267604612	-0.224863085589982	0.034978507276667	0.295378186627937	5726.5707954688	0.999725776005373
r_coef[1,9]	0.271334029693143	0.00159755694688255	0.126777631235201	0.0191141245958292	0.271706709536283	0.520132763342978	6297.56371056378	0.999275659674157
r_coef[1,10]	0.48575052877607	0.00203425110433409	0.130032513274771	0.23280849747871	0.487047487124179	0.733620078427359	4085.96641440483	0.999575650767909
r_coef[1,11]	0.487342843569157	0.00539364444714222	0.229621707925701	0.064955403581408	0.48036911262707	0.956939404266369	1812.43006474523	1.0011477112988
r_coef[1,12]	0.0444265353762267	0.0042621301704976	0.206357167602838	-0.345571463819222	0.0403548833580614	0.468152261105758	2344.15161526158	1.00020622645999
r_coef[1,13]	0.137940995002882	0.00293239951819117	0.170328725836057	-0.201482380029801	0.138959898433131	0.464702391948017	3373.87910276194	0.999539521069408
r_coef[1,14]	-0.066696354733306	0.00320018965600642	0.187084516242467	-0.427820576877518	-0.0672019799413412	0.308018342141907	3417.62380745099	1.00018245410993
r_coef[2,1]	0.415503115580646	0.00296134991387963	0.248090936387289	-0.0702814140647737	0.415457139657483	0.910227733602684	7018.46830573639	0.999342294231738
r_coef[2,2]	0.3632615820706	0.00266287551475755	0.183389912868627	0.00461902315800127	0.360687937965924	0.728600863337846	4742.95669810175	0.999232384504474
r_coef[2,3]	0.0483360544592528	0.0027493847553823	0.174233192636413	-0.294459163548642	0.0485659534817765	0.39312137374163	4015.97267130808	0.999936270958218
r_coef[2,4]	-0.164863447565864	0.00195284191301117	0.14942383471786	-0.456121702240839	-0.169854677240819	0.132341304699645	5854.71258888593	0.999400059805898
r_coef[2,5]	0.109291587835481	0.00148739859783018	0.142531322495281	-0.171056903502811	0.109991216489749	0.389745852778599	9182.60481156557	0.999673451430463
r_coef[2,6]	0.319652367594157	0.00165556662895773	0.141221230323202	0.0418574365825742	0.318056220474299	0.596746898604272	7276.2339433041	0.999538924853866
r_coef[2,7]	0.273478053058049	0.00270531381010579	0.157941959197469	-0.0429026049085911	0.273014984253215	0.592096611385706	3408.47209531335	0.999703098280007
r_coef[2,8]	-0.0621038711454367	0.0024194276912091	0.165958752523099	-0.386154960603546	-0.0633254107763095	0.262634257470546	4705.16685853896	0.999376964395513
r_coef[2,9]	0.220715718303867	0.00207408637465249	0.147740032203155	-0.0700550117478125	0.223302567458658	0.508324313821072	5073.90932481255	0.999158950141203
r_coef[2,10]	0.664259695643022	0.00450077742581462	0.207991418790723	0.267912222926726	0.660242284629185	1.08463717302189	2135.5795904952	1.00032174884408
r_coef[2,11]	0.159495547827608	0.00502948786173337	0.235427381995675	-0.276796332921427	0.157753266601394	0.642042521336411	2191.12128495943	0.99995734810564
r_coef[2,12]	-0.104256019706795	0.00301063889380932	0.179233532080551	-0.45088082636233	-0.104712315326226	0.247437604203793	3544.22423485131	0.999806762886724
r_coef[2,13]	-0.128610003213207	0.00243360366073316	0.179951550136703	-0.475006767865694	-0.129387901457272	0.231923619321653	5467.78569208191	0.999538064914422
r_coef[2,14]	0.0487846179130913	0.00255185279617083	0.197253578708694	-0.333230812938238	0.0463174969347023	0.441301231846037	5975.00874864634	0.999161364723689
r_coef[3,1]	0.152407995438893	0.00375346978101546	0.274183777692349	-0.36570209575398	0.150532143820332	0.691881764782301	5336.02264758305	0.999414329970409
r_coef[3,2]	0.182354829287864	0.00283960068478745	0.202388956738773	-0.208842312888	0.185365843124313	0.573952617960612	5079.94580412431	0.999313084122519
r_coef[3,3]	0.074675624336608	0.00262233996242576	0.185175576928692	-0.284176057055684	0.0725098088204735	0.444419547185275	4986.42654887167	0.999691487986005
r_coef[3,4]	-0.128046686041769	0.0021762198811861	0.173033826783651	-0.467556852091727	-0.127775457872659	0.208514711327476	6322.02892081219	1.00118283615166
r_coef[3,5]	-0.0160914680589032	0.00203040709163061	0.165854408750772	-0.35698323490714	-0.014276671901309	0.312064024880116	6672.48794230702	1.00013539784785
r_coef[3,6]	0.0956109893781915	0.00186866486637077	0.166977949327727	-0.237970776630903	0.096366627078332	0.424847327572481	7984.64120621292	0.999202779570455
r_coef[3,7]	0.00554676320378039	0.00195312229365248	0.172251462630726	-0.325830822694579	0.00526897814458054	0.343698864671849	7777.98250781258	0.999657548287183
r_coef[3,8]	0.0865786927449674	0.00198213895962539	0.174794981510845	-0.235472900306233	0.0830090668081146	0.437849945480931	7776.59932854168	0.999445543123187
r_coef[3,9]	0.103636787963787	0.00195940445492579	0.164385912710567	-0.210513542540257	0.102671119088778	0.419230242263886	7038.51454387768	0.99945446219252
r_coef[3,10]	0.139184731094549	0.00189921937937484	0.165898159919974	-0.177445332119943	0.139019671626255	0.470313487022261	7630.14641661835	0.99940387988753
r_coef[3,11]	0.317854422117159	0.00209109772545686	0.167687977828588	-0.00220924860893531	0.314172800039452	0.649897109537415	6430.65478094429	0.999382680082766
r_coef[3,12]	0.507710072025327	0.00377558600995497	0.214867586524455	0.0948548368547485	0.502182219100818	0.942996374189364	3238.71755274964	1.00015449157721
r_coef[3,13]	0.217743109835719	0.00523867656040514	0.275608598332581	-0.294755245288226	0.207781619370282	0.79780579359663	2767.84874540766	1.00024393002854
r_coef[3,14]	-0.0753170315618953	0.00493751132587815	0.283945934735518	-0.603918726206636	-0.0854598333971061	0.507889568336583	3307.15919503742	1.00005261632546
log_theta_raw[1]	-0.005166794450335	0.00267079558921496	0.0914201453366639	-0.181205126749892	-0.00446425049234966	0.174823327331608	1171.66245656467	1.00165381519708
log_theta_raw[2]	-0.0153447422797701	0.00267438474098417	0.0913138784743357	-0.193889201260589	-0.0148542472113717	0.164460845913965	1165.80471519651	1.00154714905824
log_theta_raw[3]	-0.0353844221346452	0.00266275530350443	0.0911084492397083	-0.213808489104212	-0.0348938592833927	0.146579078256375	1170.72473015623	1.00148929233037
log_theta_raw[4]	0.0830491809343666	0.00272870821721921	0.0921701946934941	-0.094706742368793	0.0836673335525336	0.266196388569853	1140.95052433893	1.00130415869534
log_theta_raw[5]	-0.0311336156284424	0.0026555123380419	0.0911025072816681	-0.209584827500089	-0.0321021460134809	0.149597303044327	1176.96625699365	1.00135679031083
import_scale[1]	126.156118604055	1.74037640435678	115.15790162917	5.97554015855989	92.2379276658876	428.517824402876	4378.25560394886	0.999749031615486
import_scale[2]	326.142520184624	21.7000182454721	1016.35479228233	5.47507078524016	98.8274637433132	1999.48723573656	2193.66588106044	0.999809415517585
import_scale[3]	17.0065235264357	0.199126343242771	13.1924078257596	1.96338437676894	13.6421308784125	52.9666237719438	4389.25386368356	1.00015447429518
density_feedback[1]	0.185719290559966	0.0025985704554691	0.0960250427763807	0.0166309530851038	0.182155588406135	0.387271375206383	1365.52616390662	1.0016602482451
