country_iso3	scenario	mean	median	lower_95	upper_95	change_fraction_median
AUS	baseline	147823.923545298	101340.675730056	45784.2428155004	469389.747255869	
AUS	no_import	116524.420207326	85186.555790894	28208.6997543796	355918.839930121	-0.15515021779544
AUS	equal_lineage_transmission	204249.294904498	113844.803856545	57497.6016239243	784110.115247214	0.130751910339936
AUS	no_new_introduction_case_reduction_fraction	0.185563988857768	0.15515021779544	0.0559031284463999	0.490176499894529	
AUS	lineage_difference_effect_fraction	-0.205300619393606	-0.130751910339936	-0.923639842289294	-0.0047196081490123	
CHN	baseline	2485240.43721335	679794.983400601	235229.319024099	8634139.1913869	
CHN	no_import	2468698.9460937	678719.124258388	234994.961638675	8584605.04496419	-0.0023622014763473
CHN	equal_lineage_transmission	804427.652187739	388417.226112614	95467.5304898046	3004491.7818103	-0.447266083124361
CHN	no_new_introduction_case_reduction_fraction	0.00292535768587906	0.0023622014763473	0.000643102124937958	0.00826817439834251	
CHN	lineage_difference_effect_fraction	0.465686477884984	0.447266083124361	0.250326655476714	0.764390478265211	
JPN	baseline	8132465.90909171	140718.761651252	42512.4666509092	5417436.49086853	
JPN	no_import	1656216.27178277	96209.7265534659	15192.0351112165	2154023.79368717	-0.318659120412632
JPN	equal_lineage_transmission	7943876.35726401	98785.0235931849	27153.9460741039	2813844.57897031	-0.301508746400865
JPN	no_new_introduction_case_reduction_fraction	0.36749988529584	0.318659120412632	0.108913592772161	0.812386226946187	
JPN	lineage_difference_effect_fraction	0.320629349408522	0.301508746400865	0.0539497964065141	0.67735277686883	
