numerator	denominator	mean	median	lower_95	upper_95	posterior_probability_above_one
L1_02.07	L1_01.02	1.092451811203	1.0916209207692	1.05129535115413	1.13854228414172	1
L1_02.07	L1_02.05	1.10356526981103	1.10257729651604	1.06917927944591	1.14483914025391	1
L1_02.07	L1_02.06	1.1259184764683	1.12461210267204	1.0896277856778	1.16920934005091	1
L1_02.07	Other	1.12107609209946	1.12018743888962	1.09150569786146	1.15593248087522	1
