country_iso3	lineage	raw_public_tree_share	mean	median	lower_95	upper_95
AUS	L1_01.02	0.108108108108108	0.126221861091207	0.115954745663563	0.0335275454381287	0.274892709516574
AUS	L1_02.05	0.45945945945946	0.400961349788266	0.398079743001982	0.213735234670921	0.594190669275134
AUS	L1_02.06	0.351351351351351	0.321967010168377	0.317687922120219	0.168059296667734	0.499562097131503
AUS	L1_02.07	0.0810810810810811	0.121656209962721	0.109597446774075	0.0254577861500701	0.27655433491166
AUS	Other	0	0.0291935689894287	0.0237272479124543	0.00482692332040641	0.0871673257345315
CHN	L1_01.02	0	0.00240613687297741	0.00144209486898783	8.68995788867215e-05	0.010906385310555
CHN	L1_02.05	0	0.00103572222312767	0.000669935619175011	4.33235679696899e-05	0.00416711370317694
CHN	L1_02.06	0.00833333333333333	0.00797865346904841	0.00680217280359	0.0015251814516192	0.0220449834545791
CHN	L1_02.07	0.991666666666667	0.957101005366308	0.959038908733196	0.919799832555469	0.981724977252508
CHN	Other	0	0.0314784820685387	0.0297835831850242	0.0118939666380111	0.0620136297427008
JPN	L1_01.02	0.02	0.0141455823917507	0.0119591945385359	0.0028433417235315	0.0368425317796998
JPN	L1_02.05	0.02	0.0426478825398633	0.0380516840855738	0.015805904715154	0.095112426011863
JPN	L1_02.06	0.04	0.0128882929527267	0.0112378867735881	0.00382584844983826	0.0321155751676508
JPN	L1_02.07	0.92	0.918295846275463	0.923479621784052	0.84229647944485	0.967026866639654
JPN	Other	0	0.0120223958401963	0.00898487422496973	0.00138231999204691	0.0382668942067292
