country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	baseline_lower_95	baseline_upper_95	no_new_exposure_median	no_new_exposure_lower_95	no_new_exposure_upper_95	equal_lineage_median	equal_lineage_lower_95	equal_lineage_upper_95	l10207_reference_median	l10207_reference_lower_95	l10207_reference_upper_95
AUS	2019-01-01	1315	1315.000001	1315.000001	1315.000001	1315	1315	1315	1315	1315	1315	1315	1315	1315	1315	1315	1315
AUS	2019-02-01	835	1122.41684894095	844.68691723566	1527.33790881357	835	835	835	835	835	835	835	835	835	835	835	835
AUS	2019-03-01	935	792.638632002604	642.972751512298	997.940738566282	935	935	935	935	935	935	935	935	935	935	935	935
AUS	2019-04-01	793	916.050963564033	764.574528148053	1117.80439848048	793	793	793	793	793	793	793	793	793	793	793	793
AUS	2019-05-01	985	809.888963936635	682.282803347488	969.969908110729	985	985	985	985	985	985	985	985	985	985	985	985
AUS	2019-06-01	841	1000.88828690472	852.668763141581	1179.48350706989	841	841	841	841	841	841	841	841	841	841	841	841
AUS	2019-07-01	959	866.940006894292	744.48890961399	1011.44822143408	959	959	959	959	959	959	959	959	959	959	959	959
AUS	2019-08-01	1057	965.423704376013	832.165172009861	1114.32553864783	1057	1057	1057	1057	1057	1057	1057	1057	1057	1057	1057	1057
AUS	2019-09-01	1034	1030.41385780841	888.481719997863	1186.07976065207	1034	1034	1034	1034	1034	1034	1034	1034	1034	1034	1034	1034
AUS	2019-10-01	1020	977.728389906007	844.431931682548	1123.4196391863	1020	1020	1020	1020	1020	1020	1020	1020	1020	1020	1020	1020
AUS	2019-11-01	1177	930.413686243091	805.595501769905	1065.18549043217	1177	1177	1177	1177	1177	1177	1177	1177	1177	1177	1177	1177
AUS	2019-12-01	1074	1015.48393105742	878.325963148424	1167.32876354808	1074	1074	1074	1074	1074	1074	1074	1074	1074	1074	1074	1074
AUS	2020-01-01	871	897.559758830359	779.320650142256	1033.74226685234	871	871	871	871	871	871	871	871	871	871	871	871
AUS	2020-02-01	762	713.943354597667	619.712320946741	824.703613026998	762	762	762	762	762	762	762	762	762	762	762	762
AUS	2020-03-01	682	610.684122741033	528.062645210366	709.592481812069	682	682	682	682	682	682	682	682	682	682	682	682
AUS	2020-04-01	371	537.256246995191	461.923748167794	627.692644018293	371	371	371	371	371	371	371	371	371	371	371	371
AUS	2020-05-01	213	298.775743373297	256.915815257644	349.858415110835	213	213	213	213	213	213	213	213	213	213	213	213
AUS	2020-06-01	194	174.466543574147	150.313808670286	204.62687629581	194	194	194	194	194	194	194	194	194	194	194	194
AUS	2020-07-01	127	159.613504327811	137.739194294942	186.122473207394	127	127	127	127	127	127	127	127	127	127	127	127
AUS	2020-08-01	70	106.618579014527	92.0729769966687	124.547203008361	70	70	70	70	70	70	70	70	70	70	70	70
AUS	2020-09-01	51	60.3584535994974	52.0106179059718	70.6529992000337	51	51	51	51	51	51	51	51	51	51	51	51
AUS	2020-10-01	24	45.0155212808319	38.5376769625206	52.8520505256777	24	24	24	24	24	24	24	24	24	24	24	24
AUS	2020-11-01	44	21.9077322859909	18.6757672389578	25.7898954035152	44	44	44	44	44	44	44	44	44	44	44	44
AUS	2020-12-01	48	40.4300642287571	34.3486499373014	47.5959070722088	48	48	48	48	48	48	48	48	48	48	48	48
AUS	2021-01-01	40	44.8520877793685	38.2396997492577	52.5896110092221	40	40	40	40	40	40	40	40	40	40	40	40
AUS	2021-02-01	54	38.1285798599694	32.7326247393412	44.4463135168353	54	54	54	54	54	54	54	54	54	54	54	54
AUS	2021-03-01	53	51.9571258131583	44.6953765463435	60.4203663364284	53	53	53	53	53	53	53	53	53	53	53	53
AUS	2021-04-01	48	51.719110675091	44.5311748102792	60.3077525052849	48	48	48	48	48	48	48	48	48	48	48	48
AUS	2021-05-01	52	47.5443131248728	40.7001789163653	55.6765122909214	52	52	52	52	52	52	52	52	52	52	52	52
AUS	2021-06-01	57	51.940337581757	44.3064899773812	61.2378580491323	57	57	57	57	57	57	57	57	57	57	57	57
AUS	2021-07-01	38	57.3278950190681	48.7448433991086	67.8112975093911	38	38	38	38	38	38	38	38	38	38	38	38
AUS	2021-08-01	51	38.8208382122375	33.0711757004689	45.7443438468681	51	51	51	51	51	51	51	51	51	51	51	51
AUS	2021-09-01	38	52.0852255480703	44.6714508257823	61.0090343821888	38	38	38	38	38	38	38	38	38	38	38	38
AUS	2021-10-01	41	39.1264856911903	33.6299436019028	45.7630928209848	41	41	41	41	41	41	41	41	41	41	41	41
AUS	2021-11-01	48	42.2241478543383	36.3743243113452	49.2783034470011	48	48	48	48	48	48	48	48	48	48	48	48
AUS	2021-12-01	30	49.3342358580987	42.2928783021565	57.6800206161787	30	30	30	30	30	30	30	30	30	30	30	30
AUS	2022-01-01	41	31.139659039496	26.5704752837738	36.5382701811837	41	41	41	41	41	41	41	41	41	41	41	41
AUS	2022-02-01	43	42.2493516681679	35.9514451560778	49.8683863177728	43	43	43	43	43	43	43	43	43	43	43	43
AUS	2022-03-01	47	44.2105530844611	37.4026327592612	52.187511694281	47	47	47	47	47	47	47	47	47	47	47	47
AUS	2022-04-01	22	48.2147129936618	40.7350768879645	56.8281458234057	22	22	22	22	22	22	22	22	22	22	22	22
AUS	2022-05-01	39	22.9287398605514	19.4771853751184	26.9649197328705	39	39	39	39	39	39	39	39	39	39	39	39
AUS	2022-06-01	35	40.1233432992058	34.2913780733639	47.1844011575202	35	35	35	35	35	35	35	35	35	35	35	35
AUS	2022-07-01	42	36.2445805201984	30.9236791150851	42.5753220515503	42	42	42	42	42	42	42	42	42	42	42	42
AUS	2022-08-01	64	43.5724738317614	37.120632516687	51.1737990114769	64	64	64	64	64	64	64	64	64	64	64	64
AUS	2022-09-01	38	66.3391541427813	56.5620608456348	78.2553985015731	38	38	38	38	38	38	38	38	38	38	38	38
AUS	2022-10-01	40	40.2677244361572	34.3269352224856	47.5415501587009	40	40	40	40	40	40	40	40	40	40	40	40
AUS	2022-11-01	35	43.0804722174249	36.6825805437799	50.6502919980641	35	35	35	35	35	35	35	35	35	35	35	35
AUS	2022-12-01	36	38.5300164147652	32.9776629346429	45.2722734862853	36	36	36	36	36	36	36	36	36	36	36	36
AUS	2023-01-01	46	40.5210739029221	34.9637816828536	47.4348561881541	40.5210739029221	34.9637816828536	47.4348561881541	40.5210739029221	34.9637816828536	47.4348561881541	41.2751290725132	35.6035155827936	48.3905151042441	40.4709034149871	34.9133395562856	47.3829669785477
AUS	2023-02-01	34	52.9168248158014	45.6937916923842	61.5814394626118	46.721182083932	35.0347404631264	63.0273629560077	46.721182083932	35.0347404631264	63.0273629560077	48.4747703085156	36.2752994927104	65.7717919000717	46.5979902946033	35.0227234812047	62.7979920189467
AUS	2023-03-01	44	40.4949311715719	34.9048784364974	47.1004066105954	55.2845821800315	36.0697583826586	86.0138615285643	55.2845821800315	36.0697583826586	86.0138615285643	58.3595230686016	37.9651035570761	90.7643684668959	55.0472250554417	35.8836435099065	85.508398546665
AUS	2023-04-01	43	53.7178546416684	46.1699605940986	62.7540110067735	67.3463037929837	38.3439918561935	119.280230487341	67.3463037929837	38.3439918561935	119.280230487341	72.2224108228755	41.2729941993442	127.57542811215	66.8500005183248	38.1258870444165	118.476912253713
AUS	2023-05-01	77	54.1104452561892	46.2575333080698	63.2803458134089	83.9203902543537	42.0518637184042	169.963474142834	83.9203902543537	42.0518637184042	169.963474142834	91.6430012605772	45.9568323026169	185.086951630073	83.23409619564	41.9107039151344	168.321019562096
AUS	2023-06-01	92	98.8539513238706	84.4081466531223	115.225501349657	107.497197301874	47.3795476114692	247.109011731096	107.497197301874	47.3795476114692	247.109011731096	119.168571622345	52.462299066056	272.85283701786	106.401266583643	47.2538603357528	244.253805341884
AUS	2023-07-01	95	121.303071484088	104.21947594695	141.092677965031	141.333187525452	55.0845787269326	364.948279919077	141.333187525452	55.0845787269326	364.948279919077	159.10577769877	61.8131589591284	407.357796338907	139.147016396925	54.5584209531768	360.781598632043
AUS	2023-08-01	156	128.86725038187	110.867112494232	148.975817561279	190.102499812936	66.1855575888019	536.980085570271	190.102499812936	66.1855575888019	536.980085570271	216.398596632357	75.5650688239802	605.858980534638	186.788250001671	65.2373884017994	528.780918680923
AUS	2023-09-01	270	214.76856993171	186.064893960016	247.273371460839	259.263100462291	82.4889702303086	771.158047243255	259.263100462291	82.4889702303086	771.158047243255	299.505650911051	95.7734198688085	900.791164409262	254.472031639611	81.0788874250571	760.430064766436
AUS	2023-10-01	367	374.251755039475	324.672912510726	430.7360938361	360.030644353497	106.355951932887	1101.37669125984	360.030644353497	106.355951932887	1101.37669125984	417.713180428118	124.919010285963	1284.04216872721	352.578843577057	104.312170788231	1080.95670364548
AUS	2023-11-01	633	513.359333657137	444.39561724986	591.328347693245	503.451611858447	145.23241600631	1575.28050537535	503.451611858447	145.23241600631	1575.28050537535	590.233472580055	169.329999602881	1836.20772126555	491.695522557223	141.0558067202	1552.32935045518
AUS	2023-12-01	585	874.200282733378	753.120492658397	1008.27242500465	709.904056885319	193.632181546376	2239.396824685	709.904056885319	193.632181546376	2239.396824685	830.416240933465	229.267437976129	2589.8148747504	691.567366874022	187.5997138179	2184.14037234064
AUS	2024-01-01	827	933.373852552457	780.853332410105	1248.06677804709	1123.47631344907	379.026402072563	3201.12906752623	996.85618485009	264.083113278549	3072.84362038303	1289.22237348293	432.244918235842	3731.69307149302	1092.67453206664	368.488930280172	3129.1410934783
AUS	2024-02-01	846	1257.69438075532	1074.70330535233	1551.01714603639	1635.04138925148	562.948246398085	4490.25376238816	1371.19272546535	353.447746250819	4266.27787216355	1857.95533623627	655.323506527416	5144.88957999093	1590.61774716339	540.375190880835	4404.20689029812
AUS	2024-03-01	1375	1189.97026290012	1020.36573030041	1380.32722567725	2130.00934278638	752.52145637128	6014.66690032726	1833.90383936289	477.823561921389	5613.12898850081	2428.84669156949	882.056202513538	7004.32821276354	2073.56678413462	722.885375804206	5837.1229540034
AUS	2024-04-01	2038	1854.37915218986	1602.42051080876	2133.78073850202	2713.59024785957	988.995255917349	7608.39136319529	2371.8720443716	623.421067967604	7270.03879420434	3072.83173473076	1162.95950668952	8991.71723638133	2631.78930804612	951.441842027406	7355.64511132618
AUS	2024-05-01	2578	2745.07963399079	2412.10420582744	3152.27370066432	3478.24905143089	1353.24151897031	9667.81502703602	3007.17464979147	808.084737875432	9064.36254607954	3920.46005139582	1570.12740251693	11321.1450802419	3387.71281990088	1312.57438047646	9281.45699139114
AUS	2024-06-01	4465	3208.01770632105	2784.44069944026	3666.80384385938	4122.40756738246	1676.70082852435	11461.6089817957	3666.94197227622	1033.63608248314	10860.1717561767	4612.96235810153	1939.54384720889	13416.6557565401	3990.14673154923	1605.29374934158	10899.9516165286
AUS	2024-07-01	5233	5188.82473453953	4528.22013158807	5972.48780407535	4841.71803801282	2050.17007152178	13106.01053134	4271.17032354231	1290.06800729849	12455.4177157299	5379.9068126924	2362.05272711805	15515.8820009787	4674.28500158169	1949.93546564063	12525.3077770665
AUS	2024-08-01	6661	5821.0194583401	5062.97399047204	6733.03843213777	5424.03846182863	2389.1153674704	14525.7891026511	4831.71069875202	1511.11702782864	13667.2893655963	6001.55504993981	2775.48841463365	17196.0026247419	5239.68005784961	2298.26446555312	13882.2615930247
AUS	2024-09-01	8312	6967.17144819946	6002.35887792939	8159.9565024643	5886.05359017561	2688.32304411496	15704.2016280545	5188.96957181605	1682.99939541279	14570.3656626214	6424.97955434423	3053.84942774087	18677.2581049597	5679.26906418374	2548.44610534532	15088.1612830919
AUS	2024-10-01	7940	7934.16870616042	6721.3359538516	9394.60768646381	5955.51267121107	2727.83097577433	16465.6235646003	5319.99548182817	1790.28325670186	15239.9757637866	6453.72579684814	3112.91339128865	19731.0532867254	5698.45577298761	2561.79480618769	15452.9118479798
AUS	2024-11-01	9308	7360.43719080245	6296.49863924763	8661.37571003306	5757.36011411029	2645.30134726884	16345.4804803421	5255.93529344436	1804.98521404164	15007.8464829271	6217.74283693451	3012.27048071296	19947.6901923981	5488.18928744285	2475.2480866502	15561.4584695629
AUS	2024-12-01	6843	8081.51352430916	6813.12243348858	9664.65577077002	5407.92193829471	2555.05920565413	15938.8801072241	5010.23892917531	1789.5184478736	14616.6315289644	5781.29042688611	2839.19208118394	19349.7883505701	5126.80386306541	2353.24853506134	14948.359769281
AUS	2025-01-01	5010	5998.36166802426	5163.86598373553	7036.23001983944	4931.86479762407	2315.42038776242	14757.3184411973	4612.09294526689	1677.42602260885	13645.7102872231	5251.95204604584	2544.58113518401	17661.8570039589	4631.38170022537	2105.58532354679	13730.2643119994
AUS	2025-02-01	2881	4442.27547716072	3854.49986869596	5184.29640125244	4393.96727662563	2077.22133156789	13507.8238505632	4155.2119320908	1571.21990259307	12407.8890592239	4642.03113674274	2230.27218371111	15890.9146921431	4107.31570290544	1850.22989734937	12042.9469780882
AUS	2025-03-01	2362	2676.55608527964	2291.8286070627	3140.12308802339	3843.26498462205	1783.5688511562	11955.0516905946	3648.60959488768	1377.14804478737	11078.6226505243	4021.8611474428	1933.03293472959	13616.6736020457	3561.23851550476	1599.81060423404	10596.5991557381
AUS	2025-04-01	1929	2193.53752528179	1875.72958889376	2592.87161869185	3347.9653006052	1542.55069296758	10370.92799303	3169.34419164031	1224.62331124954	9895.81161162473	3477.51323154313	1625.93723438639	12109.6949945711	3080.65978961211	1343.32027444564	9252.41874561892
AUS	2025-05-01	2008	1805.71305134167	1547.56465575124	2133.59860631051	2911.91020190557	1320.11194532163	9237.67259839117	2790.38002034845	1070.33330351967	8871.41350377506	3000.89216478941	1382.76951763382	10480.8623007578	2655.97270575913	1125.32402673925	8118.18751361062
AUS	2025-06-01	1756	1851.8462713707	1597.14272530147	2171.51549209265	2549.15467802073	1112.81031611457	8203.99745333224	2460.30033631818	940.453734193582	7924.63098557697	2611.52233268716	1166.53673287507	9303.2134767262	2304.16907498538	957.911660969556	7249.39950869915
AUS	2025-07-01	1572	1633.17996476749	1394.63192852769	1920.10563980422	2271.14863613625	969.452457629799	7310.61858716395	2193.14603588964	840.308277134191	7031.85744756532	2306.53169953003	1011.20812587488	8241.68936089878	2027.89769428002	807.368259539931	6250.80998273684
AUS	2025-08-01	1704	1469.50935035508	1244.60524290334	1736.55081467688	2020.94589203576	848.170766793686	6616.99368455225	1963.40591348351	731.747426198487	6283.24953877506	2044.90829624122	864.599450163924	7317.47238047076	1790.94262128067	703.38830858834	5712.16692649881
AUS	2025-09-01	1748	1552.91781109173	1300.15030038416	1840.57651028156	1820.0638744172	729.201104584679	5940.78168770722	1762.26716614984	640.042389915144	5741.17806747201	1805.16883715973	734.63262783452	6532.2407805521	1578.47234165798	579.993679627447	5054.69716957225
AUS	2025-10-01	1587	1539.94472657879	1278.20995832028	1863.3403092367	1599.13131682667	630.923897445117	5225.39629832581	1555.35789090621	552.820919140344	4913.28121501552	1569.98537777579	613.707672209856	5778.20764460264	1371.0345400802	494.682080213814	4457.65908210384
AUS	2025-11-01	1496	1350.76726056276	1083.33307514177	1719.52111312147	1360.11825203411	532.46781313976	4685.90276111338	1318.1718754708	461.354289283675	4384.76037666701	1318.59415645448	507.223716467364	5013.03326756677	1155.20946305326	412.167313260107	3781.79719664062
AUS	2025-12-01	919	1197.98912902757	868.36793097518	1689.45200459371	1116.93206482467	396.836310199395	4016.49577551827	1083.07321216705	353.173575456428	3841.71002289454	1063.80086484962	378.589294007954	4221.82880221468	921.939875985363	305.688391418341	3149.4198705428
CHN	2019-01-01	1260	1260.000001	1260.000001	1260.000001	1260	1260	1260	1260	1260	1260	1260	1260	1260	1260	1260	1260
CHN	2019-02-01	1444	1656.44409754467	1186.33198501802	2335.19732758446	1444	1444	1444	1444	1444	1444	1444	1444	1444	1444	1444	1444
CHN	2019-03-01	2735	1814.33319220953	1399.54007427622	2374.09682083721	2735	2735	2735	2735	2735	2735	2735	2735	2735	2735	2735	2735
CHN	2019-04-01	2689	3150.64801143201	2512.23418480064	4001.25514690594	2689	2689	2689	2689	2689	2689	2689	2689	2689	2689	2689	2689
CHN	2019-05-01	3129	2959.66584126144	2395.23239836943	3695.87436465586	3129	3129	3129	3129	3129	3129	3129	3129	3129	3129	3129	3129
CHN	2019-06-01	3128	3242.84034981035	2651.18220729539	4004.12229977486	3128	3128	3128	3128	3128	3128	3128	3128	3128	3128	3128	3128
CHN	2019-07-01	3635	3081.38715354469	2552.94573735114	3779.20942125154	3635	3635	3635	3635	3635	3635	3635	3635	3635	3635	3635	3635
CHN	2019-08-01	4388	3369.71651240931	2782.47569277995	4097.38581255207	4388	4388	4388	4388	4388	4388	4388	4388	4388	4388	4388	4388
CHN	2019-09-01	3319	3824.64539470435	3155.87310700781	4674.56071501059	3319	3319	3319	3319	3319	3319	3319	3319	3319	3319	3319	3319
CHN	2019-10-01	1933	2848.6140929518	2372.17088973873	3456.88778440359	1933	1933	1933	1933	1933	1933	1933	1933	1933	1933	1933	1933
CHN	2019-11-01	1653	1669.6003788472	1397.39940493964	2011.59988403598	1653	1653	1653	1653	1653	1653	1653	1653	1653	1653	1653	1653
CHN	2019-12-01	1414	1402.10449216169	1179.41714748734	1677.39744613424	1414	1414	1414	1414	1414	1414	1414	1414	1414	1414	1414	1414
CHN	2020-01-01	1141	1184.5556211535	1001.59258904717	1418.40869381484	1141	1141	1141	1141	1141	1141	1141	1141	1141	1141	1141	1141
CHN	2020-02-01	738	953.740267580362	804.471940591624	1148.47738156726	738	738	738	738	738	738	738	738	738	738	738	738
CHN	2020-03-01	874	626.377158581925	522.781995484535	758.851326728931	874	874	874	874	874	874	874	874	874	874	874	874
CHN	2020-04-01	479	736.788410975664	614.058806763752	893.243975205887	479	479	479	479	479	479	479	479	479	479	479	479
CHN	2020-05-01	277	418.435654797975	349.811233783773	507.32258211658	277	277	277	277	277	277	277	277	277	277	277	277
CHN	2020-06-01	159	249.5551787739	209.887445676961	300.660406569416	159	159	159	159	159	159	159	159	159	159	159	159
CHN	2020-07-01	142	148.197782369816	124.914723303146	178.374550082206	142	142	142	142	142	142	142	142	142	142	142	142
CHN	2020-08-01	142	136.406111202695	114.981656384756	163.897811107334	142	142	142	142	142	142	142	142	142	142	142	142
CHN	2020-09-01	201	140.815447137695	118.562619095732	169.322394548601	201	201	201	201	201	201	201	201	201	201	201	201
CHN	2020-10-01	267	204.936785804957	171.858418898956	245.822059885026	267	267	267	267	267	267	267	267	267	267	267	267
CHN	2020-11-01	291	280.043875686963	234.095160968033	336.907305967829	291	291	291	291	291	291	291	291	291	291	291	291
CHN	2020-12-01	294	314.833316957556	262.95591093646	379.323133680241	294	294	294	294	294	294	294	294	294	294	294	294
CHN	2021-01-01	205	329.09455006367	275.224179431773	395.157899676433	205	205	205	205	205	205	205	205	205	205	205	205
CHN	2021-02-01	115	238.789679747463	201.086876151318	285.336230801097	115	115	115	115	115	115	115	115	115	115	115	115
CHN	2021-03-01	220	139.272273563846	117.585013650783	166.212437626261	220	220	220	220	220	220	220	220	220	220	220	220
CHN	2021-04-01	308	270.596541989179	228.493022286508	322.495967971046	308	308	308	308	308	308	308	308	308	308	308	308
CHN	2021-05-01	427	384.96671851965	324.582593144622	459.007956238928	427	427	427	427	427	427	427	427	427	427	427	427
CHN	2021-06-01	519	539.66078386998	453.637053613237	645.90807468611	519	519	519	519	519	519	519	519	519	519	519	519
CHN	2021-07-01	820	662.265522355698	556.931617754261	791.261408212306	820	820	820	820	820	820	820	820	820	820	820	820
CHN	2021-08-01	1227	1039.14588761131	874.417737008373	1242.36052087373	1227	1227	1227	1227	1227	1227	1227	1227	1227	1227	1227	1227
CHN	2021-09-01	1094	1533.95840539806	1290.98261151335	1827.06662504605	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094	1094
CHN	2021-10-01	825	1380.80722909833	1169.17545577736	1634.50742583673	825	825	825	825	825	825	825	825	825	825	825	825
CHN	2021-11-01	1148	1053.75269740426	891.842323437247	1253.65195441628	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148
CHN	2021-12-01	2254	1431.79471012813	1208.98396280489	1706.24750429339	2254	2254	2254	2254	2254	2254	2254	2254	2254	2254	2254	2254
CHN	2022-01-01	2354	2657.81095568097	2242.35529973195	3185.18038628665	2354	2354	2354	2354	2354	2354	2354	2354	2354	2354	2354	2354
CHN	2022-02-01	2576	2721.24732241514	2285.2283748763	3276.0514130257	2576	2576	2576	2576	2576	2576	2576	2576	2576	2576	2576	2576
CHN	2022-03-01	3747	2901.54181221953	2430.0701915154	3478.61332528902	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747
CHN	2022-04-01	3415	3983.81887361815	3337.57134442295	4771.34325738279	3415	3415	3415	3415	3415	3415	3415	3415	3415	3415	3415	3415
CHN	2022-05-01	3991	3557.83961101394	2997.74437619479	4254.91190178586	3991	3991	3991	3991	3991	3991	3991	3991	3991	3991	3991	3991
CHN	2022-06-01	4213	3986.16379110126	3361.01597485335	4775.49679536273	4213	4213	4213	4213	4213	4213	4213	4213	4213	4213	4213	4213
CHN	2022-07-01	4234	4080.91920029041	3428.24623166498	4894.70058626265	4234	4234	4234	4234	4234	4234	4234	4234	4234	4234	4234	4234
CHN	2022-08-01	5355	4009.04530437949	3341.40045235744	4853.83415174579	5355	5355	5355	5355	5355	5355	5355	5355	5355	5355	5355	5355
CHN	2022-09-01	3849	4871.88005438345	4026.74030409685	5973.82104278027	3849	3849	3849	3849	3849	3849	3849	3849	3849	3849	3849	3849
CHN	2022-10-01	2594	3574.50697773753	2958.15249130929	4381.19214022382	2594	2594	2594	2594	2594	2594	2594	2594	2594	2594	2594	2594
CHN	2022-11-01	2160	2491.83426078654	2065.96221462947	3045.1711170771	2160	2160	2160	2160	2160	2160	2160	2160	2160	2160	2160	2160
CHN	2022-12-01	1293	2125.73023089543	1773.71802153399	2579.18543016691	1293	1293	1293	1293	1293	1293	1293	1293	1293	1293	1293	1293
CHN	2023-01-01	883	1346.48878861941	1130.58290134119	1622.88908332614	1346.48878861941	1130.58290134119	1622.88908332614	1346.48878861941	1130.58290134119	1622.88908332614	1263.82086420484	1056.24946974318	1524.13603279277	1257.21640753945	1052.10863313066	1515.72273818852
