country_iso3	primary_model_lineage_id	n_resurgence_tips	mean_post_import_support	mean_local_persistence_support	mean_raw_reseeding_support
AUS	L1_01.02	4	0.7436233658480065	0.1677594785042866	0.4879199987225883
AUS	L1_02.05	17	0.24730365833784423	0.7552230875313419	0.2624876849274264
AUS	L1_02.06	13	0.13419584131112014	0.871843331769925	0.15423569983519564
AUS	L1_02.07	3	0.8563397064120086	0.1677594785042866	0.9999917094851386
BEL	L1_01.02	5	0.8577798803963945	0.1647249962162826	0.9936012560619358
BEL	L1_02.05	6	0.5548805464251259	0.4425967965430288	0.5653889087389042
BEL	L1_02.06	68	0.1515139960928247	0.8525981445313551	0.17645348134161415
BEL	L1_02.07	3	0.7900764541407755	0.1647249962162826	0.6499729710997689
CHN	L1_02.06	4	0.05104609670601594	0.9489647889643089	0.0510460971806653
CHN	L1_02.07	148	0.0004843144884987584	0.9999999991803131	0.0004898995699655189
CHN	Other	1	0.00021257389837010373	0.99999999993238	0.00021261909562575454
FRA	L1_01.02	6	0.8839515086584725	0.1263079587890389	0.9628298826888892
FRA	L1_02.05	8	0.8652731891815986	0.1263079587890389	0.849716482182145
FRA	L1_02.06	33	0.8715357969867974	0.1263079587890389	0.873231261487084
FRA	L1_02.07	6	0.8727144092225964	0.1263079587890389	0.8749267484173465
JPN	L1_01.02	1	0.8644614856037987	0.1552141735927974	0.9899523813473047
JPN	L1_02.05	3	0.8649567309022008	0.1552141735927974	0.9941667912778103
JPN	L1_02.06	2	0.8197943315495494	0.1552141735927974	0.7061026480557686
JPN	L1_02.07	54	0.8642468262003973	0.1552141735927974	0.9882424249016662
