country_iso3	country_name	n_focal_genome_candidates	n_historical_genomes_2019_or_earlier	n_recent_genomes_2023_or_later	n_recent_genomes_observation_eligible	n_recent_month_or_quarter_dates	recent_month_or_quarter_date_fraction	recent_project_id_fraction	dominant_recent_project_id	dominant_recent_project_share	n_pre_pandemic_case_months	n_post_pandemic_case_months	sample_size_gate_pass	date_resolution_gate_pass	case_time_coverage_gate_pass	project_encoding_gate_pass	sampling_gate_status	temporal_metadata_gate_pass	phylogenetic_clock_gate_status	formal_lineage_gate_status	development_gate_status	data_freeze_date
CHN	China	856	165	565	565	457	0.8088	1.0	PRJNA1182239	0.731	60	36	True	True	True	True	pass_with_project_dominance_sensitivity_required	True	PENDING_NEW_TRANSMISSION_TREE_AND_DATE_RANDOMISATION	PENDING_PREDEFINED_PHYLOGENETIC_LINEAGES	PROVISIONAL_GO_METADATA_ONLY	2026-07-24
AUS	Australia	217	88	127	107	126	0.9921	1.0	PRJNA1199062	0.9843	60	36	True	True	True	True	pass_with_project_dominance_sensitivity_required	True	PENDING_NEW_TRANSMISSION_TREE_AND_DATE_RANDOMISATION	PENDING_PREDEFINED_PHYLOGENETIC_LINEAGES	PROVISIONAL_GO_METADATA_ONLY	2026-07-24
JPN	Japan	308	216	89	89	77	0.8652	1.0	PRJDB37898	0.4831	60	36	True	True	True	True	pass	True	PENDING_NEW_TRANSMISSION_TREE_AND_DATE_RANDOMISATION	PENDING_PREDEFINED_PHYLOGENETIC_LINEAGES	PROVISIONAL_GO_METADATA_ONLY	2026-07-24
